<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG20USD,5,20250707,090000,793.15,793.26,790.17,790.99,132458,0
WIG20USD,5,20250707,090500,791.01,791.77,787.49,787.49,102109,0
WIG20USD,5,20250707,091000,787.96,788.96,787.89,788.95,68143,0
WIG20USD,5,20250707,091500,788.8,789.31,788.68,789.06,64160,0
WIG20USD,5,20250707,092000,788.96,789.85,788.94,789.85,58362,0
WIG20USD,5,20250707,092500,789.92,790.17,789.03,789.03,63248,0
WIG20USD,5,20250707,093000,788.87,789.3,788.34,789.29,56794,0
WIG20USD,5,20250707,093500,789.38,792.07,789.36,792.07,77344,0
WIG20USD,5,20250707,094000,792.04,792.45,791.51,791.59,40341,0
WIG20USD,5,20250707,094500,791.63,791.63,791.26,791.37,68315,0
WIG20USD,5,20250707,095000,791.4,791.47,790.52,790.65,40578,0
WIG20USD,5,20250707,095500,790.95,791.57,790.95,791.35,39439,0
WIG20USD,5,20250707,100000,791.25,791.91,791.25,791.63,56113,0
WIG20USD,5,20250707,100500,791.63,791.73,789.58,789.58,42741,0
WIG20USD,5,20250707,101000,789.55,789.59,788.87,789.51,194211,0
WIG20USD,5,20250707,101500,789.63,789.63,788.58,788.61,110771,0
WIG20USD,5,20250707,102000,788.66,788.96,788.22,788.87,52780,0
WIG20USD,5,20250707,102500,788.72,789.69,788.72,789.69,55628,0
WIG20USD,5,20250707,103000,789.65,789.96,789.65,789.81,36648,0
WIG20USD,5,20250707,103500,789.8,790.53,789.8,790.41,111357,0
WIG20USD,5,20250707,104000,790.37,790.37,788.51,788.54,82666,0
WIG20USD,5,20250707,104500,788.68,788.83,788.29,788.29,30351,0
WIG20USD,5,20250707,105000,788.14,788.14,787.06,787.19,50845,0
WIG20USD,5,20250707,105500,787.09,787.36,786.82,786.82,37574,0
WIG20USD,5,20250707,110000,786.9,787.1,786.56,786.92,34642,0
WIG20USD,5,20250707,110500,787.13,787.26,786.54,786.56,37415,0
WIG20USD,5,20250707,111000,786.43,788.38,786.43,788.38,56754,0
WIG20USD,5,20250707,111500,788.49,788.96,788.35,788.89,96359,0
WIG20USD,5,20250707,112000,788.93,789.14,788.69,789.05,45515,0
WIG20USD,5,20250707,112500,789.06,789.11,788.74,788.91,41845,0
WIG20USD,5,20250707,113000,788.85,789,788.52,788.81,101316,0
WIG20USD,5,20250707,113500,788.82,789.36,788.81,789.35,50134,0
WIG20USD,5,20250707,114000,789.25,789.98,789.25,789.86,47810,0
WIG20USD,5,20250707,114500,789.89,790.47,789.74,790.47,122972,0
WIG20USD,5,20250707,115000,790.55,791.53,790.45,790.9,178205,0
WIG20USD,5,20250707,115500,790.99,791.53,790.53,791.52,91790,0
WIG20USD,5,20250707,120000,791.54,791.54,790.92,791,48161,0
WIG20USD,5,20250707,120500,791,791.43,790.92,791.2,48446,0
WIG20USD,5,20250707,121000,791.04,792.63,791.04,792.46,127709,0
WIG20USD,5,20250707,121500,792.47,792.47,791.59,791.95,85390,0
WIG20USD,5,20250707,122000,791.86,792.14,791.75,791.77,30217,0
WIG20USD,5,20250707,122500,791.72,791.81,791.34,791.46,46604,0
WIG20USD,5,20250707,123000,791.6,791.64,791.08,791.23,57735,0
WIG20USD,5,20250707,123500,791.28,791.6,790.82,790.95,36578,0
WIG20USD,5,20250707,124000,790.99,791.08,790.72,791.08,56205,0
WIG20USD,5,20250707,124500,791.08,791.41,790.99,791.13,110249,0
WIG20USD,5,20250707,125000,791.05,791.44,791,791.35,56841,0
WIG20USD,5,20250707,125500,791.35,791.96,791.35,791.58,83620,0
WIG20USD,5,20250707,130000,792.02,792.34,791.63,791.74,75375,0
WIG20USD,5,20250707,130500,791.69,791.69,791.06,791.16,75537,0
WIG20USD,5,20250707,131000,791.27,791.41,790.98,791.06,51389,0
WIG20USD,5,20250707,131500,790.95,791.09,790.69,791.09,44519,0
WIG20USD,5,20250707,132000,791.12,791.18,790.75,790.75,40116,0
WIG20USD,5,20250707,132500,790.69,790.7,790.36,790.52,48761,0
WIG20USD,5,20250707,133000,790.55,790.69,790.23,790.23,79311,0
WIG20USD,5,20250707,133500,790.2,790.36,790.13,790.14,47715,0
WIG20USD,5,20250707,134000,790.09,790.89,790,790.89,69920,0
WIG20USD,5,20250707,134500,790.94,791.53,790.94,791.08,67830,0
WIG20USD,5,20250707,135000,790.98,791.45,790.98,791.36,59300,0
WIG20USD,5,20250707,135500,791.42,791.42,790.99,790.99,57050,0
WIG20USD,5,20250707,140000,791.03,791.11,790.67,790.72,43328,0
WIG20USD,5,20250707,140500,790.78,790.99,790.75,790.91,48248,0
WIG20USD,5,20250707,141000,790.77,790.79,790.3,790.42,55937,0
WIG20USD,5,20250707,141500,790.39,790.56,790.17,790.17,46742,0
WIG20USD,5,20250707,142000,790.12,790.13,789.6,789.64,121580,0
WIG20USD,5,20250707,142500,789.6,789.84,789.47,789.5,124577,0
WIG20USD,5,20250707,143000,789.67,789.73,789.32,789.58,155118,0
WIG20USD,5,20250707,143500,789.67,789.67,789.15,789.58,83851,0
WIG20USD,5,20250707,144000,789.6,789.89,789.56,789.75,157822,0
WIG20USD,5,20250707,144500,789.79,789.79,789.41,789.55,100319,0
WIG20USD,5,20250707,145000,789.55,790.12,789.5,790.06,106611,0
WIG20USD,5,20250707,145500,789.82,789.92,789.55,789.68,80376,0
WIG20USD,5,20250707,150000,789.6,789.89,789.39,789.61,229136,0
WIG20USD,5,20250707,150500,789.63,789.67,789.32,789.51,76813,0
WIG20USD,5,20250707,151000,789.45,789.54,788.68,789.06,114418,0
WIG20USD,5,20250707,151500,789.21,789.78,789.02,789.74,100250,0
WIG20USD,5,20250707,152000,789.72,789.81,789.2,789.24,64840,0
WIG20USD,5,20250707,152500,789.2,789.97,789.09,789.8,44256,0
WIG20USD,5,20250707,153000,789.67,790.61,789.67,790.56,132020,0
WIG20USD,5,20250707,153500,790.55,790.59,790.21,790.39,63434,0
WIG20USD,5,20250707,154000,790.32,791.43,790.19,791.25,185926,0
WIG20USD,5,20250707,154500,791.19,793.05,790.98,792.37,301045,0
WIG20USD,5,20250707,155000,792.39,792.39,792.03,792.22,263150,0
WIG20USD,5,20250707,155500,792.18,793.05,791.71,791.71,187997,0
WIG20USD,5,20250707,160000,791.61,792.19,791.23,791.43,192501,0
WIG20USD,5,20250707,160500,791.4,791.4,790.47,790.66,126602,0
WIG20USD,5,20250707,161000,790.63,790.92,790.06,790.13,152450,0
WIG20USD,5,20250707,161500,790.14,790.55,790.13,790.43,130256,0
WIG20USD,5,20250707,162000,790.38,790.38,789.86,790.17,181777,0
