<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_INFO,5,20250707,090000,10374.01,10432.53,10374.01,10425.99,15852,0
WIG_INFO,5,20250707,090500,10417.45,10447.28,10402.79,10447.28,7438,0
WIG_INFO,5,20250707,091000,10441.85,10441.85,10409.7,10411.4,5447,0
WIG_INFO,5,20250707,091500,10399.84,10399.84,10375.14,10376.58,5237,0
WIG_INFO,5,20250707,092000,10381.88,10405.38,10381.88,10405.38,2105,0
WIG_INFO,5,20250707,092500,10406.15,10406.15,10365.91,10365.91,25775,0
WIG_INFO,5,20250707,093000,10367.3,10391.27,10367.3,10391.27,4811,0
WIG_INFO,5,20250707,093500,10376.57,10379.77,10356.15,10379.77,4272,0
WIG_INFO,5,20250707,094000,10385.35,10385.35,10381.3,10382.54,3659,0
WIG_INFO,5,20250707,094500,10380.83,10380.83,10342.48,10352.36,3760,0
WIG_INFO,5,20250707,095000,10354.84,10354.84,10348.22,10348.22,2245,0
WIG_INFO,5,20250707,095500,10373.04,10373.04,10349.19,10349.19,789,0
WIG_INFO,5,20250707,100000,10347.42,10418.55,10347.42,10418.55,2714,0
WIG_INFO,5,20250707,100500,10418.55,10418.55,10401.82,10404.46,1722,0
WIG_INFO,5,20250707,101000,10406.77,10432.19,10406.77,10429.43,1078,0
WIG_INFO,5,20250707,101500,10424.49,10424.49,10414.61,10420.27,2033,0
WIG_INFO,5,20250707,102000,10411.54,10418.52,10395.1,10418.52,1073,0
WIG_INFO,5,20250707,102500,10396.43,10400.82,10390.69,10400.82,4829,0
WIG_INFO,5,20250707,103000,10411.14,10411.14,10396.32,10409.06,3613,0
WIG_INFO,5,20250707,103500,10406.26,10409.39,10400.63,10400.63,2629,0
WIG_INFO,5,20250707,104000,10403.53,10405.05,10378,10382.2,1337,0
WIG_INFO,5,20250707,104500,10397.84,10399.35,10387.59,10387.59,660,0
WIG_INFO,5,20250707,105000,10394.05,10398.96,10389.67,10389.67,4713,0
WIG_INFO,5,20250707,105500,10389.67,10389.67,10367.74,10372.65,1096,0
WIG_INFO,5,20250707,110000,10368.03,10381.02,10368.03,10381.02,850,0
WIG_INFO,5,20250707,110500,10366.2,10383.59,10365.12,10383.59,1219,0
WIG_INFO,5,20250707,111000,10399.14,10402.37,10392.49,10402.37,965,0
WIG_INFO,5,20250707,111500,10393.5,10404.48,10389.59,10404.48,1992,0
WIG_INFO,5,20250707,112000,10404.48,10404.48,10400.25,10400.7,2047,0
WIG_INFO,5,20250707,112500,10398,10400.87,10397.01,10399.06,1294,0
WIG_INFO,5,20250707,113000,10399.06,10401.44,10399.06,10400.09,1350,0
WIG_INFO,5,20250707,113500,10400.02,10414.13,10387.07,10414.13,8358,0
WIG_INFO,5,20250707,114000,10414.13,10415.13,10412.53,10414.07,1649,0
WIG_INFO,5,20250707,114500,10414.07,10414.07,10409.67,10409.67,1053,0
WIG_INFO,5,20250707,115000,10409.67,10434.54,10409.67,10434.18,4570,0
WIG_INFO,5,20250707,115500,10433.09,10456.93,10433.09,10452.57,4985,0
WIG_INFO,5,20250707,120000,10445.08,10445.08,10422.28,10422.28,1583,0
WIG_INFO,5,20250707,120500,10418.02,10439.86,10418.02,10439.86,1338,0
WIG_INFO,5,20250707,121000,10428.54,10466.11,10428.54,10464.55,4353,0
WIG_INFO,5,20250707,121500,10467.68,10473.99,10464.51,10464.51,1199,0
WIG_INFO,5,20250707,122000,10472.97,10477.55,10466.61,10466.61,1433,0
WIG_INFO,5,20250707,122500,10464.22,10491.48,10464.22,10491.48,4221,0
WIG_INFO,5,20250707,123000,10497.77,10497.77,10492.83,10493.19,600,0
WIG_INFO,5,20250707,123500,10483.26,10492.62,10483.26,10490.53,1531,0
WIG_INFO,5,20250707,124000,10495.39,10495.39,10482.35,10487.08,1024,0
WIG_INFO,5,20250707,124500,10487.08,10501.15,10479.54,10479.54,1552,0
WIG_INFO,5,20250707,125000,10479.54,10507.39,10479.54,10487.5,3316,0
WIG_INFO,5,20250707,125500,10502.32,10502.32,10493.7,10494.59,3318,0
WIG_INFO,5,20250707,130000,10494.09,10528.78,10486.44,10528.5,4128,0
WIG_INFO,5,20250707,130500,10538.66,10543.58,10537.37,10543.58,1780,0
WIG_INFO,5,20250707,131000,10543.66,10548.52,10542.65,10548.52,4331,0
WIG_INFO,5,20250707,131500,10548.52,10551.41,10546.46,10551.41,1177,0
WIG_INFO,5,20250707,132000,10546.48,10551.41,10526.39,10546.15,3801,0
WIG_INFO,5,20250707,132500,10545.97,10559.36,10538.34,10538.34,7388,0
WIG_INFO,5,20250707,133000,10533.4,10543.43,10533.4,10543.43,2108,0
WIG_INFO,5,20250707,133500,10543.07,10556.72,10543.07,10556.72,3988,0
WIG_INFO,5,20250707,134000,10545.4,10555.5,10545.4,10554.05,4023,0
WIG_INFO,5,20250707,134500,10544.18,10560.87,10544.18,10555.08,1515,0
WIG_INFO,5,20250707,135000,10555.08,10555.08,10545.32,10549.74,4227,0
WIG_INFO,5,20250707,135500,10548.29,10558.17,10548.29,10548.29,2007,0
WIG_INFO,5,20250707,140000,10548.29,10553.92,10547.47,10548.98,1876,0
WIG_INFO,5,20250707,140500,10548.98,10567.16,10543.98,10552.34,2934,0
WIG_INFO,5,20250707,141000,10567.12,10570.67,10564.53,10564.53,1931,0
WIG_INFO,5,20250707,141500,10565.98,10570.92,10561.83,10566.51,6310,0
WIG_INFO,5,20250707,142000,10571.45,10571.45,10549.66,10549.66,3060,0
WIG_INFO,5,20250707,142500,10562.51,10568,10562.51,10568,1861,0
WIG_INFO,5,20250707,143000,10558.12,10565.28,10558.12,10565.28,2239,0
WIG_INFO,5,20250707,143500,10552.52,10566.63,10550.37,10561.52,716,0
WIG_INFO,5,20250707,144000,10564.06,10570.86,10564.06,10567.86,4134,0
WIG_INFO,5,20250707,144500,10565.42,10565.42,10548.11,10564.02,6043,0
WIG_INFO,5,20250707,145000,10554.14,10572.43,10554.14,10572.43,1072,0
WIG_INFO,5,20250707,145500,10552.4,10567.58,10552.4,10567.58,1794,0
WIG_INFO,5,20250707,150000,10552.76,10564.3,10547.82,10564.3,1975,0
WIG_INFO,5,20250707,150500,10563.94,10570.16,10560.28,10570.16,2001,0
WIG_INFO,5,20250707,151000,10556.62,10565.77,10550.23,10565.77,2390,0
WIG_INFO,5,20250707,151500,10560.05,10560.05,10533.83,10533.83,1820,0
WIG_INFO,5,20250707,152000,10539.57,10544.16,10526.68,10526.68,1285,0
WIG_INFO,5,20250707,152500,10536.16,10549.73,10530.7,10549.73,4461,0
WIG_INFO,5,20250707,153000,10548.91,10558.42,10548.54,10558.42,3473,0
WIG_INFO,5,20250707,153500,10558.42,10558.42,10535.48,10539.04,3920,0
WIG_INFO,5,20250707,154000,10536.89,10538.33,10528.45,10538.33,992,0
WIG_INFO,5,20250707,154500,10539.43,10556.47,10531.77,10556.47,2176,0
WIG_INFO,5,20250707,155000,10557.55,10563.83,10557.55,10558.89,3182,0
WIG_INFO,5,20250707,155500,10514.44,10514.44,10486.53,10486.53,983,0
WIG_INFO,5,20250707,160000,10486.53,10516.72,10486.53,10502.27,2826,0
WIG_INFO,5,20250707,160500,10508.29,10513.23,10508.29,10508.29,836,0
WIG_INFO,5,20250707,161000,10509.56,10513.41,10504.99,10504.99,2343,0
WIG_INFO,5,20250707,161500,10509.93,10513.46,10508.8,10512.24,5337,0
WIG_INFO,5,20250707,162000,10511.52,10526.03,10511.52,10526.03,1003,0
WIG_INFO,5,20250707,162500,10527.8,10527.8,10507.3,10507.66,12823,0
WIG_INFO,5,20250707,163000,10499.59,10503.73,10491.32,10503,4058,0
WIG_INFO,5,20250707,163500,10503,10508.13,10503,10507.41,5314,0
WIG_INFO,5,20250707,164000,10502.51,10509.67,10502.51,10507.29,4593,0
WIG_INFO,5,20250707,164500,10498.5,10540.81,10491.55,10491.55,25094,0
WIG_INFO,5,20250708,090000,10519.57,10519.59,10510.23,10519.59,17493,0
WIG_INFO,5,20250708,090500,10460.35,10461.07,10404.75,10445.4,6771,0
WIG_INFO,5,20250708,091000,10437.21,10441.36,10408.58,10441.36,5969,0
WIG_INFO,5,20250708,091500,10431.4,10431.4,10383.8,10407.6,2116,0
WIG_INFO,5,20250708,092000,10407.6,10407.6,10353.94,10387.02,8705,0
WIG_INFO,5,20250708,092500,10382.08,10397.77,10369.22,10369.22,4260,0
WIG_INFO,5,20250708,093000,10338.58,10349.84,10327.08,10327.08,2932,0
WIG_INFO,5,20250708,093500,10337.08,10359.42,10335.05,10335.05,2927,0
WIG_INFO,5,20250708,094000,10336.39,10337.23,10322.41,10323.5,1884,0
WIG_INFO,5,20250708,094500,10330.06,10350.16,10300.64,10350.16,2665,0
WIG_INFO,5,20250708,095000,10348.73,10369.21,10348.73,10350.2,2105,0
WIG_INFO,5,20250708,095500,10347.81,10364.77,10334.85,10364.77,4094,0
WIG_INFO,5,20250708,100000,10359.83,10391.9,10358.75,10380.38,4929,0
WIG_INFO,5,20250708,100500,10386.53,10393.16,10378.71,10378.71,939,0
WIG_INFO,5,20250708,101000,10393.52,10398.56,10376.78,10376.78,5180,0
WIG_INFO,5,20250708,101500,10383.11,10420.68,10383.11,10420.68,3529,0
WIG_INFO,5,20250708,102000,10421.76,10421.76,10407.33,10407.33,1071,0
WIG_INFO,5,20250708,102500,10420.14,10420.14,10399.28,10399.28,562,0
WIG_INFO,5,20250708,103000,10399.28,10413.38,10399.28,10413.38,4779,0
WIG_INFO,5,20250708,103500,10419.19,10419.19,10407.92,10407.92,12955,0
WIG_INFO,5,20250708,104000,10331,10337.94,10288.45,10336.56,5245,0
WIG_INFO,5,20250708,104500,10340.26,10367.81,10340.12,10343.14,2287,0
WIG_INFO,5,20250708,105000,10342.49,10381.01,10342.49,10351.68,3075,0
WIG_INFO,5,20250708,105500,10382.58,10417.22,10382.58,10397.41,872,0
WIG_INFO,5,20250708,110000,10396.68,10426.17,10396.68,10420.98,914,0
WIG_INFO,5,20250708,110500,10420.75,10420.75,10382.39,10382.39,2385,0
WIG_INFO,5,20250708,111000,10381.04,10386.3,10381.04,10386.3,1325,0
WIG_INFO,5,20250708,111500,10371.48,10381.52,10366.47,10366.47,183,0
WIG_INFO,5,20250708,112000,10366.47,10373.51,10353.76,10358.99,2402,0
WIG_INFO,5,20250708,112500,10364.29,10387.04,10364.29,10383.59,1683,0
WIG_INFO,5,20250708,113000,10383.59,10391.21,10367.25,10391.21,14515,0
WIG_INFO,5,20250708,113500,10392.7,10392.7,10350.61,10357.24,10688,0
WIG_INFO,5,20250708,114000,10356.15,10375.61,10356.15,10370.84,9542,0
WIG_INFO,5,20250708,114500,10381.45,10387.59,10362.89,10362.89,3682,0
WIG_INFO,5,20250708,115000,10387.59,10387.59,10348.44,10359.81,3678,0
WIG_INFO,5,20250708,115500,10374.26,10375.15,10360.33,10375.15,871,0
WIG_INFO,5,20250708,120000,10375.15,10382.79,10369.34,10372.6,744,0
WIG_INFO,5,20250708,120500,10372.7,10392.36,10364.73,10364.73,2225,0
WIG_INFO,5,20250708,121000,10384.49,10397.06,10368.37,10387.76,1590,0
WIG_INFO,5,20250708,121500,10392.29,10401.7,10376.12,10401.7,786,0
WIG_INFO,5,20250708,122000,10391.82,10396.71,10390.9,10396.71,3884,0
WIG_INFO,5,20250708,122500,10396.48,10418.47,10396.48,10418.47,2520,0
WIG_INFO,5,20250708,123000,10407.87,10419.79,10407.87,10419.79,4103,0
WIG_INFO,5,20250708,123500,10410.1,10425.64,10402.06,10407.03,6688,0
WIG_INFO,5,20250708,124000,10417.63,10417.76,10406.51,10411.41,838,0
WIG_INFO,5,20250708,124500,10419.15,10430.19,10418.89,10430.19,1888,0
WIG_INFO,5,20250708,125000,10424.53,10431.07,10417.45,10417.45,688,0
WIG_INFO,5,20250708,125500,10418.31,10438.43,10418.31,10438.43,413,0
WIG_INFO,5,20250708,130000,10438.43,10438.43,10430.43,10430.43,991,0
WIG_INFO,5,20250708,130500,10419.39,10420.56,10418.71,10420.56,1323,0
WIG_INFO,5,20250708,131000,10420.56,10423.87,10420.56,10423.75,1287,0
WIG_INFO,5,20250708,131500,10423.75,10425.3,10407.48,10425.3,2388,0
WIG_INFO,5,20250708,132000,10422.67,10426.02,10420.78,10426.02,2206,0
WIG_INFO,5,20250708,132500,10426.02,10429.68,10426.02,10429.63,1558,0
WIG_INFO,5,20250708,133000,10429.99,10429.99,10392.9,10392.9,7087,0
WIG_INFO,5,20250708,133500,10389.79,10389.79,10379.19,10379.19,1714,0
WIG_INFO,5,20250708,134000,10374.97,10374.97,10331.23,10331.23,9341,0
WIG_INFO,5,20250708,134500,10341.11,10346.58,10341.11,10345.56,1757,0
WIG_INFO,5,20250708,135000,10350.98,10357.9,10350.62,10357.9,2530,0
WIG_INFO,5,20250708,135500,10357.48,10357.94,10350.13,10350.13,6634,0
WIG_INFO,5,20250708,140000,10351.63,10351.63,10341.5,10341.5,1965,0
WIG_INFO,5,20250708,140500,10321.75,10338.74,10320.21,10329.79,7889,0
