<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_MS_FIN,5,20250707,090000,20082.66,20082.66,20017.26,20071.89,93043,0
WIG_MS_FIN,5,20250707,090500,20070.19,20086.72,19981.63,19981.63,41324,0
WIG_MS_FIN,5,20250707,091000,19988.18,20017.73,19971.71,20013.42,26433,0
WIG_MS_FIN,5,20250707,091500,20008.33,20029.57,19999.58,20013.46,23438,0
WIG_MS_FIN,5,20250707,092000,20013.24,20032.97,20010.18,20024.65,13490,0
WIG_MS_FIN,5,20250707,092500,20034.82,20039.93,19992.41,19992.41,28456,0
WIG_MS_FIN,5,20250707,093000,19998.36,20007.99,19988.68,20007.99,23809,0
WIG_MS_FIN,5,20250707,093500,20005.87,20063.31,20005.87,20063.31,29059,0
WIG_MS_FIN,5,20250707,094000,20062.87,20091.58,20062.87,20075.95,19893,0
WIG_MS_FIN,5,20250707,094500,20077.85,20086.99,20067.25,20067.9,50563,0
WIG_MS_FIN,5,20250707,095000,20066.74,20075.12,20061.54,20066.81,40464,0
WIG_MS_FIN,5,20250707,095500,20072.85,20083.04,20072.85,20073.94,57825,0
WIG_MS_FIN,5,20250707,100000,20080.01,20085.3,20071.08,20074.84,53469,0
WIG_MS_FIN,5,20250707,100500,20074.56,20075.8,20035.92,20035.92,29400,0
WIG_MS_FIN,5,20250707,101000,20035.49,20035.83,20020.83,20033.97,28883,0
WIG_MS_FIN,5,20250707,101500,20036.53,20036.53,20020.72,20022.59,30115,0
WIG_MS_FIN,5,20250707,102000,20022.59,20022.59,20008.25,20017.14,30379,0
WIG_MS_FIN,5,20250707,102500,20019.05,20044.12,20019.05,20038.23,25803,0
WIG_MS_FIN,5,20250707,103000,20038.19,20041,20033.81,20038.73,32217,0
WIG_MS_FIN,5,20250707,103500,20039.6,20059.9,20039.6,20056.84,41019,0
WIG_MS_FIN,5,20250707,104000,20056,20056,20015.56,20020.68,27394,0
WIG_MS_FIN,5,20250707,104500,20021.12,20022.54,20009.36,20009.36,19374,0
WIG_MS_FIN,5,20250707,105000,20005.81,20006.1,19998.02,19998.02,17944,0
WIG_MS_FIN,5,20250707,105500,19998.02,20006.46,19997.46,19997.46,20327,0
WIG_MS_FIN,5,20250707,110000,19997.68,19998.85,19977.78,19979.38,24984,0
WIG_MS_FIN,5,20250707,110500,19984.05,19993.27,19983.71,19983.71,17955,0
WIG_MS_FIN,5,20250707,111000,19982.76,20030.36,19981.89,20025.87,26263,0
WIG_MS_FIN,5,20250707,111500,20026.93,20035.27,20023.1,20033.47,96857,0
WIG_MS_FIN,5,20250707,112000,20034.76,20039.6,20030.95,20036.75,22978,0
WIG_MS_FIN,5,20250707,112500,20038.29,20042.82,20021.83,20026,29999,0
WIG_MS_FIN,5,20250707,113000,20033.31,20034.12,20012.66,20014.27,59456,0
WIG_MS_FIN,5,20250707,113500,20014.71,20016.95,20005.48,20016.95,37005,0
WIG_MS_FIN,5,20250707,114000,20013.84,20032.31,20006.95,20031.87,43299,0
WIG_MS_FIN,5,20250707,114500,20032.31,20041.81,20021.64,20040.63,67335,0
WIG_MS_FIN,5,20250707,115000,20039.98,20055.85,20029.04,20029.04,79447,0
WIG_MS_FIN,5,20250707,115500,20028.82,20053.37,20019.19,20053.37,49590,0
WIG_MS_FIN,5,20250707,120000,20053.81,20053.81,20032.55,20037.38,45184,0
WIG_MS_FIN,5,20250707,120500,20037.38,20037.38,20024.93,20027.57,63513,0
WIG_MS_FIN,5,20250707,121000,20027.67,20070.54,20027.67,20068.06,38230,0
WIG_MS_FIN,5,20250707,121500,20068.27,20068.27,20041.35,20049.76,43804,0
WIG_MS_FIN,5,20250707,122000,20049.98,20053.39,20049.11,20049.11,16674,0
WIG_MS_FIN,5,20250707,122500,20051.01,20051.37,20043.85,20047.55,14933,0
WIG_MS_FIN,5,20250707,123000,20047.55,20053.47,20047.1,20049.88,22318,0
WIG_MS_FIN,5,20250707,123500,20049.88,20053.43,20041.88,20053.43,19379,0
WIG_MS_FIN,5,20250707,124000,20053.43,20056.17,20045.53,20049.94,21943,0
WIG_MS_FIN,5,20250707,124500,20052.39,20056.96,20044.86,20044.86,25348,0
WIG_MS_FIN,5,20250707,125000,20042.74,20065.53,20042.74,20060.67,40727,0
