<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_POLAND,5,20250707,111500,110012.29,110012.29,110012.29,110012.29,12853502,0
WIG_POLAND,5,20250707,151500,110178.68,110178.68,110178.68,110178.68,10447367,0
WIG_POLAND,5,20250708,111500,110566.34,110566.34,110566.34,110566.34,35631920,0
WIG_POLAND,5,20250708,151500,110846.6,110846.6,110846.6,110846.6,18172629,0
WIG_POLAND,5,20250709,111500,110573.96,110573.96,110573.96,110573.96,46787192,0
WIG_POLAND,5,20250709,151500,111193.64,111193.64,111193.64,111193.64,16603529,0
WIG_POLAND,5,20250710,111500,111296.55,111296.55,111296.55,111296.55,35299652,0
WIG_POLAND,5,20250710,151500,110089.45,110089.45,110089.45,110089.45,15143727,0
WIG_POLAND,5,20250711,111500,109280.23,109280.23,109280.23,109280.23,32251520,0
WIG_POLAND,5,20250711,151500,109787.61,109787.61,109787.61,109787.61,0,0
WIG_POLAND,5,20250711,164500,109846.22,109846.22,109846.22,109846.22,739546,0
WIG_POLAND,5,20250714,111500,109969.08,109969.08,109969.08,109969.08,20972230,0
WIG_POLAND,5,20250714,151500,110003.64,110003.64,110003.64,110003.64,10879754,0
WIG_POLAND,5,20250715,111500,111105.84,111105.84,111105.84,111105.84,27529373,0
WIG_POLAND,5,20250715,151500,111123.3,111123.3,111123.3,111123.3,13027069,0
WIG_POLAND,5,20250716,111500,110430.7,110430.7,110430.7,110430.7,17545324,0
WIG_POLAND,5,20250716,151500,110330.9,110330.9,110330.9,110330.9,16891356,0
WIG_POLAND,5,20250717,111500,110214.49,110214.49,110214.49,110214.49,26527310,0
WIG_POLAND,5,20250717,151500,110883.44,110883.44,110883.44,110883.44,12960202,0
WIG_POLAND,5,20250718,111500,113618.58,113618.58,113618.58,113618.58,25386307,0
WIG_POLAND,5,20250718,151500,113222.92,113222.92,113222.92,113222.92,11168467,0
WIG_POLAND,5,20250721,111500,113266.33,113266.33,113266.33,113266.33,10702468,0
WIG_POLAND,5,20250721,151500,112368.55,112368.55,112368.55,112368.55,9700882,0
WIG_POLAND,5,20250722,111500,112239.67,112239.67,112239.67,112239.67,19866473,0
WIG_POLAND,5,20250722,151500,112155.84,112155.84,112155.84,112155.84,11246599,0
WIG_POLAND,5,20250723,111500,113443.9,113443.9,113443.9,113443.9,26813724,0
WIG_POLAND,5,20250723,151500,112784.22,112784.22,112784.22,112784.22,11092654,0
WIG_POLAND,5,20250724,111500,113222.44,113222.44,113222.44,113222.44,18384158,0
WIG_POLAND,5,20250724,151500,113163.06,113163.06,113163.06,113163.06,8966079,0
WIG_POLAND,5,20250725,111500,112794.66,112794.66,112794.66,112794.66,18292999,0
WIG_POLAND,5,20250725,151500,113083.61,113083.61,113083.61,113083.61,9096662,0
WIG_POLAND,5,20250728,111500,112342.21,112342.21,112342.21,112342.21,19972948,0
WIG_POLAND,5,20250728,151500,112339.14,112339.14,112339.14,112339.14,11541095,0
WIG_POLAND,5,20250729,111500,112440.08,112440.08,112440.08,112440.08,20368607,0
WIG_POLAND,5,20250729,151500,112703.44,112703.44,112703.44,112703.44,11289941,0
WIG_POLAND,5,20250730,111500,113155.13,113155.13,113155.13,113155.13,23228651,0
WIG_POLAND,5,20250730,151500,112943.65,112943.65,112943.65,112943.65,20485537,0
WIG_POLAND,5,20250731,111500,112923.73,112923.73,112923.73,112923.73,23472104,0
WIG_POLAND,5,20250731,151500,112651.68,112651.68,112651.68,112651.68,14915585,0
WIG_POLAND,5,20250801,111500,110710.66,110710.66,110710.66,110710.66,12079447,0
WIG_POLAND,5,20250801,151500,110689.94,110689.94,110689.94,110689.94,12933571,0
WIG_POLAND,5,20250804,111500,110421.29,110421.29,110421.29,110421.29,20895182,0
WIG_POLAND,5,20250804,151500,110947.17,110947.17,110947.17,110947.17,9865967,0
WIG_POLAND,5,20250805,111500,111230.49,111230.49,111230.49,111230.49,19992358,0
WIG_POLAND,5,20250805,151500,111267.04,111267.04,111267.04,111267.04,11883612,0
WIG_POLAND,5,20250806,111500,111520.3,111520.3,111520.3,111520.3,26985750,0
WIG_POLAND,5,20250806,151500,111861.83,111861.83,111861.83,111861.83,14721039,0
WIG_POLAND,5,20250807,111500,115349.02,115349.02,115349.02,115349.02,29554644,0
WIG_POLAND,5,20250807,151500,115538.49,115538.49,115538.49,115538.49,14171653,0
WIG_POLAND,5,20250808,111500,114381.9,114381.9,114381.9,114381.9,17232804,0
WIG_POLAND,5,20250808,151500,114813.72,114813.72,114813.72,114813.72,11791370,0
WIG_POLAND,5,20250811,111500,115453.85,115453.85,115453.85,115453.85,18241746,0
WIG_POLAND,5,20250811,151500,115605.31,115605.31,115605.31,115605.31,10953207,0
WIG_POLAND,5,20250812,111500,114896.01,114896.01,114896.01,114896.01,17825520,0
WIG_POLAND,5,20250812,151500,115609.67,115609.67,115609.67,115609.67,10749619,0
WIG_POLAND,5,20250813,111500,115263.55,115263.55,115263.55,115263.55,25882709,0
WIG_POLAND,5,20250813,151500,115167.07,115167.07,115167.07,115167.07,14517854,0
WIG_POLAND,5,20250814,111500,114329.18,114329.18,114329.18,114329.18,19535353,0
WIG_POLAND,5,20250814,151500,113550.99,113550.99,113550.99,113550.99,10897471,0
WIG_POLAND,5,20250818,111500,114202.82,114202.82,114202.82,114202.82,17951509,0
WIG_POLAND,5,20250818,151500,114493.72,114493.72,114493.72,114493.72,18799680,0
WIG_POLAND,5,20250819,111500,115448.01,115448.01,115448.01,115448.01,10975720,0
WIG_POLAND,5,20250819,151500,116313.65,116313.65,116313.65,116313.65,11494453,0
WIG_POLAND,5,20250820,111500,115931.53,115931.53,115931.53,115931.53,16800648,0
WIG_POLAND,5,20250820,151500,115723.16,115723.16,115723.16,115723.16,10456660,0
WIG_POLAND,5,20250821,111500,116359.04,116359.04,116359.04,116359.04,17138976,0
WIG_POLAND,5,20250821,151500,116411.68,116411.68,116411.68,116411.68,10907765,0
WIG_POLAND,5,20250822,111500,113582.95,113582.95,113582.95,113582.95,48850899,0
WIG_POLAND,5,20250822,151500,112494.08,112494.08,112494.08,112494.08,19982715,0
WIG_POLAND,5,20250825,111500,113260.27,113260.27,113260.27,113260.27,22666404,0
WIG_POLAND,5,20250825,151500,113717.53,113717.53,113717.53,113717.53,9129028,0
WIG_POLAND,5,20250826,111500,112836.91,112836.91,112836.91,112836.91,20800736,0
WIG_POLAND,5,20250826,151500,113486.47,113486.47,113486.47,113486.47,24014823,0
WIG_POLAND,5,20250827,111500,113044.24,113044.24,113044.24,113044.24,21364186,0
WIG_POLAND,5,20250827,151500,111575.37,111575.37,111575.37,111575.37,12299503,0
WIG_POLAND,5,20250828,111500,111639.5,111639.5,111639.5,111639.5,9271662,0
WIG_POLAND,5,20250828,151500,111374.77,111374.77,111374.77,111374.77,11252034,0
WIG_POLAND,5,20250829,111500,109769.28,109769.28,109769.28,109769.28,20479479,0
WIG_POLAND,5,20250829,151500,109867.77,109867.77,109867.77,109867.77,13197913,0
WIG_POLAND,5,20250901,111500,109750.58,109750.58,109750.58,109750.58,13771752,0
WIG_POLAND,5,20250901,151500,108433.67,108433.67,108433.67,108433.67,13703033,0
WIG_POLAND,5,20250902,111500,107463.61,107463.61,107463.61,107463.61,21520847,0
WIG_POLAND,5,20250902,151500,107560.5,107560.5,107560.5,107560.5,13305886,0
WIG_POLAND,5,20250903,111500,109429.85,109429.85,109429.85,109429.85,25606233,0
WIG_POLAND,5,20250903,151500,109629.96,109629.96,109629.96,109629.96,13556443,0
WIG_POLAND,5,20250904,111500,109571.44,109571.44,109571.44,109571.44,14923099,0
WIG_POLAND,5,20250904,151500,110566.53,110566.53,110566.53,110566.53,11388726,0
WIG_POLAND,5,20250905,111500,111616.76,111616.76,111616.76,111616.76,27089542,0
WIG_POLAND,5,20250905,151500,111863.66,111863.66,111863.66,111863.66,13049559,0
WIG_POLAND,5,20250908,111500,111872.77,111872.77,111872.77,111872.77,21655597,0
WIG_POLAND,5,20250908,151500,111938.62,111938.62,111938.62,111938.62,11775617,0
WIG_POLAND,5,20250909,111500,111793.68,111793.68,111793.68,111793.68,26098966,0
WIG_POLAND,5,20250909,151500,111287,111287,111287,111287,14126266,0
WIG_POLAND,5,20250910,111500,109556.53,109556.53,109556.53,109556.53,16931693,0
WIG_POLAND,5,20250910,151500,110802.44,110802.44,110802.44,110802.44,11186970,0
WIG_POLAND,5,20250911,111500,110890.26,110890.26,110890.26,110890.26,23738142,0
WIG_POLAND,5,20250911,151500,111414.21,111414.21,111414.21,111414.21,13035515,0
WIG_POLAND,5,20250912,111500,111879.78,111879.78,111879.78,111879.78,22519053,0
WIG_POLAND,5,20250912,151500,111421.86,111421.86,111421.86,111421.86,10521475,0
WIG_POLAND,5,20250915,111500,112003.97,112003.97,112003.97,112003.97,21396246,0
WIG_POLAND,5,20250915,151500,112006.09,112006.09,112006.09,112006.09,14188704,0
WIG_POLAND,5,20250916,111500,111934,111934,111934,111934,11668776,0
WIG_POLAND,5,20250916,151500,111751.59,111751.59,111751.59,111751.59,13429759,0
WIG_POLAND,5,20250917,111500,110272.22,110272.22,110272.22,110272.22,29207980,0
WIG_POLAND,5,20250917,151500,110411.44,110411.44,110411.44,110411.44,17137775,0
WIG_POLAND,5,20250918,111500,110920.01,110920.01,110920.01,110920.01,23853355,0
WIG_POLAND,5,20250918,151500,110534.13,110534.13,110534.13,110534.13,15887048,0
WIG_POLAND,5,20250919,111500,110271.32,110271.32,110271.32,110271.32,19917887,0
WIG_POLAND,5,20250919,151500,110324.28,110324.28,110324.28,110324.28,42337158,0
WIG_POLAND,5,20250922,111500,109257.5,109257.5,109257.5,109257.5,22068777,0
WIG_POLAND,5,20250922,151500,109491.51,109491.51,109491.51,109491.51,11477225,0
WIG_POLAND,5,20250923,111500,110933.29,110933.29,110933.29,110933.29,12351836,0
WIG_POLAND,5,20250923,151500,110828.14,110828.14,110828.14,110828.14,10849742,0
WIG_POLAND,5,20250924,111500,110222.37,110222.37,110222.37,110222.37,23083924,0
WIG_POLAND,5,20250924,151500,110259.68,110259.68,110259.68,110259.68,15118103,0
WIG_POLAND,5,20250925,111500,110647.82,110647.82,110647.82,110647.82,23204406,0
WIG_POLAND,5,20250925,151500,109973.26,109973.26,109973.26,109973.26,14803041,0
WIG_POLAND,5,20250926,111500,110368.97,110368.97,110368.97,110368.97,23803702,0
WIG_POLAND,5,20250926,151500,110459.31,110459.31,110459.31,110459.31,15284795,0
WIG_POLAND,5,20250929,111500,111301.55,111301.55,111301.55,111301.55,18881221,0
WIG_POLAND,5,20250929,151500,111084.86,111084.86,111084.86,111084.86,11928146,0
WIG_POLAND,5,20250930,111500,110298.67,110298.67,110298.67,110298.67,24203624,0
WIG_POLAND,5,20250930,151500,110899.35,110899.35,110899.35,110899.35,16480666,0
WIG_POLAND,5,20251001,111500,111358.26,111358.26,111358.26,111358.26,27153340,0
WIG_POLAND,5,20251001,151500,111638.2,111638.2,111638.2,111638.2,12370868,0
WIG_POLAND,5,20251002,111500,112437.02,112437.02,112437.02,112437.02,29901710,0
WIG_POLAND,5,20251002,151500,113153.81,113153.81,113153.81,113153.81,12967509,0
WIG_POLAND,5,20251003,111500,113018.93,113018.93,113018.93,113018.93,20899750,0
WIG_POLAND,5,20251003,151500,112310.77,112310.77,112310.77,112310.77,12956657,0
WIG_POLAND,5,20251006,111500,112826.26,112826.26,112826.26,112826.26,21379603,0
WIG_POLAND,5,20251006,151500,112624.77,112624.77,112624.77,112624.77,11345769,0
WIG_POLAND,5,20251007,111500,112225.87,112225.87,112225.87,112225.87,11545441,0
WIG_POLAND,5,20251007,151500,112794.46,112794.46,112794.46,112794.46,10642317,0
WIG_POLAND,5,20251008,111500,112583.9,112583.9,112583.9,112583.9,21756377,0
WIG_POLAND,5,20251008,151500,112794.17,112794.17,112794.17,112794.17,17448793,0
WIG_POLAND,5,20251009,111500,113257.03,113257.03,113257.03,113257.03,24988463,0
WIG_POLAND,5,20251009,151500,113135.98,113135.98,113135.98,113135.98,11678878,0
WIG_POLAND,5,20251010,111500,112084.79,112084.79,112084.79,112084.79,19254970,0
WIG_POLAND,5,20251010,151500,112730.59,112730.59,112730.59,112730.59,13257791,0
WIG_POLAND,5,20251013,111500,112449.01,112449.01,112449.01,112449.01,18690813,0
WIG_POLAND,5,20251013,151500,112283.34,112283.34,112283.34,112283.34,12243275,0
WIG_POLAND,5,20251014,111500,110940.44,110940.44,110940.44,110940.44,16205000,0
WIG_POLAND,5,20251014,151500,110924.07,110924.07,110924.07,110924.07,12150575,0
WIG_POLAND,5,20251015,111500,112886.77,112886.77,112886.77,112886.77,24447932,0
WIG_POLAND,5,20251015,151500,113109.23,113109.23,113109.23,113109.23,21018371,0
WIG_POLAND,5,20251016,111500,113143.93,113143.93,113143.93,113143.93,23579844,0
WIG_POLAND,5,20251016,151500,113152.95,113152.95,113152.95,113152.95,9835637,0
WIG_POLAND,5,20251017,111500,110943.57,110943.57,110943.57,110943.57,22143256,0
WIG_POLAND,5,20251017,151500,112351.02,112351.02,112351.02,112351.02,11034199,0
WIG_POLAND,5,20251020,111500,114007.87,114007.87,114007.87,114007.87,24143800,0
WIG_POLAND,5,20251020,151500,113979.65,113979.65,113979.65,113979.65,11726838,0
