<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_UKRAIN,5,20250707,111500,559.7,559.7,559.7,559.7,83702,0
WIG_UKRAIN,5,20250707,151500,557.65,557.65,557.65,557.65,20369,0
WIG_UKRAIN,5,20250708,111500,547.17,547.17,547.17,547.17,64525,0
WIG_UKRAIN,5,20250708,151500,542.24,542.24,542.24,542.24,24470,0
WIG_UKRAIN,5,20250709,111500,562.51,562.51,562.51,562.51,411353,0
WIG_UKRAIN,5,20250709,151500,550.48,550.48,550.48,550.48,56796,0
WIG_UKRAIN,5,20250710,111500,551.3,551.3,551.3,551.3,160560,0
WIG_UKRAIN,5,20250710,151500,550.81,550.81,550.81,550.81,10223,0
WIG_UKRAIN,5,20250711,111500,552.75,552.75,552.75,552.75,72513,0
WIG_UKRAIN,5,20250711,151500,565.33,565.33,565.33,565.33,0,0
WIG_UKRAIN,5,20250711,164500,564.62,564.62,564.62,564.62,0,0
WIG_UKRAIN,5,20250714,111500,568.72,568.72,568.72,568.72,215107,0
WIG_UKRAIN,5,20250714,151500,565.8,565.8,565.8,565.8,32372,0
WIG_UKRAIN,5,20250715,111500,585.17,585.17,585.17,585.17,1938858,0
WIG_UKRAIN,5,20250715,151500,582.46,582.46,582.46,582.46,274187,0
WIG_UKRAIN,5,20250716,111500,578.08,578.08,578.08,578.08,1184096,0
WIG_UKRAIN,5,20250716,151500,573.76,573.76,573.76,573.76,110305,0
WIG_UKRAIN,5,20250717,111500,567.9,567.9,567.9,567.9,211391,0
WIG_UKRAIN,5,20250717,151500,561.33,561.33,561.33,561.33,138188,0
WIG_UKRAIN,5,20250718,111500,563.88,563.88,563.88,563.88,405846,0
WIG_UKRAIN,5,20250718,151500,560.47,560.47,560.47,560.47,104657,0
WIG_UKRAIN,5,20250721,111500,568.58,568.58,568.58,568.58,57537,0
WIG_UKRAIN,5,20250721,151500,563.69,563.69,563.69,563.69,13876,0
WIG_UKRAIN,5,20250722,111500,569.7,569.7,569.7,569.7,247011,0
WIG_UKRAIN,5,20250722,151500,563.65,563.65,563.65,563.65,31812,0
WIG_UKRAIN,5,20250723,111500,560.59,560.59,560.59,560.59,137330,0
WIG_UKRAIN,5,20250723,151500,548.97,548.97,548.97,548.97,20809,0
WIG_UKRAIN,5,20250724,111500,545.95,545.95,545.95,545.95,141507,0
WIG_UKRAIN,5,20250724,151500,541.28,541.28,541.28,541.28,70428,0
WIG_UKRAIN,5,20250725,111500,537.81,537.81,537.81,537.81,59383,0
WIG_UKRAIN,5,20250725,151500,535.78,535.78,535.78,535.78,13908,0
WIG_UKRAIN,5,20250728,111500,530.51,530.51,530.51,530.51,132981,0
WIG_UKRAIN,5,20250728,151500,522.35,522.35,522.35,522.35,28456,0
WIG_UKRAIN,5,20250729,111500,535.22,535.22,535.22,535.22,172141,0
WIG_UKRAIN,5,20250729,151500,525,525,525,525,16008,0
WIG_UKRAIN,5,20250730,111500,522.83,522.83,522.83,522.83,115632,0
WIG_UKRAIN,5,20250730,151500,535.22,535.22,535.22,535.22,58932,0
WIG_UKRAIN,5,20250731,111500,527.15,527.15,527.15,527.15,79375,0
WIG_UKRAIN,5,20250731,151500,524.47,524.47,524.47,524.47,28656,0
WIG_UKRAIN,5,20250801,111500,519.8,519.8,519.8,519.8,70463,0
WIG_UKRAIN,5,20250801,151500,522.52,522.52,522.52,522.52,17549,0
WIG_UKRAIN,5,20250804,111500,533.49,533.49,533.49,533.49,552801,0
WIG_UKRAIN,5,20250804,151500,523.45,523.45,523.45,523.45,86677,0
WIG_UKRAIN,5,20250805,111500,531.79,531.79,531.79,531.79,142709,0
WIG_UKRAIN,5,20250805,151500,521.94,521.94,521.94,521.94,19601,0
WIG_UKRAIN,5,20250806,111500,528.6,528.6,528.6,528.6,48468,0
WIG_UKRAIN,5,20250806,151500,527.74,527.74,527.74,527.74,57547,0
WIG_UKRAIN,5,20250807,111500,558.58,558.58,558.58,558.58,1792468,0
WIG_UKRAIN,5,20250807,151500,572.45,572.45,572.45,572.45,719540,0
WIG_UKRAIN,5,20250808,111500,572.87,572.87,572.87,572.87,1315232,0
WIG_UKRAIN,5,20250808,151500,574.73,574.73,574.73,574.73,329719,0
WIG_UKRAIN,5,20250811,111500,599.51,599.51,599.51,599.51,1683219,0
WIG_UKRAIN,5,20250811,151500,602.42,602.42,602.42,602.42,324347,0
WIG_UKRAIN,5,20250812,111500,588.85,588.85,588.85,588.85,692135,0
WIG_UKRAIN,5,20250812,151500,592.59,592.59,592.59,592.59,282087,0
WIG_UKRAIN,5,20250813,111500,597.38,597.38,597.38,597.38,629473,0
WIG_UKRAIN,5,20250813,151500,580.65,580.65,580.65,580.65,109835,0
WIG_UKRAIN,5,20250814,111500,587.76,587.76,587.76,587.76,551582,0
WIG_UKRAIN,5,20250814,151500,589.05,589.05,589.05,589.05,152013,0
WIG_UKRAIN,5,20250818,111500,578.77,578.77,578.77,578.77,554762,0
WIG_UKRAIN,5,20250818,151500,578.8,578.8,578.8,578.8,72391,0
WIG_UKRAIN,5,20250819,111500,593.94,593.94,593.94,593.94,98536,0
WIG_UKRAIN,5,20250819,151500,588.88,588.88,588.88,588.88,91299,0
WIG_UKRAIN,5,20250820,111500,599.29,599.29,599.29,599.29,283586,0
WIG_UKRAIN,5,20250820,151500,596.14,596.14,596.14,596.14,51005,0
WIG_UKRAIN,5,20250821,111500,588.87,588.87,588.87,588.87,303271,0
WIG_UKRAIN,5,20250821,151500,588.67,588.67,588.67,588.67,52014,0
WIG_UKRAIN,5,20250822,111500,575.85,575.85,575.85,575.85,473284,0
WIG_UKRAIN,5,20250822,151500,570.5,570.5,570.5,570.5,132919,0
WIG_UKRAIN,5,20250825,111500,563.59,563.59,563.59,563.59,179382,0
WIG_UKRAIN,5,20250825,151500,570.05,570.05,570.05,570.05,61572,0
WIG_UKRAIN,5,20250826,111500,575.15,575.15,575.15,575.15,177666,0
WIG_UKRAIN,5,20250826,151500,567.75,567.75,567.75,567.75,40813,0
WIG_UKRAIN,5,20250827,111500,560.24,560.24,560.24,560.24,157114,0
WIG_UKRAIN,5,20250827,151500,569.79,569.79,569.79,569.79,9875,0
WIG_UKRAIN,5,20250828,111500,576.01,576.01,576.01,576.01,26807,0
WIG_UKRAIN,5,20250828,151500,574.19,574.19,574.19,574.19,20082,0
WIG_UKRAIN,5,20250829,111500,580.03,580.03,580.03,580.03,169528,0
WIG_UKRAIN,5,20250829,151500,573.93,573.93,573.93,573.93,15753,0
WIG_UKRAIN,5,20250901,111500,567.34,567.34,567.34,567.34,218925,0
WIG_UKRAIN,5,20250901,151500,563.92,563.92,563.92,563.92,38435,0
WIG_UKRAIN,5,20250902,111500,552.53,552.53,552.53,552.53,100942,0
WIG_UKRAIN,5,20250902,151500,550.83,550.83,550.83,550.83,28420,0
WIG_UKRAIN,5,20250903,111500,561.62,561.62,561.62,561.62,101290,0
WIG_UKRAIN,5,20250903,151500,559.32,559.32,559.32,559.32,24126,0
WIG_UKRAIN,5,20250904,111500,556.3,556.3,556.3,556.3,39350,0
WIG_UKRAIN,5,20250904,151500,554.57,554.57,554.57,554.57,163061,0
WIG_UKRAIN,5,20250905,111500,557.78,557.78,557.78,557.78,199280,0
WIG_UKRAIN,5,20250905,151500,560.15,560.15,560.15,560.15,34305,0
