<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIGMED,5,20250707,090000,18567,18580.27,18559.49,18574.22,68824,0
WIGMED,5,20250707,090500,18569.44,18586.18,18559.96,18559.96,12368,0
WIGMED,5,20250707,091000,18552.09,18559.56,18542.17,18559.56,6500,0
WIGMED,5,20250707,091500,18561.96,18561.96,18516.89,18519.66,38560,0
WIGMED,5,20250707,092000,18520.05,18520.05,18483.06,18483.06,4039,0
WIGMED,5,20250707,092500,18484.36,18501.06,18482.66,18482.66,18091,0
WIGMED,5,20250707,093000,18495.42,18497.84,18467.34,18476.42,3519,0
WIGMED,5,20250707,093500,18461.55,18462.16,18454.33,18461.39,42524,0
WIGMED,5,20250707,094000,18462.94,18472.64,18456.56,18472.64,7373,0
WIGMED,5,20250707,094500,18480.54,18497.26,18476.75,18497.26,10145,0
WIGMED,5,20250707,095000,18518.55,18518.55,18493.91,18494.35,3562,0
WIGMED,5,20250707,095500,18512.33,18525.58,18512.33,18525.58,60587,0
WIGMED,5,20250707,100000,18507.86,18528.09,18507.86,18528.09,38213,0
WIGMED,5,20250707,100500,18515.98,18515.98,18502.54,18502.54,14041,0
WIGMED,5,20250707,101000,18504.18,18504.18,18488.99,18499.07,4412,0
WIGMED,5,20250707,101500,18498.26,18499.15,18494.61,18494.61,2710,0
WIGMED,5,20250707,102000,18500.71,18502.18,18491.96,18502.18,5077,0
WIGMED,5,20250707,102500,18498.56,18502.31,18487.15,18493.25,11151,0
WIGMED,5,20250707,103000,18493.97,18495.28,18478.5,18478.5,18555,0
WIGMED,5,20250707,103500,18480.41,18480.41,18467.2,18467.2,4717,0
WIGMED,5,20250707,104000,18457.14,18467.34,18457.14,18463.92,12309,0
WIGMED,5,20250707,104500,18477.13,18494.36,18477.13,18493.82,5202,0
WIGMED,5,20250707,105000,18498.88,18501.11,18480.05,18480.05,57034,0
WIGMED,5,20250707,105500,18476.53,18476.53,18453.4,18453.4,4633,0
WIGMED,5,20250707,110000,18465.65,18465.65,18464.19,18464.21,2924,0
WIGMED,5,20250707,110500,18464.21,18468.8,18462.3,18468.33,18392,0
WIGMED,5,20250707,111000,18472.8,18491.05,18472.8,18483.93,2160,0
WIGMED,5,20250707,111500,18479.95,18495.86,18476.61,18476.61,1335,0
WIGMED,5,20250707,112000,18494.19,18494.19,18479.27,18479.27,6345,0
WIGMED,5,20250707,112500,18444.31,18461.23,18444.31,18461.23,6057,0
WIGMED,5,20250707,113000,18461.73,18481.18,18460.45,18481.18,2735,0
WIGMED,5,20250707,113500,18474.97,18477.16,18468.11,18477.16,1241,0
WIGMED,5,20250707,114000,18466.87,18476.53,18452.26,18452.26,11544,0
WIGMED,5,20250707,114500,18454.23,18454.23,18415.21,18436.95,9847,0
WIGMED,5,20250707,115000,18438.06,18474.8,18437.45,18474.8,9810,0
WIGMED,5,20250707,115500,18472.63,18475.46,18472.63,18475.46,871,0
WIGMED,5,20250707,120000,18472.91,18473.51,18450.64,18471.5,4058,0
WIGMED,5,20250707,120500,18468.93,18469.79,18441.16,18441.16,1433,0
WIGMED,5,20250707,121000,18448.73,18463.31,18448.73,18457.64,2537,0
WIGMED,5,20250707,121500,18458.5,18458.5,18430.27,18432.02,2601,0
WIGMED,5,20250707,122000,18437.17,18437.17,18420.99,18420.99,1529,0
WIGMED,5,20250707,122500,18410.59,18421.96,18408.65,18421.96,3193,0
WIGMED,5,20250707,123000,18431.57,18442.04,18431.57,18439.06,8756,0
WIGMED,5,20250707,123500,18439.5,18456.38,18439.5,18456.38,1889,0
WIGMED,5,20250707,124000,18462.51,18462.51,18428.81,18429.18,14921,0
WIGMED,5,20250707,124500,18431.67,18444.11,18427.42,18444.11,680,0
WIGMED,5,20250707,125000,18436.13,18441.39,18435.73,18435.73,1521,0
