<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20C263400.PL,5,20250811,151000,50.7,50.7,50.7,50.7,2,0
OW20C263400.PL,5,20250813,163000,46.65,46.65,46.65,46.65,1,2
OW20C263400.PL,5,20250818,152500,41.59,41.59,41.59,41.59,1,3
OW20C263400.PL,5,20250820,121500,43.54,43.54,43.54,43.54,1,4
OW20C263400.PL,5,20250821,095500,42.67,42.67,42.67,42.67,1,5
OW20C263400.PL,5,20250905,161500,16.5,16.5,16.5,16.5,5,6
OW20C263400.PL,5,20250918,133500,12,12,12,12,1,6
OW20C263400.PL,5,20250923,094000,10.27,10.27,10.27,10.27,2,7
OW20C263400.PL,5,20250923,100500,10.27,10.27,10.27,10.27,1,9
OW20C263400.PL,5,20251002,130000,15,15,15,15,1,10
OW20C263400.PL,5,20251002,134500,15.24,15.24,15.24,15.24,2,11
OW20C263400.PL,5,20251008,094500,13,13,13,13,1,13
OW20C263400.PL,5,20251008,105000,11.36,11.36,11.36,11.36,1,13
OW20C263400.PL,5,20251010,164500,13.72,13.72,13.72,13.72,1,14
OW20C263400.PL,5,20251014,095500,9.67,9.67,9.67,9.67,1,15
OW20C263400.PL,5,20251016,133000,13.27,13.27,13.27,13.27,1,15
OW20C263400.PL,5,20251020,091500,14.13,14.13,14.13,14.13,2,16
OW20C263400.PL,5,20251020,121000,15.08,15.08,15.08,15.08,1,18
OW20C263400.PL,5,20251020,130500,14.13,14.13,14.13,14.13,2,19
OW20C263400.PL,5,20251021,091500,16.38,16.38,16.38,16.38,1,21
OW20C263400.PL,5,20251021,134500,16.73,16.73,16.73,16.73,2,22
OW20C263400.PL,5,20251022,095000,17.22,17.22,17.22,17.22,1,24
OW20C263400.PL,5,20251024,095000,20.19,20.19,20.19,20.19,4,24
OW20C263400.PL,5,20251024,100000,21.65,21.65,21.65,21.65,10,28
OW20C263400.PL,5,20251028,091000,22.07,22.07,22.07,22.07,10,31
OW20C263400.PL,5,20251029,091500,33,33,33,33,5,41
OW20C263400.PL,5,20251029,101000,32.51,32.51,32.51,32.51,1,41
OW20C263400.PL,5,20251029,114500,28.83,28.83,28.83,28.83,1,42
OW20C263400.PL,5,20251029,123500,28.32,28.32,28.32,28.32,1,43
OW20C263400.PL,5,20251029,125500,27.31,27.31,27.31,27.31,1,44
OW20C263400.PL,5,20251030,162500,27.9,27.9,27.9,27.9,1,0
OW20C263400.PL,5,20251103,102000,28.16,28.16,28.16,28.16,1,46
OW20C263400.PL,5,20251103,102500,27.77,27.77,27.77,27.77,2,47
OW20C263400.PL,5,20251104,091500,21.23,21.23,21.23,21.23,1,49
OW20C263400.PL,5,20251104,114000,20.32,20.32,20.32,20.32,1,50
OW20C263400.PL,5,20251104,164500,19,19,19,19,1,51
OW20C263400.PL,5,20251105,101000,20.43,20.43,20.43,20.43,1,52
OW20C263400.PL,5,20251105,151500,19.85,19.85,19.85,19.85,10,53
OW20C263400.PL,5,20251105,164000,19.14,19.14,19.14,19.14,1,63
OW20C263400.PL,5,20251106,125000,27.26,27.26,27.26,27.26,1,64
OW20C263400.PL,5,20251106,131500,27.01,27.01,27.01,27.01,1,65
OW20C263400.PL,5,20251107,111000,21.29,21.29,21.29,21.29,10,65
OW20C263400.PL,5,20251107,130000,20.95,20.95,20.95,20.95,1,75
OW20C263400.PL,5,20251110,110000,24.93,24.93,24.93,24.93,5,76
OW20C263400.PL,5,20251113,094500,34.87,34.87,34.87,34.87,1,81
OW20C263400.PL,5,20251113,131000,27.38,27.38,27.38,27.38,1,81
OW20C263400.PL,5,20251114,090500,20.39,20.39,20.39,20.39,1,82
OW20C263400.PL,5,20251114,130000,17.8,17.8,17.8,17.8,1,82
OW20C263400.PL,5,20251114,130500,17.5,17.5,17.5,17.5,1,82
OW20C263400.PL,5,20251117,131000,14.75,14.75,14.75,14.75,1,81
OW20C263400.PL,5,20251118,090500,13.51,13.51,13.51,13.51,1,82
OW20C263400.PL,5,20251118,141000,11.64,11.64,11.64,11.64,1,82
OW20C263400.PL,5,20251120,100500,16.1,16.1,16.1,16.1,1,0
OW20C263400.PL,5,20251121,090500,12.46,12.46,12.46,12.46,2,82
OW20C263400.PL,5,20251121,141000,14.97,14.97,14.97,14.97,1,82
OW20C263400.PL,5,20251126,101000,15.37,15.37,15.37,15.37,1,82
OW20C263400.PL,5,20251127,104000,18.62,18.62,18.62,18.62,1,82
OW20C263400.PL,5,20251128,092500,16.25,16.25,16.25,16.25,1,82
OW20C263400.PL,5,20251128,105500,18.14,18.14,18.14,18.14,1,82
OW20C263400.PL,5,20251128,124500,19.76,19.76,19.76,19.76,1,82
OW20C263400.PL,5,20251201,103500,21,21,21,21,1,83
OW20C263400.PL,5,20251201,105500,20.16,20.16,20.16,20.16,1,83
OW20C263400.PL,5,20251201,131500,19.9,19.9,19.9,19.9,1,84
OW20C263400.PL,5,20251202,115000,16.82,16.82,16.82,16.82,1,85
