<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20H252850.PL,5,20250707,145000,71.5,71.5,71.5,71.5,10,3
OW20H252850.PL,5,20250710,091500,87.25,87.25,87.25,87.25,1,13
OW20H252850.PL,5,20250710,100000,86.25,86.25,86.25,86.25,1,14
OW20H252850.PL,5,20250715,154000,80,80,80,80,5,15
OW20H252850.PL,5,20250715,160500,72.7,72.9,72,72,6,15
OW20H252850.PL,5,20250717,103000,60.9,60.9,60.9,60.9,1,15
OW20H252850.PL,5,20250717,104000,61.4,61.4,61.4,61.4,10,16
OW20H252850.PL,5,20250717,113500,62.3,62.3,62.3,62.3,11,26
OW20H252850.PL,5,20250717,132000,59,59,59,59,10,37
OW20H252850.PL,5,20250718,090000,99,99,99,99,11,47
OW20H252850.PL,5,20250718,093500,120.1,120.1,120.1,120.1,1,47
OW20H252850.PL,5,20250718,154000,113,113,113,113,1,46
OW20H252850.PL,5,20250722,141000,87.55,87.55,87.55,87.55,1,46
OW20H252850.PL,5,20250723,112500,115,115,115,115,1,45
OW20H252850.PL,5,20250723,125500,102,102,102,102,1,45
OW20H252850.PL,5,20250728,094000,102,102,102,102,12,34
OW20H252850.PL,5,20250728,154000,65,65,65,65,1,34
OW20H252850.PL,5,20250728,154500,63,63,59.85,59.85,3,35
OW20H252850.PL,5,20250728,155500,59.7,59.7,59.65,59.65,3,37
OW20H252850.PL,5,20250728,160500,63,63,63,63,1,40
OW20H252850.PL,5,20250728,163000,63,63,63,63,1,41
OW20H252850.PL,5,20250728,164500,63,63,63,63,1,41
OW20H252850.PL,5,20250729,093000,65.95,65.95,65.95,65.95,12,41
OW20H252850.PL,5,20250729,094000,65.95,65.95,65.95,65.95,10,53
OW20H252850.PL,5,20250731,111000,95.7,95.7,95.7,95.7,15,53
OW20H252850.PL,5,20250731,111500,95.7,95.7,95.7,95.7,5,48
OW20H252850.PL,5,20250731,122000,95.7,95.7,95.7,95.7,30,24
OW20H252850.PL,5,20250801,091500,55.4,55.4,55.4,55.4,3,16
OW20H252850.PL,5,20250801,100000,52.15,52.15,52.15,52.15,2,19
OW20H252850.PL,5,20250801,104000,46.68,46.68,46.68,46.68,10,19
OW20H252850.PL,5,20250801,131500,41,41,41,41,2,19
OW20H252850.PL,5,20250801,163000,39.99,39.99,39.99,39.99,1,21
OW20H252850.PL,5,20250804,093500,33.25,33.25,33.25,33.25,1,21
OW20H252850.PL,5,20250804,094000,32.69,32.69,32.69,32.69,2,22
OW20H252850.PL,5,20250804,095000,32.07,32.07,32.07,32.07,1,24
OW20H252850.PL,5,20250804,100500,31.52,31.52,31.52,31.52,5,24
OW20H252850.PL,5,20250804,102000,31.52,31.52,31.52,31.52,1,24
OW20H252850.PL,5,20250804,102500,33.4,33.4,33.4,33.4,4,24
OW20H252850.PL,5,20250804,105500,33.02,33.02,33.02,33.02,4,28
OW20H252850.PL,5,20250804,114000,34.34,34.34,34.34,34.34,1,32
OW20H252850.PL,5,20250804,123500,34.5,34.5,34.5,34.5,1,32
OW20H252850.PL,5,20250804,140500,38.61,38.61,38.61,38.61,1,33
OW20H252850.PL,5,20250805,104000,42.99,42.99,42.99,42.99,4,33
OW20H252850.PL,5,20250805,120000,44.44,44.44,44.44,44.44,2,33
OW20H252850.PL,5,20250805,160000,43.1,43.1,43.1,43.1,9,34
OW20H252850.PL,5,20250806,124000,42.93,42.93,42.93,42.93,1,34
OW20H252850.PL,5,20250806,124500,42.94,42.94,42.94,42.94,1,34
OW20H252850.PL,5,20250806,140500,50.5,50.5,50.5,50.5,1,34
OW20H252850.PL,5,20250806,160000,69,69,69,69,10,34
OW20H252850.PL,5,20250806,163500,79.5,79.5,79.5,79.5,2,25
OW20H252850.PL,5,20250806,164000,81.1,81.1,81.1,81.1,2,23
OW20H252850.PL,5,20250807,091500,80.45,80.45,80.45,80.45,1,23
OW20H252850.PL,5,20250807,092000,78.85,78.85,78,78,2,23
OW20H252850.PL,5,20250807,092500,72,72,72,72,1,24
OW20H252850.PL,5,20250807,101000,95,95,95,95,1,25
OW20H252850.PL,5,20250807,110000,114.25,114.25,114.25,114.25,2,24
OW20H252850.PL,5,20250807,125000,134.5,134.5,134.5,134.5,6,24
OW20H252850.PL,5,20250807,151000,138,138,138,138,1,24
OW20H252850.PL,5,20250807,161500,117.3,117.3,117.3,117.3,10,23
OW20H252850.PL,5,20250808,094000,104,104,104,104,2,23
OW20H252850.PL,5,20250811,090500,138,138,138,138,4,21
OW20H252850.PL,5,20250811,164500,120,120,120,120,1,21
OW20H252850.PL,5,20250814,142500,95,95,95,95,2,21
