<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20I252975.PL,5,20250819,090000,80,80,80,80,5,0
OW20I252975.PL,5,20250822,121500,45,45,45,45,1,5
OW20I252975.PL,5,20250822,122500,37.47,37.47,37.47,37.47,1,6
OW20I252975.PL,5,20250822,143500,34.34,34.34,34.34,34.34,1,6
OW20I252975.PL,5,20250822,152000,34.97,34.97,34.97,34.97,3,7
OW20I252975.PL,5,20250822,162500,37.87,37.87,37.87,37.87,1,10
OW20I252975.PL,5,20250822,163000,37,37,37,37,1,11
OW20I252975.PL,5,20250825,133000,43.97,43.97,43.97,43.97,1,12
OW20I252975.PL,5,20250826,090500,31,31,30,30,2,12
OW20I252975.PL,5,20250826,091000,27.6,27.6,27.6,27.6,5,12
OW20I252975.PL,5,20250826,091500,27.5,27.5,27.5,27.5,5,14
OW20I252975.PL,5,20250826,092500,24.97,24.97,24.97,24.97,2,19
OW20I252975.PL,5,20250826,122000,36.42,36.42,36.42,36.42,1,19
OW20I252975.PL,5,20250826,143500,40,40,40,40,1,19
OW20I252975.PL,5,20250827,101500,30.23,30.23,30.23,30.23,2,18
OW20I252975.PL,5,20250827,104000,31,31,31,31,1,18
OW20I252975.PL,5,20250827,123000,30.03,30.03,30.03,30.03,1,19
OW20I252975.PL,5,20250827,143500,24.84,24.84,24.84,24.84,1,20
OW20I252975.PL,5,20250827,144000,22.67,23,22.67,23,2,20
OW20I252975.PL,5,20250827,144500,23.15,23.15,19.41,19.41,4,20
OW20I252975.PL,5,20250827,150000,20.5,20.5,19.91,19.91,2,20
OW20I252975.PL,5,20250827,163500,22,22,22,22,2,20
OW20I252975.PL,5,20250827,164000,22,22,22,22,2,22
OW20I252975.PL,5,20250828,091000,26.23,26.23,26.23,26.23,2,24
OW20I252975.PL,5,20250828,092000,27.93,28.25,27.93,28.25,5,24
OW20I252975.PL,5,20250828,102000,22.5,22.5,22.5,22.5,2,25
OW20I252975.PL,5,20250828,110500,20.28,20.28,20.28,20.28,1,26
OW20I252975.PL,5,20250828,112500,19,19,19,19,1,26
OW20I252975.PL,5,20250828,113500,19.06,19.06,19.06,19.06,1,27
OW20I252975.PL,5,20250828,114500,15.61,15.61,15.61,15.61,1,28
OW20I252975.PL,5,20250828,115500,18.05,18.05,18.05,18.05,2,28
OW20I252975.PL,5,20250828,121500,20.84,20.84,20.84,20.84,1,26
OW20I252975.PL,5,20250828,132000,18.2,18.2,18.2,18.2,2,27
OW20I252975.PL,5,20250828,153500,17,17,17,17,2,27
OW20I252975.PL,5,20250828,155000,17.2,17.2,17.2,17.2,1,28
OW20I252975.PL,5,20250828,160000,16.82,16.82,16.82,16.82,1,28
OW20I252975.PL,5,20250828,163500,16.02,16.02,16.02,16.02,2,29
OW20I252975.PL,5,20250829,091000,16.71,16.71,16.71,16.71,2,31
OW20I252975.PL,5,20250829,091500,14.1,14.1,14.1,14.1,2,33
OW20I252975.PL,5,20250829,095000,14.02,14.02,14.02,14.02,1,35
OW20I252975.PL,5,20250829,100500,12.8,12.8,12.8,12.8,1,36
OW20I252975.PL,5,20250829,101000,12.2,12.2,12.2,12.2,1,36
OW20I252975.PL,5,20250829,101500,12.1,12.1,12.1,12.1,2,36
OW20I252975.PL,5,20250829,102000,11.71,11.71,11.71,11.71,10,38
OW20I252975.PL,5,20250829,145000,10,10,8.86,8.86,6,48
OW20I252975.PL,5,20250829,154500,8.5,8.5,8.5,8.5,1,44
OW20I252975.PL,5,20250829,160000,9,9,9,9,1,44
OW20I252975.PL,5,20250901,090500,8,8,8,8,2,44
OW20I252975.PL,5,20250901,092500,8.14,8.14,8.14,8.14,1,42
OW20I252975.PL,5,20250901,093500,9.08,9.08,9.08,9.08,2,42
OW20I252975.PL,5,20250901,120000,7.25,7.25,7.25,7.25,1,42
OW20I252975.PL,5,20250901,140500,5.66,5.66,5.66,5.66,1,43
OW20I252975.PL,5,20250901,153000,4.47,4.47,4.47,4.47,2,43
OW20I252975.PL,5,20250901,153500,3.9,3.9,3.9,3.9,1,43
OW20I252975.PL,5,20250901,154000,4.41,4.41,4.41,4.41,1,43
OW20I252975.PL,5,20250902,092500,3.52,3.52,3.52,3.52,2,43
OW20I252975.PL,5,20250902,095500,3,3,3,3,2,45
OW20I252975.PL,5,20250902,144000,3,3,3,3,1,45
OW20I252975.PL,5,20250903,140500,5.25,5.25,5.25,5.25,1,45
OW20I252975.PL,5,20250904,160000,7.18,7.18,7.18,7.18,2,0
OW20I252975.PL,5,20250904,163500,6.73,7.19,6.73,7.19,3,46
OW20I252975.PL,5,20250905,091000,6.83,6.83,6.83,6.83,1,47
OW20I252975.PL,5,20250905,095000,8.99,8.99,8.99,8.99,2,47
OW20I252975.PL,5,20250905,145000,10.99,10.99,10.99,10.99,1,49
OW20I252975.PL,5,20250905,164500,6.65,6.65,6.65,6.65,1,49
OW20I252975.PL,5,20250908,091500,9.06,9.06,9.06,9.06,3,48
OW20I252975.PL,5,20250908,094000,9.99,9.99,9.99,9.99,1,48
OW20I252975.PL,5,20250908,101000,9.75,10.11,9.75,10.11,3,48
OW20I252975.PL,5,20250908,155000,11.35,11.35,11.35,11.35,1,48
OW20I252975.PL,5,20250908,155500,11.35,11.35,11.35,11.35,1,48
OW20I252975.PL,5,20250908,163500,12.49,12.5,12.49,12.5,3,47
OW20I252975.PL,5,20250908,164000,12.58,12.58,12.58,12.58,3,46
OW20I252975.PL,5,20250909,095500,8.81,8.81,8.58,8.58,2,47
OW20I252975.PL,5,20250909,104000,7.84,7.84,7.84,7.84,2,47
OW20I252975.PL,5,20250909,155000,6.16,6.16,6.16,6.16,1,49
OW20I252975.PL,5,20250910,092000,5.18,5.18,5.18,5.18,1,50
OW20I252975.PL,5,20250911,095000,4.9,4.9,4.9,4.9,6,49
OW20I252975.PL,5,20250911,095500,4.9,4.9,4.9,4.9,4,49
OW20I252975.PL,5,20250911,102500,4.83,4.83,4.83,4.83,1,49
OW20I252975.PL,5,20250911,131000,4.75,4.95,4.75,4.95,2,48
OW20I252975.PL,5,20250911,145500,6,6,6,6,3,47
OW20I252975.PL,5,20250911,151500,5.72,5.72,5.72,5.72,2,45
OW20I252975.PL,5,20250911,152500,6.57,6.57,6.57,6.57,1,45
OW20I252975.PL,5,20250911,160500,9.23,10.5,9.23,10.5,6,42
OW20I252975.PL,5,20250912,091000,10,10,10,10,1,42
OW20I252975.PL,5,20250912,092000,8.15,8.15,7.97,7.97,2,43
OW20I252975.PL,5,20250912,094500,8.63,8.63,8.63,8.63,1,44
OW20I252975.PL,5,20250915,090500,5.51,5.51,5.51,5.51,3,43
OW20I252975.PL,5,20250915,091000,5.3,5.3,5.3,5.3,4,43
OW20I252975.PL,5,20250915,093000,5,5,5,5,1,43
OW20I252975.PL,5,20250915,142000,3.4,3.4,3.4,3.4,1,44
OW20I252975.PL,5,20250916,092500,2.97,2.97,2.87,2.87,4,43
OW20I252975.PL,5,20250916,104500,3.75,3.75,3.75,3.75,3,41
