<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20K252950.PL,5,20250822,115500,95.15,95.15,95.15,95.15,1,0
OW20K252950.PL,5,20250919,163500,30.02,30.02,30.02,30.02,11,0
OW20K252950.PL,5,20250922,103500,26.2,26.2,26.2,26.2,1,12
OW20K252950.PL,5,20251001,154000,41.39,41.39,41.39,41.39,2,13
OW20K252950.PL,5,20251002,122500,47.62,47.62,47.62,47.62,1,15
OW20K252950.PL,5,20251002,125500,51.7,51.7,51.7,51.7,1,16
OW20K252950.PL,5,20251003,112500,47.71,47.71,47.71,47.71,1,17
OW20K252950.PL,5,20251008,104500,37.42,37.42,37.42,37.42,1,18
OW20K252950.PL,5,20251008,142500,45.88,45.88,45.88,45.88,1,0
OW20K252950.PL,5,20251008,143000,49.67,49.67,49.67,49.67,1,19
OW20K252950.PL,5,20251009,095000,45.59,45.59,45.59,45.59,1,18
OW20K252950.PL,5,20251009,160000,45.31,45.31,45.31,45.31,1,19
OW20K252950.PL,5,20251013,091500,32.96,32.96,32.96,32.96,10,18
OW20K252950.PL,5,20251013,092000,35.87,35.87,35.87,35.87,10,24
OW20K252950.PL,5,20251013,092500,34.89,34.89,34.89,34.89,1,34
OW20K252950.PL,5,20251013,105000,36.79,36.79,36.79,36.79,2,35
OW20K252950.PL,5,20251013,114000,36.9,36.9,36.9,36.9,1,35
OW20K252950.PL,5,20251014,104500,27.28,27.28,27.28,27.28,1,36
OW20K252950.PL,5,20251014,115500,29.07,29.07,29.07,29.07,1,37
OW20K252950.PL,5,20251014,133500,27,27,27,27,1,37
OW20K252950.PL,5,20251014,151500,27.31,27.31,27.31,27.31,1,37
OW20K252950.PL,5,20251014,152500,27.16,27.16,27.16,27.16,1,37
OW20K252950.PL,5,20251015,101500,49.09,49.09,49.09,49.09,3,37
OW20K252950.PL,5,20251015,104000,49.31,49.31,49.31,49.31,1,37
OW20K252950.PL,5,20251015,121500,47.09,47.09,47.09,47.09,2,37
OW20K252950.PL,5,20251015,123500,48,48,48,48,1,39
OW20K252950.PL,5,20251015,140000,49,49,49,49,1,39
OW20K252950.PL,5,20251017,091500,34.17,34.17,34.17,34.17,1,39
OW20K252950.PL,5,20251017,094500,29,29.52,28.93,28.93,5,43
OW20K252950.PL,5,20251017,101000,23.92,23.92,23.92,23.92,1,44
OW20K252950.PL,5,20251017,102000,23.92,23.92,23.92,23.92,2,46
OW20K252950.PL,5,20251017,131000,29,29,29,29,1,47
OW20K252950.PL,5,20251017,133500,32,32,32,32,1,48
OW20K252950.PL,5,20251017,135500,36,36,36,36,1,49
OW20K252950.PL,5,20251017,142500,39.9,39.9,39.9,39.9,1,49
OW20K252950.PL,5,20251017,152500,38.09,38.09,38.09,38.09,1,49
OW20K252950.PL,5,20251017,153500,39.7,40.5,39.7,40.5,3,51
OW20K252950.PL,5,20251017,160000,39.78,39.78,39.78,39.78,2,52
