<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20L253150.PL,5,20250922,100500,12.21,12.21,12.21,12.21,1,0
OW20L253150.PL,5,20250923,093500,15,15,15,15,1,1
OW20L253150.PL,5,20250923,100000,14.91,14.91,14.91,14.91,1,2
OW20L253150.PL,5,20250923,105000,16.14,16.14,16.14,16.14,2,3
OW20L253150.PL,5,20250924,161500,17.51,17.51,17.51,17.51,1,5
OW20L253150.PL,5,20250925,102000,15.89,15.89,15.89,15.89,1,6
OW20L253150.PL,5,20250926,162000,15.1,15.75,15.1,15.75,3,10
OW20L253150.PL,5,20250929,091500,17.36,17.36,17.36,17.36,1,11
OW20L253150.PL,5,20250929,092500,16.91,16.91,16.91,16.91,1,12
OW20L253150.PL,5,20250929,151500,15.64,15.64,15.64,15.64,1,13
OW20L253150.PL,5,20250930,164000,13.29,13.29,13.29,13.29,2,14
OW20L253150.PL,5,20250930,164500,13.91,13.91,13.91,13.91,1,16
OW20L253150.PL,5,20251001,153500,17.5,17.5,17.5,17.5,1,17
OW20L253150.PL,5,20251002,095000,18.89,18.89,18.89,18.89,1,18
OW20L253150.PL,5,20251002,104000,17.9,17.9,17.9,17.9,1,19
OW20L253150.PL,5,20251002,135000,26.36,26.36,26.36,26.36,3,20
OW20L253150.PL,5,20251003,111000,20.21,20.21,20.21,20.21,1,20
OW20L253150.PL,5,20251003,134000,17.53,17.53,17.53,17.53,1,21
OW20L253150.PL,5,20251006,092500,18.96,18.96,18.96,18.96,11,22
OW20L253150.PL,5,20251007,104000,14.44,14.44,14.44,14.44,1,28
OW20L253150.PL,5,20251007,110000,15.8,15.8,15.8,15.8,1,29
OW20L253150.PL,5,20251007,155000,18.25,18.25,18.25,18.25,1,30
OW20L253150.PL,5,20251007,162500,18.27,18.27,18.27,18.27,1,31
OW20L253150.PL,5,20251008,104500,16.58,16.58,16.42,16.42,2,32
OW20L253150.PL,5,20251008,134000,19.89,19.89,19.89,19.89,1,0
OW20L253150.PL,5,20251008,155500,16.43,16.43,16.43,16.43,1,34
OW20L253150.PL,5,20251008,160000,18.64,18.64,18.64,18.64,2,35
OW20L253150.PL,5,20251009,092000,20.51,20.51,20.51,20.51,1,37
OW20L253150.PL,5,20251009,095000,20.17,20.17,20.17,20.17,1,38
OW20L253150.PL,5,20251009,100000,21.01,21.01,21.01,21.01,10,39
OW20L253150.PL,5,20251010,092000,18.72,18.72,18.72,18.72,1,49
OW20L253150.PL,5,20251010,094000,19.58,19.58,19.58,19.58,10,50
OW20L253150.PL,5,20251010,100500,19.06,19.06,19.06,19.06,1,60
OW20L253150.PL,5,20251010,123000,15.75,15.75,15.75,15.75,1,61
OW20L253150.PL,5,20251010,163000,17.49,17.49,17.49,17.49,1,62
OW20L253150.PL,5,20251010,163500,18.68,18.68,18.68,18.68,1,62
OW20L253150.PL,5,20251013,104500,13.97,13.97,13.97,13.97,1,62
OW20L253150.PL,5,20251014,163000,12.81,12.81,12.81,12.81,1,63
OW20L253150.PL,5,20251015,092500,15.75,15.75,15.75,15.75,1,63
OW20L253150.PL,5,20251016,104500,16.76,16.76,16.76,16.76,2,64
OW20L253150.PL,5,20251016,121500,17.67,18.94,17.67,18.94,20,76
OW20L253150.PL,5,20251016,122000,18.1,18.1,18.1,18.1,10,66
OW20L253150.PL,5,20251017,133500,12.32,12.32,12.32,12.32,1,56
OW20L253150.PL,5,20251020,091500,16.68,16.68,16.68,16.68,2,56
OW20L253150.PL,5,20251021,090500,20.11,20.11,20.11,20.11,10,58
OW20L253150.PL,5,20251021,134000,23,23,23,23,1,68
OW20L253150.PL,5,20251021,145500,22.11,22.11,22.11,22.11,1,69
OW20L253150.PL,5,20251022,092500,18.03,18.03,18.03,18.03,1,69
OW20L253150.PL,5,20251022,125000,22.79,22.79,22.79,22.79,2,0
OW20L253150.PL,5,20251023,104500,26.64,26.64,26.64,26.64,1,72
OW20L253150.PL,5,20251023,153500,32.43,32.43,32.43,32.43,1,0
OW20L253150.PL,5,20251028,103000,38.47,38.47,38.47,38.47,3,73
OW20L253150.PL,5,20251028,132000,39,39,39,39,2,76
OW20L253150.PL,5,20251028,143000,40.42,40.42,40.42,40.42,1,78
OW20L253150.PL,5,20251028,151500,42.36,42.36,42.36,42.36,1,79
OW20L253150.PL,5,20251028,154500,45.43,45.43,45.43,45.43,1,79
OW20L253150.PL,5,20251028,162000,44.91,44.91,44.91,44.91,1,79
OW20L253150.PL,5,20251028,164500,41.82,41.82,41.82,41.82,1,79
OW20L253150.PL,5,20251030,104500,33.74,33.74,33.74,33.74,1,80
OW20L253150.PL,5,20251030,163500,38,38,38,38,4,0
OW20L253150.PL,5,20251031,104000,32,32,32,32,2,85
OW20L253150.PL,5,20251103,162000,28.5,28.5,28.5,28.5,3,87
OW20L253150.PL,5,20251104,091500,21.44,21.44,21.44,21.44,10,90
OW20L253150.PL,5,20251104,095500,21.79,21.79,21.79,21.79,1,100
OW20L253150.PL,5,20251104,104500,20.15,20.15,20.15,20.15,1,99
OW20L253150.PL,5,20251104,105000,20.55,20.55,20.55,20.55,1,98
OW20L253150.PL,5,20251104,132500,20.55,20.55,20.55,20.55,1,97
OW20L253150.PL,5,20251104,153500,19.5,19.5,19.1,19.1,6,91
OW20L253150.PL,5,20251104,155500,19.27,19.27,19.27,19.27,1,91
OW20L253150.PL,5,20251105,094500,23.15,23.15,23.15,23.15,2,91
OW20L253150.PL,5,20251105,102000,18.11,18.11,17.7,17.7,2,94
OW20L253150.PL,5,20251106,100500,27.38,27.38,27.38,27.38,1,95
OW20L253150.PL,5,20251106,150500,34.08,34.08,34.08,34.08,1,95
OW20L253150.PL,5,20251106,164000,26.69,26.69,26.69,26.69,1,95
OW20L253150.PL,5,20251106,164500,25.54,25.54,25.54,25.54,1,95
OW20L253150.PL,5,20251107,102500,24.4,24.4,24.4,24.4,1,95
OW20L253150.PL,5,20251107,112500,18.63,18.63,18.63,18.63,2,96
OW20L253150.PL,5,20251107,113000,18.21,18.21,18.2,18.2,3,98
OW20L253150.PL,5,20251107,154500,16.4,16.4,16.4,16.4,2,100
OW20L253150.PL,5,20251110,091000,22.6,22.6,22.6,22.6,1,102
OW20L253150.PL,5,20251110,164000,26,26,26,26,1,103
OW20L253150.PL,5,20251112,095500,27.39,27.39,27.39,27.39,1,103
OW20L253150.PL,5,20251112,103000,25.62,25.62,25.62,25.62,2,105
OW20L253150.PL,5,20251112,114500,36.64,36.64,36.64,36.64,3,106
OW20L253150.PL,5,20251112,121500,34.89,34.89,34.89,34.89,6,106
OW20L253150.PL,5,20251112,122000,34.82,34.82,34.82,34.82,1,106
OW20L253150.PL,5,20251112,122500,38.43,38.43,38.43,38.43,1,107
OW20L253150.PL,5,20251112,163000,25.15,25.15,25.15,25.15,2,107
OW20L253150.PL,5,20251113,152000,27,27,27,27,1,107
OW20L253150.PL,5,20251113,160500,27.06,27.06,27.06,27.06,1,108
OW20L253150.PL,5,20251114,102500,19.56,19.56,19.56,19.56,2,108
OW20L253150.PL,5,20251114,155500,18.35,18.35,18.35,18.35,2,106
OW20L253150.PL,5,20251114,163000,16.5,16.5,16.5,16.5,1,108
OW20L253150.PL,5,20251114,164500,20.89,20.89,20.89,20.89,3,108
OW20L253150.PL,5,20251117,091000,21.73,21.73,21.73,21.73,10,111
OW20L253150.PL,5,20251117,091500,20.69,20.69,20.69,20.69,10,121
OW20L253150.PL,5,20251117,093500,18.75,18.75,18.75,18.75,1,131
OW20L253150.PL,5,20251117,104000,16.15,16.15,16.12,16.12,2,132
OW20L253150.PL,5,20251117,123000,14.61,14.61,14.61,14.61,2,132
OW20L253150.PL,5,20251117,144000,13.5,13.5,13.5,13.5,2,132
OW20L253150.PL,5,20251118,122000,6.5,6.5,6.5,6.5,1,130
OW20L253150.PL,5,20251118,140500,8.71,8.71,8.71,8.71,1,131
OW20L253150.PL,5,20251119,115500,11,11,11,11,1,130
OW20L253150.PL,5,20251121,094500,9.37,9.37,9.37,9.37,1,131
