<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20S252750.PL,5,20250707,084500,43.99,43.99,43.99,43.99,6,108
OW20S252750.PL,5,20250707,090500,13.99,13.99,13.99,13.99,6,111
OW20S252750.PL,5,20250707,092500,13.5,13.5,13.5,13.5,1,105
OW20S252750.PL,5,20250707,093500,13.5,13.5,13,13,12,96
OW20S252750.PL,5,20250707,103500,12,12,12,12,1,99
OW20S252750.PL,5,20250707,104000,12,12,12,12,1,100
OW20S252750.PL,5,20250707,112000,13.65,13.65,13.65,13.65,2,101
OW20S252750.PL,5,20250707,114000,13.6,13.6,13.6,13.6,2,101
OW20S252750.PL,5,20250707,120500,12.85,12.85,12.85,12.85,1,103
OW20S252750.PL,5,20250707,140500,11.01,11.01,11.01,11.01,1,103
OW20S252750.PL,5,20250707,142500,11,11,11,11,5,104
OW20S252750.PL,5,20250707,153000,11,11,11,11,1,104
OW20S252750.PL,5,20250707,154500,10.05,10.05,10,10,7,105
OW20S252750.PL,5,20250707,161500,10.18,10.18,10.18,10.18,1,108
OW20S252750.PL,5,20250707,162500,10.99,10.99,10.99,10.99,2,108
OW20S252750.PL,5,20250707,163000,11,11,11,11,2,109
OW20S252750.PL,5,20250707,164500,10.64,10.64,10.64,10.64,5,110
OW20S252750.PL,5,20250708,090500,9,9,5.83,5.83,5,115
OW20S252750.PL,5,20250708,091000,8.86,9.21,6.51,6.51,13,115
OW20S252750.PL,5,20250708,091500,7.15,7.15,7.15,7.15,2,126
OW20S252750.PL,5,20250708,094000,7.25,7.25,7.25,7.25,1,128
OW20S252750.PL,5,20250708,094500,7.25,7.36,7.25,7.36,2,130
OW20S252750.PL,5,20250708,120500,7.76,7.76,7.76,7.76,1,131
OW20S252750.PL,5,20250708,121500,7.76,7.76,7.76,7.76,2,132
OW20S252750.PL,5,20250708,124500,7.76,7.76,7.76,7.76,2,133
OW20S252750.PL,5,20250708,131000,7.26,7.26,7.26,7.26,1,134
OW20S252750.PL,5,20250709,085000,6,6,6,6,1,134
OW20S252750.PL,5,20250709,095500,5,5,5,5,1,134
OW20S252750.PL,5,20250709,113500,6,6,6,6,1,133
OW20S252750.PL,5,20250709,131500,6.1,6.1,6.1,6.1,1,134
OW20S252750.PL,5,20250709,132000,4.51,4.51,4.51,4.51,1,135
OW20S252750.PL,5,20250709,140000,5.95,5.95,5.95,5.95,1,135
OW20S252750.PL,5,20250709,150500,4.61,4.61,4.61,4.61,1,134
OW20S252750.PL,5,20250709,151000,4.61,4.61,4.61,4.61,1,134
OW20S252750.PL,5,20250709,155500,5,5,5,5,1,134
OW20S252750.PL,5,20250709,161000,5,5,5,5,8,134
OW20S252750.PL,5,20250709,161500,5,5,5,5,1,134
OW20S252750.PL,5,20250709,162000,5,5,5,5,1,134
OW20S252750.PL,5,20250709,162500,5,5,5,5,4,134
OW20S252750.PL,5,20250709,163000,5.5,5.5,5.5,5.5,1,132
OW20S252750.PL,5,20250709,163500,5,5,5,5,1,133
OW20S252750.PL,5,20250709,164500,5,5,5,5,1,133
OW20S252750.PL,5,20250710,092500,3.03,3.03,3.03,3.03,1,132
OW20S252750.PL,5,20250710,093500,3.03,3.03,3.03,3.03,1,133
OW20S252750.PL,5,20250710,101500,3,3,3,3,1,134
OW20S252750.PL,5,20250710,110000,3.25,3.25,3.25,3.25,1,133
OW20S252750.PL,5,20250710,135000,4.39,4.39,4.39,4.39,1,134
OW20S252750.PL,5,20250710,142500,4.39,4.49,4.39,4.49,3,134
OW20S252750.PL,5,20250710,150500,5.5,5.5,5.5,5.5,1,134
OW20S252750.PL,5,20250710,155000,8,8,8,8,1,134
OW20S252750.PL,5,20250710,164500,9,10.34,9,9,9,134
OW20S252750.PL,5,20250711,090000,8,8,8,8,4,134
OW20S252750.PL,5,20250711,091000,7.75,7.75,7.75,7.75,40,135
OW20S252750.PL,5,20250711,124500,7.5,7.5,7.5,7.5,4,135
OW20S252750.PL,5,20250711,133500,8.35,8.35,7.5,7.5,8,136
OW20S252750.PL,5,20250711,135500,6.02,6.02,6.02,6.02,32,135
OW20S252750.PL,5,20250711,145500,6.6,6.6,6.6,6.6,8,135
OW20S252750.PL,5,20250711,161000,7.72,7.72,7.72,7.72,2,135
OW20S252750.PL,5,20250711,164500,8.07,8.07,8.07,8.07,6,135
OW20S252750.PL,5,20250714,090500,8,8,4,4,37,118
OW20S252750.PL,5,20250714,091000,3.5,3.5,3.5,3.5,2,92
OW20S252750.PL,5,20250714,092000,4,4.41,4,4.41,14,104
OW20S252750.PL,5,20250714,094000,4.25,4.25,4.25,4.25,2,104
OW20S252750.PL,5,20250714,100000,3.6,3.6,3.6,3.6,1,102
OW20S252750.PL,5,20250714,104500,3,3,3,3,1,103
OW20S252750.PL,5,20250714,112000,3.63,3.63,3.63,3.63,2,103
OW20S252750.PL,5,20250714,131500,2.8,2.8,2.8,2.8,10,103
OW20S252750.PL,5,20250714,152500,3,3,3,3,1,103
OW20S252750.PL,5,20250714,164500,1.99,1.99,1.99,1.99,3,103
OW20S252750.PL,5,20250715,155500,1.15,1.15,1.15,1.15,8,104
OW20S252750.PL,5,20250715,163000,1,1,1,1,3,99
OW20S252750.PL,5,20250715,164500,1.5,1.5,1.5,1.5,7,102
OW20S252750.PL,5,20250716,084500,1.5,1.5,1.5,1.5,3,100
OW20S252750.PL,5,20250716,091000,1.5,1.5,1.5,1.5,2,103
OW20S252750.PL,5,20250716,092500,1.5,1.5,1.5,1.5,3,103
OW20S252750.PL,5,20250716,101500,0.8,0.8,0.5,0.5,2,105
OW20S252750.PL,5,20250716,160500,0.2,0.2,0.2,0.2,3,104
OW20S252750.PL,5,20250717,084500,0.5,0.5,0.5,0.5,3,101
OW20S252750.PL,5,20250717,091000,0.75,0.75,0.75,0.75,3,98
OW20S252750.PL,5,20250717,121000,0.75,0.75,0.75,0.75,3,94
OW20S252750.PL,5,20250717,123500,0.65,0.65,0.03,0.03,5,89
OW20S252750.PL,5,20250717,152500,0.3,0.3,0.3,0.3,2,87
OW20S252750.PL,5,20250717,155000,0.3,0.3,0.3,0.3,3,85
OW20S252750.PL,5,20250717,160000,0.3,0.3,0.3,0.3,2,82
OW20S252750.PL,5,20250718,094500,0.4,0.4,0.4,0.4,5,80
OW20S252750.PL,5,20250718,100000,0.4,0.4,0.4,0.4,2,74
OW20S252750.PL,5,20250718,111500,0.4,0.4,0.4,0.4,5,73
OW20S252750.PL,5,20250718,121000,0.4,0.4,0.4,0.4,2,68
OW20S252750.PL,5,20250718,162000,0.2,0.2,0.2,0.2,12,66
