<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20U262400.PL,5,20250923,094500,78.35,78.35,78.35,78.35,3,0
OW20U262400.PL,5,20250923,105000,78.5,78.5,78.5,78.5,1,3
OW20U262400.PL,5,20250930,164500,68.95,68.95,68.95,68.95,1,4
OW20U262400.PL,5,20251002,144000,60.05,60.05,60.05,60.05,1,5
OW20U262400.PL,5,20251003,091000,68.2,68.2,68.2,68.2,1,6
OW20U262400.PL,5,20251003,122000,60.25,60.25,60.25,60.25,1,6
OW20U262400.PL,5,20251003,135000,63.15,63.15,63.15,63.15,1,7
OW20U262400.PL,5,20251009,140500,58,58,58,58,1,8
OW20U262400.PL,5,20251010,161000,66.3,66.3,66.3,66.3,1,9
OW20U262400.PL,5,20251015,100000,60.9,60.9,60.9,60.9,1,10
OW20U262400.PL,5,20251016,101500,64.9,64.9,64.9,64.9,1,11
OW20U262400.PL,5,20251016,110000,55.25,55.25,55.25,55.25,1,12
OW20U262400.PL,5,20251016,121500,55.25,56.3,55.25,56.3,11,23
OW20U262400.PL,5,20251016,163000,55.95,55.95,55.95,55.95,1,24
OW20U262400.PL,5,20251017,102500,70.95,70.95,70.95,70.95,1,25
OW20U262400.PL,5,20251020,102500,51.2,55.5,51.2,55.5,6,27
OW20U262400.PL,5,20251020,130000,51.7,52.4,51.7,52.4,2,33
OW20U262400.PL,5,20251022,093500,55.6,55.6,55.6,55.6,1,34
OW20U262400.PL,5,20251022,124500,53,53,53,53,1,0
OW20U262400.PL,5,20251023,102000,45.68,45.68,45.68,45.68,1,35
OW20U262400.PL,5,20251027,120500,40.04,40.04,40.04,40.04,1,36
OW20U262400.PL,5,20251028,152500,41.31,41.31,41.31,41.31,1,37
OW20U262400.PL,5,20251028,161000,41.27,41.27,41.27,41.27,1,37
OW20U262400.PL,5,20251029,115500,37.3,37.3,37.3,37.3,1,37
OW20U262400.PL,5,20251029,122500,41,41,41,41,2,37
OW20U262400.PL,5,20251107,091500,38.33,38.33,38.33,38.33,1,39
OW20U262400.PL,5,20251110,114500,36.41,36.41,36.41,36.41,1,39
OW20U262400.PL,5,20251112,164000,39.65,39.65,39.65,39.65,1,40
OW20U262400.PL,5,20251114,122500,40.52,40.52,40.52,40.52,1,41
OW20U262400.PL,5,20251118,121000,50.4,50.4,50.4,50.4,1,42
OW20U262400.PL,5,20251120,150500,40.93,40.93,40.93,40.93,1,0
OW20U262400.PL,5,20251124,105000,53.35,53.35,53.35,53.35,3,42
OW20U262400.PL,5,20251126,090000,40.24,40.24,40.24,40.24,3,45
