<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20V252750.PL,5,20250819,155500,26,26,26,26,1,0
OW20V252750.PL,5,20250829,100000,53.8,53.8,53.8,53.8,5,1
OW20V252750.PL,5,20250903,101000,61.1,61.1,61.1,61.1,1,6
OW20V252750.PL,5,20250905,101000,43.15,43.15,43.15,43.15,1,7
OW20V252750.PL,5,20250908,091500,48.19,48.19,48.19,48.19,2,8
OW20V252750.PL,5,20250915,091500,35.39,35.39,35.39,35.39,2,8
OW20V252750.PL,5,20250916,103500,35.92,35.92,35.92,35.92,1,9
OW20V252750.PL,5,20250916,155000,46.76,48.8,46.76,48.8,10,11
OW20V252750.PL,5,20250916,155500,46.75,46.75,46.75,46.75,11,14
OW20V252750.PL,5,20250916,161500,46.5,46.5,46.5,46.5,10,25
OW20V252750.PL,5,20250916,162500,46.43,46.43,46.43,46.43,11,35
OW20V252750.PL,5,20250916,164500,46.09,46.09,45.76,45.76,16,57
OW20V252750.PL,5,20250917,135500,47,47,47,47,2,62
OW20V252750.PL,5,20250917,155000,43,43,43,43,2,64
OW20V252750.PL,5,20250918,103000,47,47,47,47,2,66
OW20V252750.PL,5,20250918,104500,45,45,45,45,2,68
OW20V252750.PL,5,20250918,110500,41,41,41,41,1,70
OW20V252750.PL,5,20250919,090500,45.51,45.51,45.51,45.51,1,71
OW20V252750.PL,5,20250919,091000,45.2,45.2,45.2,45.2,7,71
OW20V252750.PL,5,20250919,100500,48.72,48.72,48.72,48.72,2,71
OW20V252750.PL,5,20250919,120500,48.7,48.7,48.7,48.7,1,0
OW20V252750.PL,5,20250919,123500,47,47,47,47,1,74
OW20V252750.PL,5,20250919,155000,47,50,47,50,3,76
OW20V252750.PL,5,20250919,160500,51,51,51,51,1,78
OW20V252750.PL,5,20250919,161500,51,51,51,51,1,79
OW20V252750.PL,5,20250919,162000,48.2,48.2,47.84,47.84,3,78
OW20V252750.PL,5,20250919,163000,48.5,48.5,48.5,48.5,2,77
OW20V252750.PL,5,20250919,163500,51,51,51,51,1,76
OW20V252750.PL,5,20250919,164500,52,52,52,52,1,0
OW20V252750.PL,5,20250922,085000,50.4,50.4,50.4,50.4,1,78
OW20V252750.PL,5,20250922,091500,50.5,50.5,50.5,50.5,1,78
OW20V252750.PL,5,20250922,102000,48.5,48.5,48.5,48.5,2,78
OW20V252750.PL,5,20250922,144500,48.7,48.7,48.7,48.7,1,78
OW20V252750.PL,5,20250924,092000,43.44,43.44,43.44,43.44,1,79
OW20V252750.PL,5,20250924,161500,32.65,32.65,32.65,32.65,1,79
OW20V252750.PL,5,20250925,094500,34,34,34,34,1,79
OW20V252750.PL,5,20250925,153000,37.3,37.3,37.3,37.3,1,80
OW20V252750.PL,5,20250926,102000,31.91,31.91,31.91,31.91,2,80
OW20V252750.PL,5,20250929,091000,21,21,21,21,1,80
OW20V252750.PL,5,20250929,163000,23,23,23,23,1,80
OW20V252750.PL,5,20250929,164500,22,22,21.2,21.2,2,81
OW20V252750.PL,5,20250930,092000,24.03,24.03,24.03,24.03,1,81
OW20V252750.PL,5,20250930,102000,26.48,26.48,26.48,26.48,6,82
OW20V252750.PL,5,20250930,105500,26.44,26.44,26.44,26.44,10,82
OW20V252750.PL,5,20250930,110500,24.45,24.45,24.45,24.45,2,88
OW20V252750.PL,5,20250930,131500,24.88,24.88,24.88,24.88,6,88
OW20V252750.PL,5,20251001,090000,25,25,25,25,1,82
OW20V252750.PL,5,20251001,093500,22,22,22,22,1,83
OW20V252750.PL,5,20251001,094000,22,22,22,22,2,84
OW20V252750.PL,5,20251001,154000,14.5,14.5,14.5,14.5,1,84
OW20V252750.PL,5,20251002,091000,12,12,12,12,1,85
OW20V252750.PL,5,20251002,094500,12,12,12,12,1,86
OW20V252750.PL,5,20251002,095000,11.5,11.5,11.5,11.5,2,87
OW20V252750.PL,5,20251002,101000,13,13,12.5,12.5,4,89
OW20V252750.PL,5,20251002,101500,12,12,12,12,2,89
OW20V252750.PL,5,20251002,103000,11.5,11.5,11,11,5,89
OW20V252750.PL,5,20251002,104500,11.74,11.74,11.74,11.74,10,89
OW20V252750.PL,5,20251002,105000,12,12,11.33,11.33,6,88
OW20V252750.PL,5,20251002,110000,11.33,11.33,11.11,11.11,6,88
OW20V252750.PL,5,20251002,111000,11.11,11.11,11.11,11.11,8,96
OW20V252750.PL,5,20251002,112000,11.11,11.11,11.11,11.11,2,98
OW20V252750.PL,5,20251002,115500,11,11,11,11,1,98
OW20V252750.PL,5,20251002,125000,9,9,9,9,3,101
OW20V252750.PL,5,20251002,125500,9,9,9,9,2,102
OW20V252750.PL,5,20251002,133000,8,8,8,8,5,102
OW20V252750.PL,5,20251002,140000,8.62,8.62,8.62,8.62,1,102
OW20V252750.PL,5,20251002,142500,7.5,7.5,7.25,7.25,2,101
OW20V252750.PL,5,20251002,150000,7.23,7.23,7.23,7.23,2,100
OW20V252750.PL,5,20251002,152500,8,8,8,8,2,100
OW20V252750.PL,5,20251002,154500,8.99,8.99,8.99,8.99,1,98
OW20V252750.PL,5,20251002,155000,9,9,9,9,1,98
OW20V252750.PL,5,20251002,161000,9,9,9,9,2,100
OW20V252750.PL,5,20251002,162000,10.06,10.06,10.06,10.06,2,101
OW20V252750.PL,5,20251002,162500,9.71,10.32,9.71,10.32,11,102
OW20V252750.PL,5,20251002,163500,9.34,9.34,9,9,15,91
OW20V252750.PL,5,20251003,092000,8.84,8.84,8.84,8.84,1,91
OW20V252750.PL,5,20251003,103500,8.61,8.61,8.61,8.61,1,92
OW20V252750.PL,5,20251003,143000,12,12,12,12,1,93
OW20V252750.PL,5,20251003,153000,11.24,11.24,11.24,11.24,1,94
OW20V252750.PL,5,20251003,154500,11.1,11.1,11.1,11.1,8,94
OW20V252750.PL,5,20251003,162500,11.67,11.67,11.67,11.67,1,101
OW20V252750.PL,5,20251003,164000,11,11,11,11,1,101
OW20V252750.PL,5,20251006,091500,7.66,7.66,7.66,7.66,1,101
OW20V252750.PL,5,20251006,092000,7.76,7.76,7.76,7.76,1,102
OW20V252750.PL,5,20251006,092500,7.5,8.08,7.5,8.08,10,103
OW20V252750.PL,5,20251006,154500,8.21,8.21,8.21,8.21,1,113
OW20V252750.PL,5,20251006,163500,10.56,10.56,10.12,10.12,2,114
OW20V252750.PL,5,20251007,091000,9.6,9.6,9.11,9.11,2,116
OW20V252750.PL,5,20251007,091500,9.23,10,9.23,10,3,119
OW20V252750.PL,5,20251007,092000,10,11.99,10,11.99,2,118
OW20V252750.PL,5,20251007,094000,11.27,11.27,11.27,11.27,1,118
OW20V252750.PL,5,20251007,094500,12.34,13,12.34,13,2,118
OW20V252750.PL,5,20251007,095500,11.99,11.99,11.99,11.99,3,117
OW20V252750.PL,5,20251007,105000,9,9,9,9,1,114
OW20V252750.PL,5,20251007,110500,9,9,9,9,1,114
OW20V252750.PL,5,20251007,115500,6.25,6.25,6.25,6.25,1,114
OW20V252750.PL,5,20251007,125000,6,6,6,6,6,115
OW20V252750.PL,5,20251007,141500,6,6,6,6,1,115
OW20V252750.PL,5,20251007,160000,6.3,6.3,6.3,6.3,1,115
OW20V252750.PL,5,20251007,161000,6.3,6.3,6.3,6.3,1,116
OW20V252750.PL,5,20251007,163000,6.5,6.5,6.5,6.5,1,117
OW20V252750.PL,5,20251008,094000,6.5,6.9,6.5,6.9,13,126
OW20V252750.PL,5,20251008,100500,5.43,5.43,5.43,5.43,1,129
OW20V252750.PL,5,20251008,153000,6,6,6,6,2,0
OW20V252750.PL,5,20251008,154500,5.31,5.31,5.31,5.31,1,132
OW20V252750.PL,5,20251008,164500,5,5,5,5,1,133
OW20V252750.PL,5,20251009,092500,4.43,4.43,4.43,4.43,5,134
OW20V252750.PL,5,20251009,101000,4.02,4.02,4.02,4.02,1,139
OW20V252750.PL,5,20251009,152500,4.1,4.1,4.1,4.1,2,140
OW20V252750.PL,5,20251009,153500,4.31,4.31,3.8,3.8,2,140
OW20V252750.PL,5,20251009,155000,4,4,4,4,1,141
OW20V252750.PL,5,20251009,162000,4.77,4.77,4.77,4.77,1,141
OW20V252750.PL,5,20251009,163000,4,4,4,4,1,141
OW20V252750.PL,5,20251010,091500,3.71,3.71,3.71,3.71,1,142
OW20V252750.PL,5,20251010,092000,3.65,3.65,3.65,3.65,1,143
OW20V252750.PL,5,20251010,111000,5.18,5.18,5.18,5.18,1,144
OW20V252750.PL,5,20251010,113000,4.99,5.26,4.99,5.26,3,144
OW20V252750.PL,5,20251010,114000,5.25,5.25,5.25,5.25,4,144
OW20V252750.PL,5,20251010,114500,5.71,5.71,5.71,5.71,1,145
OW20V252750.PL,5,20251010,115000,5.5,5.5,5.5,5.5,1,145
OW20V252750.PL,5,20251010,125500,4.61,4.61,4.61,4.61,1,145
OW20V252750.PL,5,20251010,131500,4.31,4.31,4.31,4.31,1,145
OW20V252750.PL,5,20251010,135000,4.3,4.3,4.3,4.3,1,145
OW20V252750.PL,5,20251010,164500,3,3,3,3,4,145
OW20V252750.PL,5,20251013,084500,4.99,4.99,4.99,4.99,1,145
OW20V252750.PL,5,20251013,090000,3.1,3.1,3.1,3.1,2,146
OW20V252750.PL,5,20251013,090500,3.86,3.86,3.72,3.72,6,146
OW20V252750.PL,5,20251013,091000,3.2,3.2,3.2,3.2,1,147
OW20V252750.PL,5,20251013,091500,2.6,2.6,2.6,2.6,1,148
OW20V252750.PL,5,20251013,092500,2.6,2.6,2.6,2.6,1,148
OW20V252750.PL,5,20251013,102000,3.4,3.4,3.4,3.4,1,148
OW20V252750.PL,5,20251013,163500,2.5,2.5,2.5,2.5,27,147
OW20V252750.PL,5,20251014,092000,3,3,3,3,1,147
OW20V252750.PL,5,20251014,093500,2.9,2.99,2.9,2.99,5,147
OW20V252750.PL,5,20251014,094500,2.99,2.99,2.99,2.99,1,148
OW20V252750.PL,5,20251014,103500,3.3,3.3,3.3,3.3,1,149
OW20V252750.PL,5,20251014,104500,3.6,3.6,3.6,3.6,2,151
OW20V252750.PL,5,20251014,121500,3.99,3.99,3.99,3.99,1,152
OW20V252750.PL,5,20251014,123000,3.99,3.99,3.99,3.99,1,153
OW20V252750.PL,5,20251014,123500,4.04,4.49,4.04,4.49,2,154
OW20V252750.PL,5,20251014,124000,4.99,4.99,4.99,4.99,2,154
OW20V252750.PL,5,20251014,125000,6.41,6.41,6.41,6.41,2,156
OW20V252750.PL,5,20251014,133000,4.82,4.82,4.82,4.82,1,158
OW20V252750.PL,5,20251014,142000,5.26,5.26,5.26,5.26,1,159
OW20V252750.PL,5,20251014,155500,3.55,3.55,3.5,3.5,51,159
OW20V252750.PL,5,20251014,161000,2.35,2.35,2.35,2.35,1,210
OW20V252750.PL,5,20251014,163500,2,2,2,2,1,210
OW20V252750.PL,5,20251015,122500,1,1,1,1,2,211
OW20V252750.PL,5,20251015,124500,1,1,1,1,1,211
OW20V252750.PL,5,20251015,162500,0.99,0.99,0.99,0.99,1,211
OW20V252750.PL,5,20251016,143500,0.21,0.21,0.21,0.21,5,210
OW20V252750.PL,5,20251016,164000,0.5,0.5,0.5,0.5,9,205
OW20V252750.PL,5,20251017,085000,0.99,0.99,0.99,0.99,1,205
OW20V252750.PL,5,20251017,091500,0.99,0.99,0.99,0.99,4,207
OW20V252750.PL,5,20251017,092000,0.99,0.99,0.5,0.5,3,210
OW20V252750.PL,5,20251017,094500,0.99,0.99,0.99,0.99,2,210
OW20V252750.PL,5,20251017,095500,0.99,0.99,0.99,0.99,1,212
OW20V252750.PL,5,20251017,104500,0.99,0.99,0.98,0.98,4,213
OW20V252750.PL,5,20251017,105000,0.98,0.98,0.98,0.98,4,213
OW20V252750.PL,5,20251017,122000,0.03,0.03,0.03,0.03,9,213
OW20V252750.PL,5,20251017,125000,0.03,0.03,0.03,0.03,9,204
OW20V252750.PL,5,20251017,163000,0.8,0.8,0.8,0.8,1,195
