<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20W252825.PL,5,20251020,122000,34,34,34,34,1,0
OW20W252825.PL,5,20251022,151500,22,22,22,22,2,2
OW20W252825.PL,5,20251022,162000,19.25,19.25,19.25,19.25,1,0
OW20W252825.PL,5,20251022,163000,20.37,20.37,20.37,20.37,3,4
OW20W252825.PL,5,20251023,153500,13.68,13.68,13.68,13.68,4,8
OW20W252825.PL,5,20251023,164000,14.87,14.87,14.87,14.87,1,9
OW20W252825.PL,5,20251023,164500,15,15,15,15,10,9
OW20W252825.PL,5,20251024,103500,14,14,14,14,1,19
OW20W252825.PL,5,20251027,164500,11.7,11.7,11.7,11.7,1,19
OW20W252825.PL,5,20251028,090500,9.07,9.07,9.07,9.07,2,20
OW20W252825.PL,5,20251028,093500,8.91,8.91,8.91,8.91,1,22
OW20W252825.PL,5,20251028,095000,8.39,8.39,8.39,8.39,1,23
OW20W252825.PL,5,20251029,091500,5,5,5,5,1,24
OW20W252825.PL,5,20251029,153000,5.57,5.57,5.57,5.57,1,23
OW20W252825.PL,5,20251030,103000,6.86,6.86,6.86,6.86,1,22
OW20W252825.PL,5,20251030,110500,6.4,6.4,6.4,6.4,1,21
OW20W252825.PL,5,20251031,132500,6.41,6.41,6.41,6.41,2,20
OW20W252825.PL,5,20251031,143000,7.04,7.04,7.04,7.04,11,18
OW20W252825.PL,5,20251031,144000,7.98,7.98,7.98,7.98,1,18
OW20W252825.PL,5,20251103,163000,6.49,6.49,6.49,6.49,1,18
OW20W252825.PL,5,20251106,164000,3.99,3.99,3.99,3.99,1,18
OW20W252825.PL,5,20251107,123500,4.99,4.99,4.99,4.99,2,18
OW20W252825.PL,5,20251107,140500,5.99,5.99,5.99,5.99,1,20
OW20W252825.PL,5,20251107,164500,6.99,6.99,6.99,6.99,1,21
OW20W252825.PL,5,20251114,093000,2.99,2.99,2.99,2.99,1,22
OW20W252825.PL,5,20251114,122000,2.99,2.99,2.99,2.99,1,23
OW20W252825.PL,5,20251114,125000,4.89,4.89,4.89,4.89,1,24
OW20W252825.PL,5,20251114,131000,4.99,4.99,4.99,4.99,1,24
OW20W252825.PL,5,20251114,143500,3.28,3.28,3.28,3.28,2,25
OW20W252825.PL,5,20251114,152000,2.44,2.44,2.44,2.44,1,25
OW20W252825.PL,5,20251117,164500,1.99,1.99,1.99,1.99,1,25
OW20W252825.PL,5,20251118,091500,3.99,3.99,3.99,3.99,1,26
OW20W252825.PL,5,20251118,094000,4.88,4.88,4.88,4.88,1,26
OW20W252825.PL,5,20251118,121000,4.99,4.99,4.99,4.99,1,27
OW20W252825.PL,5,20251118,131000,6.99,6.99,6.99,6.99,1,28
OW20W252825.PL,5,20251118,134000,7.64,7.64,7.64,7.64,1,29
OW20W252825.PL,5,20251118,140500,7.34,7.34,7.34,7.34,1,29
OW20W252825.PL,5,20251118,144500,6.46,6.46,6.46,6.46,1,28
OW20W252825.PL,5,20251118,163500,9.82,9.82,9.82,9.82,1,27
OW20W252825.PL,5,20251119,093500,5,5,5,5,1,27
OW20W252825.PL,5,20251121,094500,1.1,1.1,1.1,1.1,1,28
OW20W252825.PL,5,20251121,110500,1.4,1.4,1.4,1.4,1,29
