<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20X252950.PL,5,20250926,161000,156.05,156.05,156.05,156.05,1,0
OW20X252950.PL,5,20251002,100500,129,129,129,129,1,1
OW20X252950.PL,5,20251002,135500,112,112,112,112,1,2
OW20X252950.PL,5,20251009,104000,124.65,124.65,124.65,124.65,1,3
OW20X252950.PL,5,20251015,113000,105.5,111,105.5,111,2,5
OW20X252950.PL,5,20251015,130000,105.5,105.5,105.5,105.5,1,6
OW20X252950.PL,5,20251015,142500,109,109,109,109,1,7
OW20X252950.PL,5,20251015,144000,109,109,109,109,1,8
OW20X252950.PL,5,20251015,160500,106,106,106,106,1,9
OW20X252950.PL,5,20251017,110000,143,143,143,143,1,10
OW20X252950.PL,5,20251020,110000,95,95,95,95,1,10
OW20X252950.PL,5,20251023,140000,69.5,69.5,69.5,69.5,2,0
OW20X252950.PL,5,20251023,150000,66.65,66.65,66.65,66.65,1,10
OW20X252950.PL,5,20251023,161000,64,64,64,64,1,10
OW20X252950.PL,5,20251024,152500,64,64,64,64,1,11
OW20X252950.PL,5,20251027,093000,52.1,52.1,52.1,52.1,5,11
OW20X252950.PL,5,20251027,130000,59.05,59.05,59.05,59.05,1,10
OW20X252950.PL,5,20251027,135500,59,59,59,59,1,10
OW20X252950.PL,5,20251027,143000,57.8,57.8,57.8,57.8,1,10
OW20X252950.PL,5,20251028,142000,42.43,42.43,42.41,42.41,2,12
OW20X252950.PL,5,20251028,150000,45,45,45,45,1,13
OW20X252950.PL,5,20251028,153500,40.93,40.93,40.93,40.93,1,13
OW20X252950.PL,5,20251029,093500,41,41,41,41,1,14
OW20X252950.PL,5,20251029,094000,40.32,40.32,40.32,40.32,1,15
OW20X252950.PL,5,20251029,152500,40.4,40.4,40.4,40.4,1,16
OW20X252950.PL,5,20251103,114000,46.78,46.78,46.78,46.78,1,16
OW20X252950.PL,5,20251104,090500,61.1,61.1,61.1,61.1,1,16
OW20X252950.PL,5,20251104,095500,59,59,59,59,1,15
OW20X252950.PL,5,20251104,104500,65.9,65.9,65.2,65.2,4,12
OW20X252950.PL,5,20251104,112000,65,65,65,65,1,11
OW20X252950.PL,5,20251104,114000,63.15,63.15,63.15,63.15,1,11
OW20X252950.PL,5,20251104,144500,60,60,60,60,1,11
OW20X252950.PL,5,20251105,085500,60,60,60,60,1,11
OW20X252950.PL,5,20251105,111500,69.4,69.4,69.4,69.4,1,12
OW20X252950.PL,5,20251105,132500,56.65,56.65,56.65,56.65,1,12
OW20X252950.PL,5,20251105,144000,55,55,55,55,1,13
OW20X252950.PL,5,20251105,163500,62.45,62.45,62.45,62.45,10,12
OW20X252950.PL,5,20251106,143500,39.3,39.3,39.3,39.3,1,17
OW20X252950.PL,5,20251110,095500,45.08,45.08,45.08,45.08,10,17
OW20X252950.PL,5,20251110,110000,42.82,42.82,42.82,42.82,10,27
OW20X252950.PL,5,20251110,123000,44,44,44,44,1,37
OW20X252950.PL,5,20251110,124000,45,45,45,45,2,37
OW20X252950.PL,5,20251112,122000,30.97,30.97,30.97,30.97,7,37
