<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.PL,5,20250707,091500,763.1,763.1,763.1,763.1,25,0
AAPL.PL,5,20250710,090500,766.4,766.4,766.4,766.4,1,0
AAPL.PL,5,20250710,100000,766.4,766.4,766.4,766.4,50,0
AAPL.PL,5,20250710,130000,764.8,764.8,764.8,764.8,1,0
AAPL.PL,5,20250714,090500,771.3,771.3,771.3,771.3,2,0
AAPL.PL,5,20250715,153000,763.1,763.1,763.1,763.1,2,0
AAPL.PL,5,20250715,155000,771.3,771.3,771.3,771.3,29,0
AAPL.PL,5,20250716,090500,771.3,771.3,771.3,771.3,29,0
AAPL.PL,5,20250717,090500,780.9,780.9,780.9,780.9,1,0
AAPL.PL,5,20250718,090500,764.7,764.7,764.7,764.7,11,0
AAPL.PL,5,20250718,110000,772.9,772.9,772.9,772.9,1,0
AAPL.PL,5,20250721,093000,777.7,777.7,777.7,777.7,2,0
AAPL.PL,5,20250721,154500,780,780,780,780,4,0
AAPL.PL,5,20250721,160000,784.1,784.1,784.1,784.1,70,0
AAPL.PL,5,20250721,160500,782.5,782.5,782.5,782.5,111,0
AAPL.PL,5,20250721,163500,782.5,782.5,782.5,782.5,57,0
AAPL.PL,5,20250721,165000,782.5,782.5,782.5,782.5,47,0
AAPL.PL,5,20250722,124000,777.7,777.7,777.7,777.7,15,0
AAPL.PL,5,20250722,131500,779.3,779.3,779.3,779.3,9,0
AAPL.PL,5,20250722,152000,779.3,779.3,779.3,779.3,1,0
AAPL.PL,5,20250723,095000,784.1,784.1,784.1,784.1,11,0
AAPL.PL,5,20250723,113000,780,780,780,780,1,0
AAPL.PL,5,20250723,164500,776.1,776.1,776.1,776.1,1,0
AAPL.PL,5,20250724,090500,790.9,790.9,790.9,790.9,3,0
AAPL.PL,5,20250724,112000,775,775,775,775,2,0
AAPL.PL,5,20250724,133000,775,775,775,775,1,0
AAPL.PL,5,20250724,153000,775,775,775,775,3,0
AAPL.PL,5,20250725,163000,775,775,775,775,1,0
AAPL.PL,5,20250728,145000,779.1,779.1,779.1,779.1,5,0
AAPL.PL,5,20250728,154500,788.9,788.9,788.9,788.9,2,0
AAPL.PL,5,20250728,162500,780.7,780.7,780.7,780.7,4,0
AAPL.PL,5,20250729,144000,799,799,799,799,2,0
AAPL.PL,5,20250730,090500,787.3,787.3,787.3,787.3,6,0
AAPL.PL,5,20250730,124500,788.9,788.9,788.9,788.9,1,0
AAPL.PL,5,20250730,155500,788.9,788.9,788.9,788.9,1,0
AAPL.PL,5,20250731,110500,785,785,785,785,3,0
AAPL.PL,5,20250731,133000,785,785,785,785,4,0
AAPL.PL,5,20250731,143500,777.5,777.5,777.5,777.5,14,0
AAPL.PL,5,20250801,105000,791.3,791.3,791.3,791.3,1,0
AAPL.PL,5,20250801,131500,786,786,786,786,1,0
AAPL.PL,5,20250801,140000,787,787,787,787,10,0
AAPL.PL,5,20250801,154000,777,777,777,777,1,0
AAPL.PL,5,20250801,161500,758.4,758.4,758.4,758.4,2,0
AAPL.PL,5,20250804,090500,755.2,755.2,755.2,755.2,5,0
AAPL.PL,5,20250804,131500,755.2,755.2,755.2,755.2,2,0
AAPL.PL,5,20250804,152000,756,756,756,756,14,0
AAPL.PL,5,20250805,090500,772.4,772.4,772.4,772.4,2,0
AAPL.PL,5,20250805,153000,756,756,756,756,2,0
AAPL.PL,5,20250806,120500,756,756,756,756,1,0
AAPL.PL,5,20250806,130000,756.8,756.8,756.8,756.8,1,0
AAPL.PL,5,20250806,165500,782.5,782.5,782.5,782.5,2,0
AAPL.PL,5,20250807,090500,793.4,793.4,793.4,793.4,5,0
AAPL.PL,5,20250807,092500,793.4,793.4,793.4,793.4,2,0
AAPL.PL,5,20250807,114000,799,799,799,799,2,0
AAPL.PL,5,20250807,163000,800,800,800,800,2,0
AAPL.PL,5,20250807,163500,800,800,800,800,2,0
AAPL.PL,5,20250808,122500,810,810,810,810,3,0
AAPL.PL,5,20250808,153000,807,807,807,807,13,0
AAPL.PL,5,20250808,164000,812,812,812,812,3,0
AAPL.PL,5,20250811,102500,823.7,823.7,823.7,823.7,3,0
AAPL.PL,5,20250811,131500,840.4,840.4,840.4,840.4,3,0
AAPL.PL,5,20250811,142500,840.4,840.4,840.4,840.4,14,0
AAPL.PL,5,20250811,160000,832.3,832.3,832.3,832.3,1,0
AAPL.PL,5,20250812,090500,835.5,835.5,835.5,835.5,35,0
AAPL.PL,5,20250812,091500,837.1,837.1,837.1,837.1,3,0
AAPL.PL,5,20250812,151500,828.5,828.5,828.5,828.5,2,0
AAPL.PL,5,20250813,122000,830.1,830.1,830.1,830.1,1,0
AAPL.PL,5,20250813,161000,840,840,840,840,3,0
AAPL.PL,5,20250813,164000,839.6,839.6,839.6,839.6,10,0
AAPL.PL,5,20250813,164500,844.4,844.4,844.4,844.4,19,0
AAPL.PL,5,20250814,090500,842.8,842.8,842.8,842.8,10,0
AAPL.PL,5,20250814,095000,844.4,844.4,844.4,844.4,30,0
AAPL.PL,5,20250814,102500,850,850,850,850,1,0
AAPL.PL,5,20250814,103000,850,850,850,850,1,0
AAPL.PL,5,20250814,123500,850,850,850,850,112,0
AAPL.PL,5,20250814,125000,850,850,850,850,3,0
AAPL.PL,5,20250814,133500,850,850,850,850,1,0
AAPL.PL,5,20250814,153000,853,853,853,853,2,0
