<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALV.PL,5,20250707,122500,1459.5,1459.5,1459.5,1459.5,1,0
ALV.PL,5,20250710,160500,1504.5,1504.5,1504.5,1504.5,1,0
ALV.PL,5,20250724,142500,1473,1473,1473,1473,2,0
ALV.PL,5,20250725,163500,1443,1443,1443,1443,1,0
ALV.PL,5,20250728,090500,1443,1443,1443,1443,48,0
ALV.PL,5,20250812,133500,1540.5,1540.5,1540.5,1540.5,6,0
ALV.PL,5,20250828,091000,1572.5,1572.5,1572.5,1572.5,1,0
ALV.PL,5,20250912,155500,1521.5,1521.5,1521.5,1521.5,2,0
ALV.PL,5,20250915,164500,1526,1526,1526,1526,2,0
ALV.PL,5,20250917,162500,1485,1485,1485,1485,2,0
ALV.PL,5,20250924,143000,1485,1485,1485,1485,2,0
ALV.PL,5,20250924,163000,1492.5,1492.5,1492.5,1492.5,2,0
ALV.PL,5,20251009,095000,1559.5,1559.5,1559.5,1559.5,1,0
ALV.PL,5,20251013,120000,1592,1592,1592,1592,13,0
ALV.PL,5,20251016,132000,1535.5,1535.5,1535.5,1535.5,2,0
ALV.PL,5,20251016,152000,1553,1553,1553,1553,4,0
ALV.PL,5,20251017,092500,1507,1507,1507,1507,4,0
ALV.PL,5,20251024,140500,1497,1497,1497,1497,2,0
ALV.PL,5,20251107,115000,1502.5,1502.5,1502.5,1502.5,1,0
ALV.PL,5,20251107,121000,1497,1497,1497,1497,2,0
ALV.PL,5,20251112,092500,1514.5,1514.5,1514.5,1514.5,10,0
ALV.PL,5,20251126,092500,1550,1550,1550,1550,7,0
