<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVO.PL,5,20250707,112500,256.95,256.95,256.95,256.95,17,0
NVO.PL,5,20250707,120500,256.95,256.95,256.95,256.95,5,0
NVO.PL,5,20250707,142000,256.95,256.95,256.95,256.95,6,0
NVO.PL,5,20250707,144500,256.95,256.95,256.95,256.95,26,0
NVO.PL,5,20250707,153000,255,255,255,255,8,0
NVO.PL,5,20250708,091000,254.4,254.4,254.4,254.4,5,0
NVO.PL,5,20250709,142500,254.5,254.5,254.5,254.5,5,0
NVO.PL,5,20250709,163500,256.95,256.95,256.95,256.95,150,0
NVO.PL,5,20250710,101000,257.5,257.5,257.5,257.5,150,0
NVO.PL,5,20250710,104000,257.5,257.5,257.5,257.5,100,0
NVO.PL,5,20250711,102500,257.05,257.05,257.05,257.05,20,0
NVO.PL,5,20250711,141000,260.7,260.7,260.7,260.7,5,0
NVO.PL,5,20250711,141500,260.7,260.7,260.7,260.7,12,0
NVO.PL,5,20250711,143500,257.05,257.05,257.05,257.05,11,0
NVO.PL,5,20250715,122500,254,254,254,254,4,0
NVO.PL,5,20250715,162000,254,254,254,254,14,0
NVO.PL,5,20250716,120000,248.1,248.1,248.1,248.1,10,0
NVO.PL,5,20250717,090500,248.05,248.05,248,248,14,0
NVO.PL,5,20250717,143500,247.5,247.5,247.5,247.5,40,0
NVO.PL,5,20250717,154000,246.6,246.6,246.6,246.6,4,0
NVO.PL,5,20250717,160000,246.6,246.6,246.6,246.6,4,0
NVO.PL,5,20250718,120500,245,245,245,245,10,0
NVO.PL,5,20250718,125500,242.8,242.8,242.8,242.8,7,0
NVO.PL,5,20250718,142500,243,243,243,243,35,0
NVO.PL,5,20250721,110000,237.2,237.2,237.2,237.2,2,0
NVO.PL,5,20250721,121000,240.55,240.55,240.55,240.55,5,0
NVO.PL,5,20250721,141500,240.55,240.55,240.55,240.55,10,0
NVO.PL,5,20250721,145000,240.55,240.55,240.55,240.55,7,0
NVO.PL,5,20250721,150000,240.55,240.55,240.55,240.55,2,0
NVO.PL,5,20250722,090500,241,241,241,241,20,0
NVO.PL,5,20250722,103000,238,238,238,238,4,0
NVO.PL,5,20250723,090500,250.6,250.6,250.6,250.6,2,0
NVO.PL,5,20250723,093000,248.35,248.35,248.35,248.35,28,0
NVO.PL,5,20250723,163000,250.85,250.85,250.85,250.85,7,0
NVO.PL,5,20250723,164000,256.95,256.95,256.95,256.95,15,0
NVO.PL,5,20250724,154500,258,258,258,258,40,0
NVO.PL,5,20250728,090500,263.25,263.25,263.25,263.25,14,0
NVO.PL,5,20250728,103500,263.5,263.5,263.5,263.5,15,0
NVO.PL,5,20250728,112500,263.2,263.2,263.2,263.2,2,0
NVO.PL,5,20250728,115500,263.2,263.2,263.2,263.2,10,0
NVO.PL,5,20250728,122500,262.35,262.35,262.35,262.35,20,0
NVO.PL,5,20250729,095000,258.15,258.15,258.15,258.15,8,0
NVO.PL,5,20250729,130000,244.3,244.3,244.3,244.3,2,0
NVO.PL,5,20250729,130500,234,234,234,234,10,0
NVO.PL,5,20250729,134500,225,225,225,225,50,0
NVO.PL,5,20250729,135500,208,215,208,215,60,0
NVO.PL,5,20250729,140000,213,213,208,208,83,0
NVO.PL,5,20250729,140500,210,210,210,210,20,0
NVO.PL,5,20250729,141000,212,212,212,212,440,0
NVO.PL,5,20250729,141500,212,212,212,212,20,0
NVO.PL,5,20250729,142500,216,216,216,216,30,0
NVO.PL,5,20250729,144000,214,216,210,210,76,0
NVO.PL,5,20250729,144500,213.1,213.1,213.1,213.1,20,0
NVO.PL,5,20250729,145000,208,208,208,208,5,0
NVO.PL,5,20250729,145500,212,212,208,208,50,0
NVO.PL,5,20250729,150500,207.95,207.95,207.95,207.95,13,0
NVO.PL,5,20250729,153000,207.95,207.95,207.95,207.95,4,0
NVO.PL,5,20250729,154000,211.05,211.05,211.05,211.05,3,0
NVO.PL,5,20250729,154500,210,210,210,210,9,0
NVO.PL,5,20250729,160000,210,210,210,210,303,0
NVO.PL,5,20250729,163000,211.05,211.05,211.05,211.05,50,0
NVO.PL,5,20250729,163500,211.05,211.05,211.05,211.05,100,0
NVO.PL,5,20250729,164500,208,208,206.7,206.7,94,0
NVO.PL,5,20250729,165000,208.95,208.95,208.95,208.95,7,0
