<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLA.PL,5,20250707,090500,1084.4,1084.4,1084.4,1084.4,1,0
TSLA.PL,5,20250707,091000,1080,1080,1080,1080,18,0
TSLA.PL,5,20250707,091500,1082,1082,1082,1082,1,0
TSLA.PL,5,20250707,093500,1074.6,1074.6,1074.6,1074.6,1,0
TSLA.PL,5,20250707,100000,1070,1070,1062,1062,5,0
TSLA.PL,5,20250707,100500,1067.4,1067.4,1067.4,1067.4,2,0
TSLA.PL,5,20250707,102000,1067.4,1067.4,1067.4,1067.4,28,0
TSLA.PL,5,20250707,102500,1067.4,1067.4,1067.4,1067.4,2,0
TSLA.PL,5,20250707,104500,1054.2,1054.2,1054.2,1054.2,55,0
TSLA.PL,5,20250707,105000,1072.2,1072.2,1072.2,1072.2,52,0
TSLA.PL,5,20250707,105500,1074.6,1074.6,1074.6,1074.6,1,0
TSLA.PL,5,20250707,111500,1072.2,1072.2,1072.2,1072.2,1,0
TSLA.PL,5,20250707,112500,1061.4,1061.4,1061.4,1061.4,55,0
TSLA.PL,5,20250707,124000,1072.2,1072.2,1072.2,1072.2,9,0
TSLA.PL,5,20250707,145000,1079.6,1079.6,1079.6,1079.6,5,0
TSLA.PL,5,20250707,153000,1062,1062,1058,1058,11,0
TSLA.PL,5,20250707,155500,1054,1054,1054,1054,1,0
TSLA.PL,5,20250707,162000,1063.4,1063.4,1063.4,1063.4,2,0
TSLA.PL,5,20250708,100500,1079.6,1079.6,1079.6,1079.6,5,0
TSLA.PL,5,20250708,101000,1082,1082,1082,1082,5,0
TSLA.PL,5,20250708,110500,1082,1082,1082,1082,5,0
TSLA.PL,5,20250708,154000,1084.4,1084.4,1084.4,1084.4,9,0
TSLA.PL,5,20250708,154500,1084.4,1084.4,1084.4,1084.4,2,0
TSLA.PL,5,20250708,155000,1084.4,1084.4,1084.4,1084.4,2,0
TSLA.PL,5,20250708,155500,1084.4,1084.4,1084.4,1084.4,4,0
TSLA.PL,5,20250708,163000,1095,1100,1095,1100,2,0
TSLA.PL,5,20250709,103500,1086.8,1086.8,1086.8,1086.8,10,0
TSLA.PL,5,20250709,105000,1073.2,1086.8,1073.2,1086.8,11,0
TSLA.PL,5,20250709,110000,1086.8,1086.8,1086.8,1086.8,65,0
