<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGT,5,20250707,090500,4.72,4.72,4.68,4.68,350,0
AGT,5,20250707,092000,4.68,4.68,4.68,4.68,40,0
AGT,5,20250707,094500,4.77,4.77,4.77,4.77,40,0
AGT,5,20250707,103000,4.7,4.7,4.7,4.7,543,0
AGT,5,20250707,104000,4.7,4.7,4.7,4.7,1000,0
AGT,5,20250707,105000,4.69,4.69,4.68,4.68,400,0
AGT,5,20250707,121500,4.68,4.68,4.68,4.68,70,0
AGT,5,20250707,124500,4.7,4.7,4.7,4.7,130,0
AGT,5,20250707,141000,4.7,4.7,4.7,4.7,392,0
AGT,5,20250707,141500,4.7,4.7,4.7,4.7,250,0
AGT,5,20250707,154500,4.7,4.7,4.7,4.7,250,0
AGT,5,20250707,160000,4.7,4.7,4.69,4.69,548,0
AGT,5,20250707,162500,4.7,4.7,4.7,4.7,148,0
AGT,5,20250708,090000,4.71,4.75,4.71,4.75,30,0
AGT,5,20250708,110500,4.68,4.68,4.65,4.65,1040,0
AGT,5,20250708,111500,4.76,4.76,4.76,4.76,5,0
AGT,5,20250708,123000,4.65,4.65,4.6,4.61,150,0
AGT,5,20250708,132000,4.75,4.75,4.75,4.75,10,0
AGT,5,20250708,143500,4.61,4.61,4.61,4.61,7,0
AGT,5,20250708,145000,4.61,4.61,4.61,4.61,2,0
AGT,5,20250708,150500,4.61,4.61,4.61,4.61,1,0
AGT,5,20250708,151500,4.6,4.6,4.56,4.56,93,0
AGT,5,20250708,153000,4.6,4.6,4.6,4.6,5,0
AGT,5,20250708,153500,4.56,4.56,4.56,4.56,21,0
AGT,5,20250708,155000,4.6,4.6,4.6,4.6,20,0
AGT,5,20250708,160000,4.6,4.6,4.6,4.6,100,0
AGT,5,20250708,160500,4.56,4.56,4.56,4.56,10,0
AGT,5,20250708,162000,4.56,4.56,4.56,4.56,3,0
AGT,5,20250708,163500,4.52,4.52,4.52,4.52,23,0
AGT,5,20250708,164000,4.52,4.6,4.52,4.6,824,0
AGT,5,20250709,090000,4.65,4.65,4.65,4.65,3,0
AGT,5,20250709,090500,4.65,4.67,4.65,4.67,17,0
AGT,5,20250709,094500,4.69,4.73,4.69,4.73,28,0
AGT,5,20250709,095000,4.75,4.79,4.75,4.79,132,0
AGT,5,20250709,100500,4.81,4.82,4.81,4.82,15,0
AGT,5,20250709,101000,4.82,4.82,4.8,4.8,535,0
AGT,5,20250709,101500,4.82,4.92,4.82,4.92,112,0
AGT,5,20250709,102000,4.86,4.86,4.84,4.84,800,0
AGT,5,20250709,104000,4.82,4.82,4.8,4.8,378,0
AGT,5,20250709,111000,4.76,4.76,4.76,4.76,40,0
AGT,5,20250709,122000,4.75,4.75,4.6,4.6,760,0
AGT,5,20250709,125000,4.79,4.79,4.79,4.79,10,0
AGT,5,20250709,135000,4.79,4.79,4.79,4.79,40,0
