<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APN,5,20250707,090000,18.1981,18.1981,18.1981,18.1981,17.6556473827,0
APN,5,20250707,091000,18.1981,18.2463,18.1981,18.2463,83.085399448,0
APN,5,20250707,091500,17.9574,17.9574,17.9574,17.9574,1.0385674931,0
APN,5,20250707,093000,17.9574,17.9574,17.9574,17.9574,14.539944903399999,0
APN,5,20250707,094500,18.1981,18.2463,18.1981,18.2463,11.4242424241,0
APN,5,20250707,101000,18.0056,18.0056,18.0056,18.0056,3.1157024793,0
APN,5,20250707,105000,18.1981,18.1981,18.1981,18.1981,3.1157024793,0
APN,5,20250707,115500,18.1981,18.1981,18.1981,18.1981,1.0385674931,0
APN,5,20250707,130500,17.9574,17.9574,17.9574,17.9574,1.0385674931,0
APN,5,20250707,131000,18.1981,18.1981,18.1981,18.1981,1.0385674931,0
APN,5,20250707,140000,18.1981,18.1981,18.1981,18.1981,1.0385674931,0
APN,5,20250707,140500,18.1019,18.1019,18.1019,18.1019,25.9641873275,0
APN,5,20250707,141000,18.1019,18.1019,18.1019,18.1019,77.8925619825,0
APN,5,20250707,153000,18.1019,18.1019,18.1019,18.1019,35.3112947654,0
APN,5,20250707,163500,18.1019,18.1019,18.1019,18.1019,532.7851239603,0
APN,5,20250707,164500,18.2463,18.2463,18.2463,18.2463,3.1157024793,0
APN,5,20250708,090000,18.2463,18.2463,17.9574,17.9574,96.5867768583,0
APN,5,20250708,091000,18.2463,18.2463,18.2463,18.2463,3.1157024793,0
APN,5,20250708,095500,17.9574,17.9574,17.9574,17.9574,5.1928374655,0
APN,5,20250708,110500,18.2463,18.2463,18.2463,18.2463,4.1542699724,0
APN,5,20250708,120500,18.2463,18.2463,18.2463,18.2463,93.471074379,0
APN,5,20250708,125500,18.2463,18.2463,18.2463,18.2463,1.0385674931,0
APN,5,20250708,130000,18.0537,18.0537,18.0537,18.0537,5.1928374655,0
APN,5,20250708,131000,18.2463,18.2463,18.2463,18.2463,31.157024792999998,0
APN,5,20250708,143000,18.2463,18.2463,18.2463,18.2463,72.69972451699999,0
APN,5,20250708,161000,18.15,18.15,18.15,18.15,841.239669411,0
APN,5,20250708,163000,18.15,18.15,18.15,18.15,47.7741046826,0
APN,5,20250708,163500,18.15,18.15,18.15,18.15,72.69972451699999,0
APN,5,20250708,164500,17.9574,18.15,17.9093,18.15,212.9063360855,0
APN,5,20250709,090000,18.5,18.5,18.2,18.2,65,0
APN,5,20250709,090500,18.45,18.45,18.45,18.45,16,0
APN,5,20250709,110500,18.3,18.3,18.3,18.3,1,0
APN,5,20250709,113500,18.3,18.3,18.3,18.3,1,0
APN,5,20250709,120000,18.2,18.2,18.2,18.2,2,0
APN,5,20250709,121000,18.3,18.3,18.3,18.3,460,0
APN,5,20250709,121500,18.35,18.35,18.35,18.35,171,0
APN,5,20250709,122500,18.45,18.55,18.45,18.5,1226,0
APN,5,20250709,123500,18.8,18.8,18.8,18.8,170,0
APN,5,20250709,124500,18.85,19,18.85,19,358,0
APN,5,20250709,125000,19.8,19.8,19.8,19.8,5,0
APN,5,20250709,130000,18.45,18.45,18.45,18.45,470,0
APN,5,20250709,130500,18.45,18.95,18.45,18.95,1009,0
APN,5,20250709,133000,18.7,18.7,18.7,18.7,100,0
APN,5,20250709,133500,18.75,18.75,18.75,18.75,138,0
APN,5,20250709,134500,18.85,18.85,18.85,18.85,1,0
APN,5,20250709,135500,18.85,19,18.85,18.9,800,0
APN,5,20250709,140500,19.1,19.1,19.05,19.05,5,0
APN,5,20250709,150500,19,19,19,19,100,0
APN,5,20250709,151500,19,19,19,19,103,0
APN,5,20250709,152000,19,19,19,19,2,0
APN,5,20250709,155000,19.05,19.05,19.05,19.05,1,0
