<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARL,5,20250707,090000,37,37.15,37,37.15,575,0
ARL,5,20250707,090500,37.145,37.15,36.95,37.15,220,0
ARL,5,20250707,091000,37.145,37.24,37.14,37.24,416,0
ARL,5,20250707,091500,37.29,37.3,37.26,37.3,187,0
ARL,5,20250707,092500,37.3,37.3,37.3,37.3,160,0
ARL,5,20250707,093000,37.4,37.4,37.4,37.4,14,0
ARL,5,20250707,093500,37.4,37.4,37.4,37.4,7,0
ARL,5,20250707,094000,37.4,37.475,37.4,37.475,82,0
ARL,5,20250707,094500,37.475,37.475,37.47,37.47,93,0
ARL,5,20250707,095000,37.4,37.6,37.4,37.5,1415,0
ARL,5,20250707,095500,37.5,37.5,37.5,37.5,5,0
ARL,5,20250707,100000,37.425,37.47,37.4,37.47,1111,0
ARL,5,20250707,100500,37.405,37.405,37.305,37.4,365,0
ARL,5,20250707,101000,37.395,37.395,37.395,37.395,5,0
ARL,5,20250707,101500,37.39,37.39,37.245,37.245,285,0
ARL,5,20250707,102000,37.23,37.23,37.15,37.15,647,0
ARL,5,20250707,102500,37.1,37.105,36.96,37,428,0
ARL,5,20250707,103500,37.015,37.395,37.015,37.395,122,0
ARL,5,20250707,104000,37.02,37.025,37.02,37.025,31,0
ARL,5,20250707,105000,37.065,37.065,37.065,37.065,37,0
ARL,5,20250707,105500,37.07,37.07,37.07,37.07,19,0
ARL,5,20250707,111500,37.07,37.395,37.07,37.395,326,0
ARL,5,20250707,112500,37.345,37.345,37.34,37.34,92,0
ARL,5,20250707,113000,37.335,37.335,37.055,37.065,106,0
ARL,5,20250707,115000,37.335,37.34,37.08,37.08,327,0
ARL,5,20250707,115500,37.105,37.11,37.1,37.11,121,0
ARL,5,20250707,120000,37.345,37.345,37.345,37.345,85,0
ARL,5,20250707,120500,37.34,37.34,37.34,37.34,50,0
ARL,5,20250707,121500,37.34,37.34,37.34,37.34,50,0
ARL,5,20250707,122000,37.25,37.25,37.19,37.19,698,0
ARL,5,20250707,122500,37.2,37.2,37.2,37.2,535,0
ARL,5,20250707,123000,37.2,37.2,37.2,37.2,71,0
