<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATD,5,20250707,090000,3.19,3.19,3.19,3.19,1295,0
ATD,5,20250707,090500,3.2,3.2,3.2,3.2,20,0
ATD,5,20250707,092500,3.19,3.19,3.19,3.19,300,0
ATD,5,20250707,102500,3.2,3.2,3.2,3.2,480,0
ATD,5,20250707,111000,3.23,3.23,3.23,3.23,156,0
ATD,5,20250707,111500,3.23,3.24,3.23,3.24,1377,0
ATD,5,20250707,113500,3.24,3.24,3.24,3.24,800,0
ATD,5,20250707,114500,3.2,3.2,3.2,3.2,1,0
ATD,5,20250707,121500,3.24,3.24,3.24,3.24,18,0
ATD,5,20250707,122500,3.2,3.2,3.2,3.2,125,0
ATD,5,20250707,132500,3.2,3.2,3.2,3.2,150,0
ATD,5,20250707,141000,3.2,3.2,3.2,3.2,1000,0
ATD,5,20250707,141500,3.2,3.2,3.2,3.2,31,0
ATD,5,20250707,144000,3.21,3.21,3.21,3.21,640,0
ATD,5,20250707,160000,3.24,3.24,3.24,3.24,20,0
ATD,5,20250708,090000,3.24,3.24,3.24,3.24,2,0
ATD,5,20250708,092500,3.24,3.24,3.24,3.24,84,0
ATD,5,20250708,101000,3.24,3.24,3.24,3.24,200,0
ATD,5,20250708,103500,3.24,3.24,3.24,3.24,120,0
ATD,5,20250708,113500,3.24,3.24,3.24,3.24,500,0
ATD,5,20250708,114000,3.24,3.24,3.24,3.24,6500,0
ATD,5,20250708,114500,3.24,3.24,3.24,3.24,500,0
ATD,5,20250708,142000,3.2,3.2,3.2,3.2,245,0
ATD,5,20250708,152000,3.2,3.2,3.2,3.2,1634,0
ATD,5,20250708,160500,3.24,3.24,3.24,3.24,9,0
ATD,5,20250708,161000,3.24,3.24,3.24,3.24,4,0
ATD,5,20250708,161500,3.24,3.24,3.24,3.24,7,0
ATD,5,20250709,090000,3.24,3.24,3.24,3.24,90,0
ATD,5,20250709,090500,3.24,3.24,3.24,3.24,14,0
ATD,5,20250709,091500,3.24,3.24,3.24,3.24,5,0
ATD,5,20250709,095500,3.22,3.22,3.22,3.22,300,0
ATD,5,20250709,101000,3.24,3.24,3.24,3.24,300,0
ATD,5,20250709,103500,3.24,3.24,3.24,3.24,138,0
ATD,5,20250709,104000,3.25,3.25,3.25,3.25,30,0
ATD,5,20250709,110000,3.25,3.25,3.25,3.25,232,0
ATD,5,20250709,111000,3.27,3.3,3.27,3.3,10000,0
ATD,5,20250709,122000,3.28,3.28,3.24,3.24,130,0
ATD,5,20250709,123000,3.24,3.24,3.24,3.24,200,0
ATD,5,20250709,125500,3.29,3.29,3.29,3.29,9,0
ATD,5,20250709,130000,3.29,3.29,3.29,3.29,15,0
ATD,5,20250709,130500,3.29,3.29,3.29,3.29,78,0
ATD,5,20250709,134000,3.29,3.29,3.29,3.29,2017,0
ATD,5,20250709,135000,3.29,3.29,3.29,3.29,1867,0
ATD,5,20250709,140000,3.3,3.3,3.3,3.3,7,0
ATD,5,20250709,140500,3.3,3.3,3.3,3.3,57,0
ATD,5,20250709,141500,3.29,3.29,3.29,3.29,1,0
ATD,5,20250709,142500,3.29,3.29,3.29,3.29,350,0
ATD,5,20250709,145500,3.29,3.29,3.29,3.29,1,0
ATD,5,20250709,152500,3.3,3.3,3.3,3.3,10,0
ATD,5,20250709,154000,3.3,3.3,3.3,3.3,52,0
ATD,5,20250709,163000,3.3,3.3,3.3,3.3,5,0
ATD,5,20250709,163500,3.29,3.29,3.29,3.29,1866,0
ATD,5,20250709,164500,3.29,3.29,3.29,3.29,5915,0
ATD,5,20250710,090000,3.29,3.29,3.29,3.29,10,0
ATD,5,20250710,091500,3.23,3.23,3.23,3.23,32,0
ATD,5,20250710,094000,3.23,3.23,3.23,3.23,650,0
ATD,5,20250710,111000,3.23,3.23,3.22,3.22,3000,0
ATD,5,20250710,112000,3.28,3.28,3.28,3.28,1412,0
ATD,5,20250710,113500,3.29,3.32,3.29,3.32,3330,0
ATD,5,20250710,114000,3.32,3.32,3.32,3.32,105,0
ATD,5,20250710,114500,3.33,3.33,3.33,3.33,215,0
ATD,5,20250710,120500,3.33,3.33,3.33,3.33,300,0
ATD,5,20250710,123500,3.33,3.33,3.33,3.33,600,0
ATD,5,20250710,132500,3.33,3.33,3.33,3.33,16,0
ATD,5,20250710,133000,3.32,3.32,3.32,3.32,500,0
ATD,5,20250710,134000,3.32,3.32,3.32,3.32,70,0
ATD,5,20250710,134500,3.32,3.32,3.32,3.32,995,0
ATD,5,20250710,135500,3.32,3.32,3.32,3.32,6,0
ATD,5,20250710,140000,3.32,3.32,3.28,3.28,1272,0
ATD,5,20250710,142500,3.28,3.28,3.28,3.28,4,0
ATD,5,20250710,145500,3.28,3.28,3.28,3.28,200,0
ATD,5,20250710,151500,3.32,3.32,3.32,3.32,50,0
ATD,5,20250711,090000,3.32,3.32,3.32,3.32,6,0
ATD,5,20250711,092000,3.32,3.32,3.32,3.32,8,0
ATD,5,20250711,101000,3.32,3.32,3.32,3.32,100,0
ATD,5,20250711,102000,3.32,3.32,3.32,3.32,100,0
ATD,5,20250711,113500,3.29,3.31,3.29,3.31,29,0
ATD,5,20250711,114500,3.3,3.3,3.3,3.3,404,0
ATD,5,20250711,115000,3.22,3.24,3.22,3.24,3080,0
ATD,5,20250711,115500,3.29,3.29,3.29,3.29,4,0
ATD,5,20250711,140000,3.29,3.29,3.2,3.2,106,0
ATD,5,20250711,141500,3.2,3.2,3.2,3.2,29,0
ATD,5,20250711,142000,3.2,3.2,3.2,3.2,300,0
ATD,5,20250711,153000,3.2,3.2,3.2,3.2,60,0
ATD,5,20250711,160000,3.28,3.28,3.28,3.28,6,0
ATD,5,20250714,090000,3.3,3.3,3.18,3.19,26712,0
ATD,5,20250714,090500,3.31,3.31,3.2,3.2,27,0
ATD,5,20250714,091500,3.29,3.29,3.29,3.29,10,0
ATD,5,20250714,094000,3.29,3.29,3.29,3.29,4,0
ATD,5,20250714,095000,3.29,3.29,3.29,3.29,4500,0
ATD,5,20250714,095500,3.2,3.2,3.2,3.2,105,0
ATD,5,20250714,103500,3.28,3.28,3.28,3.28,4,0
ATD,5,20250714,104000,3.2,3.2,3.2,3.2,200,0
ATD,5,20250714,105500,3.2,3.2,3.2,3.2,1000,0
ATD,5,20250714,115000,3.27,3.27,3.27,3.27,66,0
ATD,5,20250714,153000,3.24,3.24,3.24,3.24,40,0
ATD,5,20250714,154000,3.24,3.24,3.24,3.24,5,0
ATD,5,20250715,090000,3.27,3.27,3.27,3.27,2,0
ATD,5,20250715,093000,3.26,3.26,3.26,3.26,3982,0
ATD,5,20250715,101000,3.22,3.22,3.2,3.2,4000,0
ATD,5,20250715,103500,3.22,3.22,3.22,3.22,150,0
ATD,5,20250715,110500,3.22,3.22,3.22,3.22,1000,0
ATD,5,20250715,112000,3.22,3.22,3.22,3.22,200,0
ATD,5,20250715,112500,3.22,3.22,3.22,3.22,350,0
ATD,5,20250715,143000,3.22,3.22,3.22,3.22,961,0
ATD,5,20250715,144500,3.22,3.22,3.22,3.22,369,0
ATD,5,20250715,150500,3.22,3.22,3.22,3.22,631,0
ATD,5,20250715,160000,3.2,3.2,3.2,3.2,400,0
ATD,5,20250715,162500,3.2,3.2,3.19,3.2,500,0
ATD,5,20250716,090000,3.23,3.23,3.23,3.23,2,0
