<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFI,5,20250709,110000,0.154,0.154,0.154,0.154,100521,0
CFI,5,20250709,112500,0.154,0.154,0.154,0.154,11563,0
CFI,5,20250709,150000,0.155,0.155,0.155,0.155,9100,0
CFI,5,20250710,110000,0.149,0.149,0.149,0.149,3000,0
CFI,5,20250710,111000,0.149,0.149,0.149,0.149,3551,0
CFI,5,20250710,112000,0.149,0.149,0.149,0.149,1200,0
CFI,5,20250710,150000,0.151,0.151,0.151,0.151,12249,0
CFI,5,20250714,110000,0.148,0.148,0.148,0.148,19930,0
CFI,5,20250714,150000,0.149,0.149,0.149,0.149,5000,0
CFI,5,20250715,110000,0.168,0.168,0.168,0.168,700,0
CFI,5,20250715,110500,0.168,0.168,0.168,0.168,2940,0
CFI,5,20250715,111500,0.168,0.168,0.168,0.168,850,0
CFI,5,20250715,112000,0.168,0.168,0.168,0.168,5900,0
CFI,5,20250715,150000,0.167,0.167,0.167,0.167,2002,0
CFI,5,20250716,150000,0.165,0.165,0.165,0.165,6000,0
CFI,5,20250717,110000,0.151,0.151,0.151,0.151,1799,0
CFI,5,20250717,150000,0.164,0.164,0.164,0.164,500,0
CFI,5,20250718,110000,0.162,0.162,0.162,0.162,4000,0
CFI,5,20250721,110000,0.152,0.152,0.152,0.152,3000,0
CFI,5,20250721,112000,0.152,0.152,0.152,0.152,4000,0
CFI,5,20250721,112500,0.152,0.152,0.152,0.152,1882,0
CFI,5,20250721,150000,0.159,0.159,0.159,0.159,1118,0
CFI,5,20250721,152500,0.159,0.159,0.159,0.159,2595,0
CFI,5,20250722,110000,0.159,0.159,0.159,0.159,3003,0
CFI,5,20250723,110000,0.159,0.159,0.159,0.159,6997,0
CFI,5,20250723,150000,0.164,0.164,0.164,0.164,708,0
CFI,5,20250725,150000,0.164,0.164,0.164,0.164,1829,0
CFI,5,20250728,110000,0.164,0.164,0.164,0.164,2100,0
CFI,5,20250728,111000,0.164,0.164,0.164,0.164,1500,0
CFI,5,20250729,150000,0.152,0.152,0.152,0.152,10000,0
CFI,5,20250730,110000,0.152,0.152,0.152,0.152,10000,0
CFI,5,20250731,110000,0.153,0.153,0.153,0.153,1071,0
CFI,5,20250731,150000,0.164,0.164,0.164,0.164,929,0
CFI,5,20250731,152500,0.164,0.164,0.164,0.164,10,0
CFI,5,20250801,110000,0.151,0.151,0.151,0.151,20000,0
CFI,5,20250801,150000,0.163,0.163,0.163,0.163,10,0
CFI,5,20250805,110000,0.164,0.164,0.164,0.164,950,0
CFI,5,20250808,150000,0.163,0.163,0.163,0.163,1000,0
CFI,5,20250812,110000,0.15,0.15,0.15,0.15,60000,0
CFI,5,20250812,150000,0.162,0.162,0.162,0.162,1000,0
CFI,5,20250813,110000,0.151,0.151,0.151,0.151,11999,0
CFI,5,20250813,150000,0.163,0.163,0.163,0.163,6,0
CFI,5,20250818,110000,0.152,0.152,0.152,0.152,4975,0
CFI,5,20250818,150000,0.163,0.163,0.163,0.163,4,0
CFI,5,20250819,110000,0.163,0.163,0.163,0.163,1000,0
CFI,5,20250826,110000,0.154,0.154,0.154,0.154,2000,0
CFI,5,20250826,150000,0.155,0.155,0.155,0.155,963,0
CFI,5,20250827,110000,0.164,0.164,0.164,0.164,2344,0
CFI,5,20250828,110000,0.164,0.164,0.164,0.164,5000,0
CFI,5,20250829,110000,0.163,0.163,0.163,0.163,274,0
CFI,5,20250829,150000,0.163,0.163,0.163,0.163,38,0
CFI,5,20250901,110000,0.153,0.153,0.153,0.153,2000,0
CFI,5,20250901,150000,0.154,0.154,0.154,0.154,2000,0
CFI,5,20250902,150000,0.164,0.164,0.164,0.164,11,0
CFI,5,20250903,110000,0.164,0.164,0.164,0.164,4202,0
CFI,5,20250903,150000,0.163,0.163,0.163,0.163,1444,0
CFI,5,20250904,150000,0.155,0.155,0.155,0.155,1000,0
CFI,5,20250905,110000,0.163,0.163,0.163,0.163,244,0
CFI,5,20250908,110000,0.162,0.162,0.162,0.162,815,0
CFI,5,20250911,110000,0.161,0.161,0.161,0.161,6811,0
CFI,5,20250911,111000,0.161,0.161,0.161,0.161,1010,0
CFI,5,20250911,150000,0.161,0.161,0.161,0.161,9506,0
CFI,5,20250912,110000,0.161,0.161,0.161,0.161,10494,0
CFI,5,20250912,150000,0.155,0.155,0.155,0.155,950,0
CFI,5,20250912,150500,0.155,0.155,0.155,0.155,29774,0
CFI,5,20250915,110000,0.155,0.155,0.155,0.155,53202,0
CFI,5,20250916,110000,0.163,0.163,0.163,0.163,22624,0
CFI,5,20250917,150000,0.163,0.163,0.163,0.163,500,0
CFI,5,20250918,110000,0.157,0.157,0.157,0.157,6800,0
CFI,5,20250918,150000,0.163,0.163,0.163,0.163,1000,0
CFI,5,20250922,110000,0.157,0.157,0.157,0.157,150,0
CFI,5,20250922,150000,0.157,0.157,0.157,0.157,9000,0
CFI,5,20250923,110000,0.17,0.17,0.17,0.17,75103,0
CFI,5,20250923,111000,0.17,0.17,0.17,0.17,202,0
CFI,5,20250923,111500,0.17,0.17,0.17,0.17,4010,0
CFI,5,20250924,110000,0.17,0.17,0.17,0.17,16194,0
CFI,5,20250925,150000,0.17,0.17,0.17,0.17,2000,0
CFI,5,20250929,110000,0.17,0.17,0.17,0.17,400,0
CFI,5,20250929,150000,0.162,0.162,0.162,0.162,60,0
CFI,5,20250930,110000,0.17,0.17,0.17,0.17,985,0
CFI,5,20251001,110000,0.162,0.162,0.162,0.162,1059,0
CFI,5,20251001,150000,0.17,0.17,0.17,0.17,371,0
CFI,5,20251006,110000,0.17,0.17,0.17,0.17,900,0
CFI,5,20251006,150000,0.161,0.161,0.161,0.161,15503,0
CFI,5,20251007,150000,0.165,0.165,0.165,0.165,500,0
CFI,5,20251008,150000,0.161,0.161,0.161,0.161,5100,0
CFI,5,20251009,150000,0.162,0.162,0.162,0.162,200,0
CFI,5,20251010,110000,0.166,0.166,0.166,0.166,13500,0
CFI,5,20251010,150000,0.165,0.165,0.165,0.165,569,0
CFI,5,20251014,110000,0.165,0.165,0.165,0.165,5,0
CFI,5,20251014,150000,0.168,0.168,0.168,0.168,995,0
CFI,5,20251015,110000,0.163,0.163,0.163,0.163,1500,0
CFI,5,20251015,150000,0.165,0.165,0.165,0.165,9000,0
CFI,5,20251016,110000,0.168,0.168,0.168,0.168,26,0
CFI,5,20251016,150000,0.161,0.161,0.161,0.161,7000,0
CFI,5,20251017,150000,0.168,0.168,0.168,0.168,5100,0
CFI,5,20251020,110000,0.168,0.168,0.168,0.168,500,0
CFI,5,20251020,150000,0.168,0.168,0.168,0.168,3378,0
CFI,5,20251021,110000,0.17,0.17,0.17,0.17,4100,0
CFI,5,20251021,150000,0.165,0.165,0.165,0.165,15122,0
CFI,5,20251021,151000,0.165,0.165,0.165,0.165,6000,0
CFI,5,20251022,150000,0.161,0.161,0.161,0.161,7000,0
CFI,5,20251023,150000,0.169,0.169,0.169,0.169,5000,0
CFI,5,20251024,110000,0.164,0.164,0.164,0.164,1000,0
CFI,5,20251027,110000,0.169,0.169,0.169,0.169,10000,0
CFI,5,20251028,110000,0.161,0.161,0.161,0.161,11000,0
CFI,5,20251028,150000,0.168,0.168,0.168,0.168,500,0
CFI,5,20251030,110000,0.166,0.166,0.166,0.166,10000,0
CFI,5,20251030,150000,0.165,0.165,0.165,0.165,2000,0
CFI,5,20251031,150000,0.158,0.158,0.158,0.158,42522,0
CFI,5,20251103,110000,0.162,0.162,0.162,0.162,15000,0
CFI,5,20251103,150000,0.168,0.168,0.168,0.168,5300,0
CFI,5,20251104,110000,0.168,0.168,0.168,0.168,5900,0
CFI,5,20251105,111000,0.168,0.168,0.168,0.168,8000,0
CFI,5,20251110,110000,0.167,0.167,0.167,0.167,1076,0
CFI,5,20251112,110000,0.167,0.167,0.167,0.167,12000,0
CFI,5,20251113,110000,0.159,0.159,0.159,0.159,9855,0
CFI,5,20251113,110500,0.159,0.159,0.159,0.159,5000,0
CFI,5,20251113,111000,0.159,0.159,0.159,0.159,8000,0
CFI,5,20251113,150000,0.16,0.16,0.16,0.16,10000,0
CFI,5,20251114,150000,0.16,0.16,0.16,0.16,10056,0
CFI,5,20251117,110000,0.16,0.16,0.16,0.16,8944,0
CFI,5,20251117,112500,0.16,0.16,0.16,0.16,3555,0
CFI,5,20251117,150000,0.16,0.16,0.16,0.16,1900,0
CFI,5,20251118,110000,0.165,0.165,0.165,0.165,45,0
CFI,5,20251120,110000,0.165,0.165,0.165,0.165,18955,0
CFI,5,20251124,150000,0.16,0.16,0.16,0.16,10000,0
CFI,5,20251125,110000,0.164,0.164,0.164,0.164,6100,0
CFI,5,20251125,111000,0.164,0.164,0.164,0.164,1511,0
CFI,5,20251125,150000,0.159,0.159,0.159,0.159,6000,0
CFI,5,20251125,151000,0.159,0.159,0.159,0.159,22640,0
CFI,5,20251126,110000,0.16,0.16,0.16,0.16,400,0
CFI,5,20251126,150000,0.158,0.158,0.158,0.158,7640,0
CFI,5,20251127,110000,0.16,0.16,0.16,0.16,550,0
CFI,5,20251127,112500,0.16,0.16,0.16,0.16,32928,0
CFI,5,20251127,150000,0.16,0.16,0.16,0.16,18022,0
CFI,5,20251128,110000,0.164,0.164,0.164,0.164,9838,0
CFI,5,20251202,110000,0.165,0.165,0.165,0.165,162,0
