<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMG,5,20250707,090000,3.78,3.79,3.78,3.79,60,0
DMG,5,20250707,092500,3.7,3.7,3.7,3.7,5,0
DMG,5,20250707,100500,3.69,3.69,3.68,3.68,87,0
DMG,5,20250707,111000,3.71,3.71,3.71,3.71,1500,0
DMG,5,20250707,112000,3.73,3.73,3.73,3.73,130,0
DMG,5,20250707,113000,3.73,3.76,3.73,3.76,53,0
DMG,5,20250707,122000,3.76,3.78,3.76,3.78,5,0
DMG,5,20250707,124000,3.78,3.78,3.78,3.78,500,0
DMG,5,20250708,090000,3.78,3.78,3.78,3.78,12,0
DMG,5,20250708,130000,3.76,3.76,3.76,3.76,50,0
DMG,5,20250708,144500,3.72,3.72,3.72,3.72,648,0
DMG,5,20250708,153000,3.77,3.77,3.77,3.77,98,0
DMG,5,20250708,162500,3.71,3.71,3.71,3.71,5,0
DMG,5,20250708,164500,3.74,3.74,3.74,3.74,2,0
DMG,5,20250709,090000,3.73,3.73,3.73,3.73,10,0
DMG,5,20250709,091500,3.76,3.76,3.76,3.76,3,0
DMG,5,20250709,093000,3.76,3.78,3.76,3.78,200,0
DMG,5,20250709,135500,3.77,3.77,3.77,3.77,553,0
DMG,5,20250709,155000,3.76,3.76,3.76,3.76,9,0
DMG,5,20250709,162000,3.77,3.77,3.77,3.77,3,0
DMG,5,20250709,164500,3.67,3.67,3.67,3.67,5035,0
DMG,5,20250710,090000,3.74,3.77,3.74,3.77,10,0
DMG,5,20250710,103500,3.68,3.68,3.68,3.68,13,0
DMG,5,20250710,144000,3.74,3.74,3.74,3.74,3,0
DMG,5,20250710,145000,3.76,3.76,3.76,3.76,700,0
DMG,5,20250710,145500,3.77,3.77,3.77,3.77,7,0
DMG,5,20250710,155500,3.75,3.75,3.75,3.75,934,0
DMG,5,20250710,164500,3.67,3.67,3.67,3.67,1755,0
DMG,5,20250711,090000,3.72,3.77,3.72,3.77,8,0
DMG,5,20250711,124500,3.68,3.68,3.66,3.68,2822,0
DMG,5,20250711,130500,3.67,3.68,3.67,3.68,3183,0
DMG,5,20250711,155500,3.7,3.7,3.7,3.7,1156,0
DMG,5,20250711,160000,3.7,3.7,3.7,3.7,1894,0
DMG,5,20250711,161000,3.76,3.76,3.76,3.76,3,0
DMG,5,20250714,090000,3.75,3.75,3.75,3.75,2,0
DMG,5,20250714,100000,3.66,3.66,3.65,3.65,5000,0
DMG,5,20250714,100500,3.65,3.65,3.65,3.65,85,0
DMG,5,20250714,111500,3.65,3.65,3.65,3.65,444,0
DMG,5,20250714,112000,3.65,3.65,3.65,3.65,1400,0
DMG,5,20250714,162500,3.65,3.65,3.65,3.65,3000,0
DMG,5,20250714,164500,3.67,3.67,3.67,3.67,3,0
DMG,5,20250715,090000,3.76,3.76,3.76,3.76,2,0
DMG,5,20250715,095000,3.75,3.75,3.75,3.75,9,0
DMG,5,20250716,090500,3.67,3.67,3.67,3.67,5,0
DMG,5,20250716,101000,3.72,3.72,3.72,3.72,1005,0
DMG,5,20250716,103000,3.72,3.72,3.72,3.72,195,0
DMG,5,20250716,144500,3.67,3.67,3.67,3.67,33,0
DMG,5,20250716,145500,3.67,3.67,3.67,3.67,600,0
DMG,5,20250716,155500,3.7,3.7,3.7,3.7,1347,0
DMG,5,20250716,160000,3.66,3.66,3.62,3.62,2663,0
DMG,5,20250716,164500,3.65,3.66,3.63,3.66,20,0
DMG,5,20250717,090000,3.69,3.69,3.69,3.69,2,0
DMG,5,20250717,130000,3.63,3.63,3.63,3.63,200,0
DMG,5,20250717,134000,3.66,3.66,3.66,3.66,3,0
DMG,5,20250718,090000,3.69,3.69,3.69,3.69,2,0
DMG,5,20250718,110500,3.69,3.7,3.69,3.7,26,0
DMG,5,20250718,114500,3.65,3.65,3.63,3.63,100,0
DMG,5,20250718,125000,3.67,3.72,3.67,3.72,200,0
DMG,5,20250718,131500,3.65,3.65,3.65,3.65,94,0
DMG,5,20250718,152000,3.65,3.65,3.65,3.65,425,0
DMG,5,20250718,161500,3.65,3.71,3.65,3.71,512,0
DMG,5,20250718,162000,3.64,3.64,3.64,3.64,468,0
DMG,5,20250718,162500,3.64,3.64,3.64,3.64,532,0
DMG,5,20250718,164500,3.69,3.69,3.69,3.69,1000,0
DMG,5,20250721,090000,3.73,3.73,3.73,3.73,10,0
DMG,5,20250721,100500,3.65,3.65,3.62,3.62,2000,0
DMG,5,20250721,101000,3.71,3.71,3.71,3.71,2,0
DMG,5,20250721,132000,3.62,3.62,3.61,3.61,505,0
DMG,5,20250721,154000,3.61,3.61,3.61,3.61,38,0
DMG,5,20250721,154500,3.64,3.66,3.64,3.66,1800,0
DMG,5,20250721,155500,3.7,3.7,3.7,3.7,3,0
DMG,5,20250721,162000,3.7,3.7,3.7,3.7,1500,0
DMG,5,20250722,090000,3.71,3.71,3.7,3.7,580,0
DMG,5,20250722,145000,3.65,3.65,3.65,3.65,650,0
DMG,5,20250722,163500,3.69,3.69,3.69,3.69,3,0
DMG,5,20250722,164500,3.67,3.67,3.67,3.67,10,0
DMG,5,20250723,090000,3.69,3.69,3.69,3.69,10,0
DMG,5,20250723,090500,3.63,3.69,3.62,3.62,4069,0
DMG,5,20250723,102000,3.63,3.63,3.63,3.63,8,0
DMG,5,20250723,104000,3.68,3.68,3.68,3.68,2300,0
DMG,5,20250723,111000,3.7,3.7,3.7,3.7,2000,0
DMG,5,20250723,114500,3.68,3.68,3.68,3.68,300,0
DMG,5,20250723,140000,3.67,3.67,3.67,3.67,100,0
DMG,5,20250723,150000,3.67,3.68,3.67,3.68,988,0
DMG,5,20250723,164500,3.67,3.67,3.67,3.67,2,0
DMG,5,20250724,090000,3.71,3.71,3.71,3.71,10,0
DMG,5,20250724,092500,3.64,3.64,3.64,3.64,9,0
DMG,5,20250724,135500,3.65,3.7,3.65,3.7,900,0
DMG,5,20250724,144000,3.7,3.7,3.7,3.7,1542,0
DMG,5,20250724,164500,3.69,3.69,3.69,3.69,2,0
DMG,5,20250725,090000,3.71,3.71,3.68,3.68,975,0
DMG,5,20250725,094000,3.68,3.68,3.68,3.68,35,0
DMG,5,20250725,123500,3.65,3.65,3.62,3.62,630,0
DMG,5,20250725,125500,3.62,3.62,3.62,3.62,1798,0
DMG,5,20250725,131500,3.62,3.7,3.62,3.62,22,0
DMG,5,20250725,132000,3.62,3.62,3.62,3.62,10,0
DMG,5,20250725,154000,3.62,3.62,3.62,3.62,40,0
DMG,5,20250725,154500,3.62,3.62,3.62,3.62,968,0
DMG,5,20250725,164500,3.63,3.63,3.63,3.63,2,0
DMG,5,20250728,090000,3.63,3.71,3.63,3.71,14,0
DMG,5,20250728,090500,3.62,3.7,3.62,3.62,620,0
DMG,5,20250728,091000,3.62,3.62,3.62,3.62,6600,0
DMG,5,20250728,094500,3.69,3.69,3.69,3.69,90,0
DMG,5,20250728,113500,3.68,3.68,3.68,3.68,3,0
DMG,5,20250728,125000,3.69,3.69,3.69,3.69,200,0
DMG,5,20250728,132000,3.64,3.64,3.63,3.63,110,0
DMG,5,20250728,154000,3.64,3.64,3.64,3.64,17,0
DMG,5,20250728,165500,3.68,3.68,3.68,3.68,4,0
DMG,5,20250729,090000,3.68,3.68,3.68,3.68,1,0
DMG,5,20250729,092500,3.64,3.64,3.61,3.61,2442,0
DMG,5,20250729,093000,3.61,3.61,3.61,3.61,3,0
DMG,5,20250729,093500,3.6,3.68,3.54,3.68,3439,0
DMG,5,20250729,100500,3.59,3.59,3.59,3.59,2300,0
DMG,5,20250729,103000,3.66,3.66,3.66,3.66,623,0
DMG,5,20250729,161500,3.66,3.66,3.66,3.66,500,0
DMG,5,20250730,090000,3.67,3.67,3.67,3.67,10,0
DMG,5,20250730,132500,3.67,3.7,3.67,3.7,4336,0
DMG,5,20250731,090000,3.71,3.71,3.71,3.71,1,0
DMG,5,20250731,090500,3.72,3.74,3.71,3.71,3329,0
DMG,5,20250731,152500,3.7,3.7,3.7,3.7,1000,0
DMG,5,20250801,090000,3.7,3.7,3.7,3.7,80,0
DMG,5,20250801,092500,3.64,3.7,3.58,3.58,4562,0
DMG,5,20250801,093000,3.58,3.58,3.58,3.58,762,0
DMG,5,20250801,093500,3.55,3.55,3.52,3.52,1020,0
DMG,5,20250801,102500,3.57,3.57,3.57,3.57,420,0
DMG,5,20250801,104500,3.57,3.57,3.57,3.57,225,0
DMG,5,20250801,110000,3.56,3.6,3.56,3.6,2943,0
DMG,5,20250801,111500,3.6,3.6,3.6,3.6,57,0
DMG,5,20250801,140500,3.56,3.56,3.55,3.55,600,0
DMG,5,20250801,150500,3.57,3.6,3.57,3.6,100,0
DMG,5,20250801,155500,3.56,3.56,3.51,3.51,1310,0
DMG,5,20250801,160500,3.51,3.6,3.5,3.6,1021,0
DMG,5,20250801,163000,3.54,3.58,3.54,3.58,100,0
DMG,5,20250801,164500,3.58,3.58,3.58,3.58,1002,0
DMG,5,20250804,090000,3.6,3.6,3.6,3.6,2,0
DMG,5,20250804,101500,3.56,3.56,3.56,3.56,13100,0
DMG,5,20250804,102000,3.56,3.56,3.56,3.56,9000,0
DMG,5,20250804,130500,3.56,3.56,3.56,3.56,120,0
DMG,5,20250804,142000,3.59,3.59,3.59,3.59,500,0
DMG,5,20250804,142500,3.6,3.6,3.6,3.6,200,0
DMG,5,20250804,145500,3.55,3.55,3.55,3.55,64,0
DMG,5,20250804,152500,3.63,3.65,3.63,3.65,500,0
DMG,5,20250804,163000,3.67,3.67,3.67,3.67,10,0
DMG,5,20250805,090000,3.58,3.58,3.58,3.58,30,0
DMG,5,20250805,122000,3.67,3.7,3.67,3.7,100,0
DMG,5,20250806,090000,3.69,3.69,3.69,3.69,81,0
DMG,5,20250807,090000,3.69,3.69,3.69,3.69,2,0
