<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDI,5,20250707,101000,5.8,5.8,5.8,5.8,20,0
EDI,5,20250707,102000,5.8,5.8,5.7,5.7,197,0
EDI,5,20250707,103500,5.7,5.7,5.7,5.7,100,0
EDI,5,20250707,113000,5.7,5.7,5.7,5.7,1,0
EDI,5,20250707,125000,5.7,5.7,5.7,5.7,10,0
EDI,5,20250707,142500,5.7,5.7,5.7,5.7,20,0
EDI,5,20250707,163500,5.7,5.7,5.7,5.7,9,0
EDI,5,20250707,164500,5.8,5.8,5.8,5.8,240,0
EDI,5,20250708,101500,5.8,5.8,5.8,5.8,3,0
EDI,5,20250708,104000,5.78,5.78,5.78,5.78,2,0
EDI,5,20250708,112000,5.78,5.78,5.6,5.6,70,0
EDI,5,20250708,112500,5.6,5.6,5.6,5.6,10,0
EDI,5,20250708,113500,5.8,5.8,5.8,5.8,15,0
EDI,5,20250708,114000,5.78,5.8,5.78,5.8,7,0
EDI,5,20250708,114500,5.78,5.78,5.78,5.78,118,0
EDI,5,20250708,115000,5.78,5.78,5.78,5.78,149,0
EDI,5,20250708,125000,5.8,5.8,5.8,5.8,1,0
EDI,5,20250708,132000,5.8,5.8,5.8,5.8,7,0
EDI,5,20250708,153500,5.78,5.78,5.78,5.78,10,0
EDI,5,20250708,154000,5.8,5.8,5.8,5.8,276,0
EDI,5,20250708,161000,5.8,5.8,5.8,5.8,9,0
EDI,5,20250708,162000,5.8,5.8,5.8,5.8,400,0
EDI,5,20250708,163500,5.8,5.8,5.8,5.8,5,0
EDI,5,20250709,090000,5.8,5.8,5.8,5.8,134,0
EDI,5,20250709,102500,5.8,5.8,5.8,5.8,10,0
EDI,5,20250709,105500,5.8,5.8,5.8,5.8,150,0
EDI,5,20250709,113000,5.8,5.8,5.8,5.8,40,0
EDI,5,20250709,122500,5.8,5.8,5.8,5.8,189,0
EDI,5,20250709,132500,5.72,5.8,5.72,5.8,46,0
EDI,5,20250709,154500,5.72,5.72,5.72,5.72,432,0
EDI,5,20250709,160000,5.9,5.9,5.9,5.9,2,0
EDI,5,20250710,090000,5.88,5.88,5.7,5.7,92,0
EDI,5,20250710,091000,5.9,5.9,5.9,5.9,2,0
EDI,5,20250710,100500,5.9,5.9,5.9,5.9,5,0
EDI,5,20250710,101500,5.9,5.92,5.9,5.92,20,0
EDI,5,20250710,102000,5.92,5.92,5.92,5.92,90,0
EDI,5,20250710,113500,5.92,5.92,5.92,5.92,4,0
EDI,5,20250710,120000,5.92,5.92,5.92,5.92,3,0
EDI,5,20250710,121000,5.9,5.9,5.7,5.7,80,0
EDI,5,20250710,123000,5.92,5.92,5.92,5.92,3,0
EDI,5,20250710,125000,5.7,5.7,5.7,5.7,5,0
EDI,5,20250710,141500,5.9,5.9,5.9,5.9,1,0
EDI,5,20250710,151500,5.9,5.9,5.9,5.9,4,0
EDI,5,20250711,112000,5.9,5.9,5.9,5.9,13,0
EDI,5,20250711,113000,5.9,5.9,5.9,5.9,5,0
EDI,5,20250711,114500,5.9,5.9,5.72,5.72,269,0
EDI,5,20250711,120000,5.72,5.72,5.72,5.72,21,0
EDI,5,20250711,120500,5.72,5.82,5.72,5.82,624,0
EDI,5,20250711,121500,5.84,5.84,5.84,5.84,27,0
EDI,5,20250711,132000,5.88,5.88,5.88,5.88,3,0
EDI,5,20250711,143500,5.88,5.88,5.88,5.88,26,0
EDI,5,20250711,145000,5.88,5.88,5.88,5.88,10,0
EDI,5,20250711,162000,5.76,5.76,5.76,5.76,50,0
EDI,5,20250711,164500,5.76,5.76,5.7,5.7,348,0
EDI,5,20250714,090000,5.9,5.9,5.9,5.9,7,0
EDI,5,20250714,093000,5.9,5.9,5.9,5.9,20,0
EDI,5,20250714,111000,5.9,5.9,5.9,5.9,140,0
EDI,5,20250714,122000,5.9,5.9,5.9,5.9,15,0
EDI,5,20250714,123000,5.9,5.9,5.9,5.9,2,0
EDI,5,20250714,130500,5.8,5.8,5.8,5.8,9,0
EDI,5,20250714,134500,5.9,5.9,5.9,5.9,20,0
EDI,5,20250714,140500,5.9,5.9,5.9,5.9,20,0
EDI,5,20250714,143500,5.9,5.9,5.9,5.9,10,0
EDI,5,20250714,153500,5.9,5.9,5.9,5.9,15,0
EDI,5,20250715,090500,5.9,5.9,5.9,5.9,3,0
EDI,5,20250715,093000,5.9,5.9,5.9,5.9,45,0
EDI,5,20250715,112000,5.9,5.9,5.9,5.9,150,0
EDI,5,20250715,131500,5.8,5.8,5.8,5.8,241,0
EDI,5,20250715,133000,5.9,5.92,5.9,5.92,80,0
EDI,5,20250715,133500,5.92,5.92,5.92,5.92,10,0
EDI,5,20250715,142000,5.92,5.92,5.92,5.92,6,0
EDI,5,20250715,152000,5.92,5.92,5.92,5.92,1,0
EDI,5,20250715,164500,5.8,5.92,5.7,5.7,906,0
EDI,5,20250716,092000,5.8,5.84,5.8,5.84,4,0
EDI,5,20250716,100500,5.84,5.92,5.84,5.92,15,0
EDI,5,20250716,105000,5.92,5.92,5.92,5.92,166,0
EDI,5,20250716,105500,5.92,5.92,5.92,5.92,11,0
EDI,5,20250716,110500,5.92,5.92,5.92,5.92,5,0
EDI,5,20250716,130500,5.92,5.92,5.92,5.92,80,0
