<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEA,5,20250707,090000,2.68,2.69,2.68,2.68,10658,0
GEA,5,20250707,090500,2.68,2.68,2.68,2.68,28152,0
GEA,5,20250707,091000,2.685,2.685,2.685,2.685,600,0
GEA,5,20250707,092500,2.685,2.685,2.685,2.685,160,0
GEA,5,20250707,095500,2.685,2.685,2.685,2.685,27,0
GEA,5,20250707,100500,2.685,2.685,2.685,2.685,742,0
GEA,5,20250707,105000,2.67,2.67,2.665,2.665,812,0
GEA,5,20250707,105500,2.655,2.655,2.655,2.655,888,0
GEA,5,20250707,111000,2.665,2.665,2.665,2.665,189,0
GEA,5,20250707,112000,2.665,2.685,2.665,2.685,1430,0
GEA,5,20250707,113000,2.665,2.665,2.665,2.665,95,0
GEA,5,20250707,122000,2.665,2.665,2.665,2.665,200,0
GEA,5,20250707,125500,2.67,2.67,2.67,2.67,110,0
GEA,5,20250707,131500,2.67,2.67,2.65,2.65,8044,0
GEA,5,20250707,150500,2.645,2.645,2.645,2.645,849,0
GEA,5,20250707,151000,2.65,2.65,2.65,2.65,3085,0
GEA,5,20250707,160000,2.665,2.665,2.665,2.665,285,0
GEA,5,20250707,163500,2.665,2.665,2.665,2.665,855,0
GEA,5,20250707,164500,2.675,2.675,2.64,2.64,533,0
GEA,5,20250708,090000,2.64,2.64,2.64,2.64,291,0
GEA,5,20250708,091000,2.655,2.655,2.655,2.655,150,0
GEA,5,20250708,095500,2.655,2.655,2.655,2.655,22,0
GEA,5,20250708,101500,2.66,2.66,2.66,2.66,317,0
GEA,5,20250708,102500,2.66,2.66,2.66,2.66,683,0
GEA,5,20250708,105500,2.65,2.65,2.645,2.645,50,0
GEA,5,20250708,111000,2.68,2.68,2.68,2.68,400,0
GEA,5,20250708,112500,2.68,2.69,2.68,2.69,600,0
GEA,5,20250708,114000,2.69,2.69,2.69,2.69,500,0
GEA,5,20250708,114500,2.69,2.69,2.69,2.69,425,0
GEA,5,20250708,120000,2.66,2.66,2.66,2.66,750,0
GEA,5,20250708,121500,2.69,2.69,2.69,2.69,172,0
GEA,5,20250708,124500,2.69,2.7,2.69,2.7,4750,0
GEA,5,20250708,125000,2.66,2.66,2.66,2.66,100,0
GEA,5,20250708,135500,2.7,2.7,2.7,2.7,53,0
GEA,5,20250708,142500,2.69,2.69,2.69,2.69,284,0
GEA,5,20250708,143000,2.7,2.7,2.7,2.7,200,0
GEA,5,20250708,143500,2.7,2.705,2.69,2.69,5357,0
GEA,5,20250708,144000,2.66,2.66,2.66,2.66,106,0
GEA,5,20250708,152500,2.66,2.66,2.66,2.66,40,0
GEA,5,20250708,154500,2.68,2.68,2.68,2.68,200,0
GEA,5,20250708,155000,2.705,2.705,2.68,2.68,330,0
GEA,5,20250708,161000,2.68,2.68,2.68,2.68,75,0
GEA,5,20250708,164500,2.69,2.705,2.66,2.66,681,0
GEA,5,20250709,090000,2.705,2.705,2.705,2.705,7,0
GEA,5,20250709,091000,2.66,2.66,2.65,2.65,742,0
GEA,5,20250709,091500,2.68,2.68,2.68,2.68,5,0
GEA,5,20250709,093000,2.675,2.675,2.675,2.675,1869,0
GEA,5,20250709,093500,2.675,2.69,2.675,2.69,1200,0
GEA,5,20250709,094000,2.655,2.655,2.655,2.655,4,0
GEA,5,20250709,094500,2.655,2.655,2.655,2.655,418,0
GEA,5,20250709,095000,2.655,2.655,2.655,2.655,3693,0
GEA,5,20250709,100500,2.69,2.69,2.69,2.69,40,0
GEA,5,20250709,101000,2.69,2.69,2.69,2.69,400,0
GEA,5,20250709,103500,2.69,2.69,2.69,2.69,550,0
GEA,5,20250709,112000,2.69,2.69,2.69,2.69,400,0
GEA,5,20250709,124000,2.68,2.685,2.68,2.685,664,0
GEA,5,20250709,125500,2.69,2.69,2.69,2.69,10,0
GEA,5,20250709,132500,2.69,2.69,2.69,2.69,10,0
GEA,5,20250709,140000,2.69,2.69,2.69,2.69,8,0
GEA,5,20250709,141000,2.68,2.68,2.68,2.68,295,0
GEA,5,20250709,143500,2.675,2.69,2.675,2.69,345,0
GEA,5,20250709,144000,2.675,2.675,2.675,2.675,110,0
GEA,5,20250709,150000,2.68,2.68,2.68,2.68,40,0
GEA,5,20250709,150500,2.69,2.71,2.69,2.71,3244,0
GEA,5,20250709,154500,2.72,2.72,2.72,2.72,2015,0
GEA,5,20250709,155000,2.72,2.72,2.72,2.72,270,0
GEA,5,20250709,155500,2.72,2.72,2.71,2.72,1157,0
GEA,5,20250709,160000,2.72,2.72,2.72,2.72,125,0
GEA,5,20250709,161500,2.72,2.72,2.72,2.72,500,0
GEA,5,20250709,163000,2.69,2.69,2.69,2.69,540,0
GEA,5,20250709,163500,2.715,2.715,2.715,2.715,10,0
GEA,5,20250709,164500,2.715,2.72,2.665,2.665,417,0
GEA,5,20250710,090000,2.72,2.72,2.7,2.7,635,0
GEA,5,20250710,091000,2.69,2.72,2.69,2.72,325,0
GEA,5,20250710,091500,2.67,2.72,2.67,2.72,95,0
GEA,5,20250710,092000,2.72,2.72,2.72,2.72,10,0
GEA,5,20250710,094500,2.715,2.715,2.715,2.715,1000,0
GEA,5,20250710,100000,2.715,2.715,2.715,2.715,68,0
GEA,5,20250710,105000,2.71,2.71,2.71,2.71,200,0
GEA,5,20250710,105500,2.7,2.71,2.7,2.71,322,0
GEA,5,20250710,111000,2.71,2.71,2.71,2.71,500,0
GEA,5,20250710,121500,2.7,2.7,2.7,2.7,269,0
GEA,5,20250710,130000,2.7,2.7,2.7,2.7,200,0
GEA,5,20250710,130500,2.69,2.69,2.69,2.69,15,0
GEA,5,20250710,131000,2.71,2.71,2.71,2.71,600,0
GEA,5,20250710,132000,2.71,2.71,2.71,2.71,4,0
GEA,5,20250710,135500,2.69,2.69,2.69,2.69,35,0
GEA,5,20250710,140500,2.7,2.7,2.7,2.7,279,0
GEA,5,20250710,142000,2.69,2.69,2.685,2.685,550,0
GEA,5,20250710,150500,2.68,2.68,2.68,2.68,885,0
GEA,5,20250710,152000,2.68,2.68,2.68,2.68,5737,0
GEA,5,20250710,153500,2.7,2.7,2.7,2.7,7320,0
GEA,5,20250710,155500,2.69,2.69,2.69,2.69,303,0
GEA,5,20250710,164000,2.695,2.695,2.685,2.685,47,0
GEA,5,20250710,164500,2.685,2.7,2.68,2.68,447,0
GEA,5,20250711,090000,2.71,2.71,2.71,2.71,4,0
GEA,5,20250711,090500,2.71,2.71,2.71,2.71,9,0
GEA,5,20250711,091000,2.71,2.71,2.71,2.71,748,0
GEA,5,20250711,091500,2.71,2.71,2.69,2.69,1671,0
GEA,5,20250711,092000,2.68,2.685,2.68,2.685,482,0
GEA,5,20250711,093500,2.67,2.675,2.67,2.675,200,0
GEA,5,20250711,104000,2.675,2.675,2.675,2.675,27,0
GEA,5,20250711,105000,2.7,2.7,2.7,2.7,630,0
GEA,5,20250711,115500,2.7,2.7,2.7,2.7,4,0
GEA,5,20250711,123000,2.695,2.695,2.695,2.695,307,0
GEA,5,20250711,130000,2.675,2.675,2.675,2.675,650,0
GEA,5,20250711,131000,2.695,2.695,2.695,2.695,1070,0
GEA,5,20250711,132500,2.7,2.7,2.7,2.7,4996,0
GEA,5,20250711,133000,2.71,2.71,2.7,2.7,9139,0
GEA,5,20250711,134000,2.71,2.715,2.71,2.715,20,0
GEA,5,20250711,140000,2.7,2.715,2.7,2.715,3668,0
GEA,5,20250711,142000,2.71,2.71,2.71,2.71,736,0
GEA,5,20250711,144000,2.69,2.69,2.69,2.69,552,0
GEA,5,20250711,144500,2.71,2.71,2.71,2.71,85,0
GEA,5,20250711,152500,2.71,2.71,2.71,2.71,5000,0
GEA,5,20250711,153000,2.71,2.71,2.71,2.71,6062,0
GEA,5,20250711,160500,2.71,2.71,2.71,2.71,10,0
GEA,5,20250711,163000,2.69,2.69,2.69,2.69,140,0
GEA,5,20250711,163500,2.71,2.71,2.71,2.71,180,0
GEA,5,20250711,164500,2.71,2.72,2.69,2.69,1758,0
GEA,5,20250714,090000,2.685,2.685,2.68,2.685,3117,0
GEA,5,20250714,090500,2.7,2.7,2.7,2.7,15,0
GEA,5,20250714,092000,2.68,2.68,2.68,2.68,1222,0
GEA,5,20250714,100500,2.695,2.695,2.695,2.695,100,0
GEA,5,20250714,102000,2.695,2.7,2.695,2.7,18,0
GEA,5,20250714,105000,2.675,2.675,2.665,2.67,4236,0
GEA,5,20250714,110000,2.66,2.66,2.66,2.66,10,0
GEA,5,20250714,111500,2.66,2.66,2.66,2.66,10,0
GEA,5,20250714,114500,2.66,2.66,2.63,2.63,15996,0
GEA,5,20250714,115500,2.655,2.655,2.655,2.655,11,0
GEA,5,20250714,121500,2.665,2.665,2.665,2.665,600,0
GEA,5,20250714,123500,2.665,2.67,2.665,2.67,1000,0
GEA,5,20250714,124000,2.65,2.65,2.65,2.65,110,0
GEA,5,20250714,125000,2.655,2.655,2.655,2.655,380,0
GEA,5,20250714,132000,2.665,2.665,2.665,2.665,25,0
GEA,5,20250714,140500,2.665,2.665,2.665,2.665,20,0
GEA,5,20250714,141500,2.665,2.665,2.665,2.665,2054,0
GEA,5,20250714,142000,2.66,2.66,2.66,2.66,30,0
GEA,5,20250714,142500,2.66,2.66,2.66,2.66,5,0
GEA,5,20250714,153000,2.67,2.67,2.67,2.67,113,0
GEA,5,20250714,154000,2.665,2.665,2.65,2.65,3000,0
GEA,5,20250714,155500,2.665,2.665,2.665,2.665,2000,0
GEA,5,20250714,160000,2.655,2.655,2.655,2.655,138,0
GEA,5,20250714,160500,2.665,2.665,2.665,2.665,750,0
GEA,5,20250714,163000,2.67,2.67,2.67,2.67,46,0
