<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INP,5,20250707,090000,6.9068,6.9068,6.9068,6.9068,41.408450704,0
INP,5,20250707,141000,6.9068,6.9068,6.9068,6.9068,310.56338028,0
INP,5,20250708,090000,7.0517,7.0517,7.0517,7.0517,2.0704225352,0
INP,5,20250708,093000,6.8585,6.8585,6.8585,6.8585,391.3098591528,0
INP,5,20250708,140000,7.0034,7.0034,6.8585,6.8585,489.6549295748,0
INP,5,20250708,155000,6.8585,6.8585,6.8585,6.8585,157.3521126752,0
INP,5,20250709,090000,6.9068,6.9068,6.9068,6.9068,2.0704225352,0
INP,5,20250709,091000,6.8585,6.8585,6.7619,6.7619,414.08450704,0
INP,5,20250709,100500,6.7619,6.9068,6.7619,6.9068,517.6056338,0
INP,5,20250709,105000,6.9068,6.9068,6.9068,6.9068,204.97183098480002,0
INP,5,20250709,110000,7.0034,7.0517,7.0034,7.0517,312.6338028152,0
INP,5,20250709,144000,7.0034,7.0034,7.0034,7.0034,5.176056338,0
INP,5,20250710,090000,7.0034,7.0034,7.0034,7.0034,2.0704225352,0
INP,5,20250711,090000,6.9551,6.9551,6.9551,6.9551,2.0704225352,0
INP,5,20250711,110000,6.8102,6.8102,6.8102,6.8102,103.52112676,0
INP,5,20250711,114000,6.8102,6.8102,6.8102,6.8102,983.45070422,0
INP,5,20250711,130000,6.9068,6.9068,6.9068,6.9068,2.0704225352,0
INP,5,20250711,154000,6.9068,6.9068,6.9068,6.9068,3.1056338028,0
INP,5,20250711,161000,6.8585,6.8585,6.8585,6.8585,175.985915492,0
INP,5,20250711,162500,6.8585,6.8585,6.8585,6.8585,51.76056338,0
INP,5,20250714,090000,6.8585,6.8585,6.8585,6.8585,2.0704225352,0
INP,5,20250714,091000,6.8585,6.8585,6.8585,6.8585,12.4225352112,0
INP,5,20250714,092500,6.8585,6.8585,6.8585,6.8585,82.816901408,0
INP,5,20250714,095500,6.8102,6.8102,6.8102,6.8102,167.7042253512,0
INP,5,20250714,101000,6.8102,6.8102,6.8102,6.8102,311.5985915476,0
INP,5,20250714,101500,6.8102,6.8102,6.8102,6.8102,309.5281690124,0
INP,5,20250714,104000,6.8102,6.8102,6.8102,6.8102,1.0352112676,0
INP,5,20250714,115000,6.8585,6.8585,6.8585,6.8585,2.0704225352,0
INP,5,20250714,125000,6.8585,6.8585,6.8585,6.8585,51.76056338,0
INP,5,20250714,134500,6.8585,6.8585,6.8585,6.8585,535.2042253492,0
INP,5,20250714,135000,6.8585,6.8585,6.8585,6.8585,165.633802816,0
INP,5,20250714,144500,6.8585,6.8585,6.8585,6.8585,3440.0070422348003,0
INP,5,20250714,145000,6.8102,6.8102,6.8102,6.8102,2276.4295774524003,0
INP,5,20250714,145500,6.7619,6.7619,6.7619,6.7619,1035.2112676,0
INP,5,20250714,161500,6.8102,6.8102,6.7619,6.7619,1012.4366197128,0
INP,5,20250714,162000,6.7619,6.7619,6.7619,6.7619,517.6056338,0
INP,5,20250715,090000,6.9068,6.9068,6.9068,6.9068,2.0704225352,0
INP,5,20250715,091000,6.8585,6.8585,6.8585,6.8585,20.704225352,0
INP,5,20250716,090000,6.8585,6.8585,6.8585,6.8585,1.0352112676,0
INP,5,20250716,102500,6.8585,6.8585,6.8585,6.8585,5.176056338,0
INP,5,20250716,105000,6.8585,6.8585,6.8585,6.8585,2.0704225352,0
INP,5,20250716,105500,6.8585,6.8585,6.8585,6.8585,14.4929577464,0
INP,5,20250716,110500,6.8585,6.8585,6.8585,6.8585,5.176056338,0
INP,5,20250716,135500,6.8585,6.8585,6.8585,6.8585,9.3169014084,0
INP,5,20250717,090000,6.8585,6.8585,6.8585,6.8585,3.1056338028,0
INP,5,20250717,090500,6.8585,6.8585,6.8585,6.8585,3.1056338028,0
INP,5,20250717,105500,6.8585,6.8585,6.8585,6.8585,414.08450704,0
INP,5,20250717,110000,6.8585,6.8585,6.8585,6.8585,207.04225352,0
INP,5,20250717,115000,6.8585,6.8585,6.8102,6.8102,1294.0140845,0
INP,5,20250717,115500,6.8102,6.8102,6.8102,6.8102,367.499999998,0
INP,5,20250717,120500,6.8102,6.8102,6.8102,6.8102,46.584507042,0
INP,5,20250717,134500,6.9068,6.9068,6.9068,6.9068,3.1056338028,0
INP,5,20250718,090000,6.8585,6.8585,6.8585,6.8585,2.0704225352,0
INP,5,20250718,093500,6.8102,6.8102,6.8102,6.8102,670.8169014048,0
INP,5,20250718,101000,6.8585,6.9068,6.8585,6.9068,221.5352112664,0
INP,5,20250718,121000,6.9068,6.9068,6.9068,6.9068,51.76056338,0
INP,5,20250718,134500,6.8585,6.8585,6.8585,6.8585,2.0704225352,0
INP,5,20250718,135500,6.8585,6.9551,6.8585,6.9551,758.8098591508,0
INP,5,20250718,144000,6.9551,6.9551,6.9551,6.9551,6.2112676056,0
INP,5,20250718,151500,6.9068,6.9068,6.9068,6.9068,169.7746478864,0
INP,5,20250718,152000,6.9068,6.9068,6.9068,6.9068,103.52112676,0
INP,5,20250718,163500,6.8102,6.8102,6.8102,6.8102,318.8450704208,0
INP,5,20250721,092000,6.8585,6.8585,6.8585,6.8585,10.352112676,0
INP,5,20250721,101500,6.7619,6.7619,6.7619,6.7619,3.1056338028,0
INP,5,20250721,105000,6.7619,6.7619,6.7619,6.7619,433.75352112440004,0
INP,5,20250721,121500,6.9068,6.9068,6.9068,6.9068,134.57746478800001,0
INP,5,20250721,132000,6.9068,6.9551,6.9068,6.9551,118.01408450640001,0
INP,5,20250721,152000,6.9068,6.9068,6.9068,6.9068,8.2816901408,0
INP,5,20250721,160500,6.9068,6.9068,6.9068,6.9068,82.816901408,0
INP,5,20250721,161000,6.9068,6.9068,6.9068,6.9068,64.18309859120001,0
INP,5,20250721,161500,6.9551,6.9551,6.9551,6.9551,641.8309859120001,0
INP,5,20250721,163500,7.0034,7.0034,7.0034,7.0034,7.2464788732,0
INP,5,20250722,090000,7.0034,7.0034,7.0034,7.0034,4.1408450704,0
INP,5,20250722,095500,7.0034,7.0034,7.0034,7.0034,51.76056338,0
INP,5,20250722,122500,7.0034,7.0034,7.0034,7.0034,10.352112676,0
INP,5,20250722,124000,7.0034,7.0034,7.0034,7.0034,1216.37323943,0
INP,5,20250722,141000,7.0034,7.0034,7.0034,7.0034,274.330985914,0
INP,5,20250722,143000,7.0034,7.0034,7.0034,7.0034,2.0704225352,0
INP,5,20250722,153000,7.0034,7.0034,7.0034,7.0034,118.01408450640001,0
INP,5,20250722,162000,7.0517,7.0517,7.0517,7.0517,18.6338028168,0
INP,5,20250722,164500,7.0034,7.0034,7.0034,7.0034,15.528169014000001,0
INP,5,20250723,090000,7.0034,7.0034,6.8585,6.8585,587.9999999968,0
INP,5,20250723,092500,6.8585,6.8585,6.8585,6.8585,19.6690140844,0
INP,5,20250723,093000,6.8585,6.8585,6.8585,6.8585,5.176056338,0
INP,5,20250723,093500,6.8585,6.8585,6.8585,6.8585,825.0633802772,0
INP,5,20250723,100000,6.8102,6.8102,6.8102,6.8102,517.6056338,0
INP,5,20250723,121000,7.0034,7.0034,7.0034,7.0034,18.6338028168,0
INP,5,20250723,121500,7.0034,7.0034,7.0034,7.0034,20.704225352,0
INP,5,20250723,122500,7.0517,7.0517,7.0517,7.0517,5.176056338,0
INP,5,20250723,123500,7.0517,7.1,7.0517,7.1,3480.3802816712,0
INP,5,20250723,124000,7.1,7.1,7.1,7.1,82.816901408,0
INP,5,20250723,125500,7.1,7.1,7.1,7.1,62.112676056000005,0
INP,5,20250723,130000,7.1483,7.1483,7.1483,7.1483,36.232394366,0
INP,5,20250723,131500,7.1483,7.1483,7.1483,7.1483,15.528169014000001,0
INP,5,20250723,150000,7.0034,7.0034,7.0034,7.0034,481.373239434,0
INP,5,20250723,152000,6.9551,6.9551,6.9551,6.9551,258.8028169,0
INP,5,20250723,153000,6.9551,7.0034,6.9551,7.0034,483.44366196920004,0
INP,5,20250723,164500,7.1,7.1,7.1,7.1,1.0352112676,0
INP,5,20250724,090000,7.3,7.3,7.3,7.3,400,0
INP,5,20250725,091000,7.25,7.25,7.25,7.25,2,0
INP,5,20250725,120000,7.1,7.1,7.1,7.1,3,0
INP,5,20250725,163000,7.1,7.1,7.1,7.1,500,0
INP,5,20250725,164500,7.25,7.25,7.25,7.25,1,0
INP,5,20250728,090000,7.25,7.25,7.25,7.25,3,0
INP,5,20250728,133000,7.1,7.25,7,7.25,2002,0
INP,5,20250728,141000,7.1,7.1,7.1,7.1,4,0
INP,5,20250728,155000,7,7,7,7,18,0
INP,5,20250728,162000,7.1,7.1,7.1,7.1,500,0
INP,5,20250729,090000,6.85,6.85,6.85,6.85,160,0
INP,5,20250729,091000,7.1,7.1,7.1,7.1,11,0
INP,5,20250729,100500,7.05,7.05,6.9,6.9,50,0
INP,5,20250729,101000,7.1,7.1,7.1,7.1,2,0
INP,5,20250729,110500,7.05,7.05,7.05,7.05,2,0
INP,5,20250730,090000,7.05,7.05,7.05,7.05,1,0
INP,5,20250730,135000,7.05,7.15,7.05,7.15,270,0
INP,5,20250731,090000,7.05,7.05,7.05,7.05,1,0
INP,5,20250731,091500,7.05,7.05,7.05,7.05,249,0
INP,5,20250731,100000,7.05,7.05,7,7,1051,0
INP,5,20250731,122500,6.95,6.95,6.95,6.95,108,0
INP,5,20250731,142000,7.05,7.1,7.05,7.1,500,0
INP,5,20250731,152500,7,7,7,7,125,0
INP,5,20250731,164000,7,7,7,7,10,0
INP,5,20250801,090000,7.05,7.05,7.05,7.05,1,0
INP,5,20250801,164000,7.05,7.1,7.05,7.1,1510,0
INP,5,20250801,164500,7.25,7.25,7.25,7.25,1,0
INP,5,20250804,090000,7.25,7.25,7.25,7.25,200,0
INP,5,20250804,091500,7.25,7.25,7.25,7.25,1800,0
INP,5,20250805,090000,7.1,7.1,7.1,7.1,1,0
INP,5,20250805,160000,7.1,7.1,7.1,7.1,100,0
INP,5,20250806,090500,7.1,7.1,7.1,7.1,1,0
INP,5,20250807,090000,7.1,7.1,7.1,7.1,1,0
INP,5,20250807,124000,7,7,7,7,100,0
INP,5,20250807,124500,7,7,7,7,400,0
INP,5,20250807,125000,7,7,6.95,6.95,320,0
INP,5,20250807,133000,7.1,7.1,7.1,7.1,3,0
INP,5,20250807,141500,7,7,7,7,100,0
INP,5,20250807,142500,7,7,7,7,2,0
INP,5,20250807,145000,7,7,6.95,7,140,0
INP,5,20250807,145500,6.95,6.95,6.95,6.95,100,0
INP,5,20250807,150000,6.95,6.95,6.95,6.95,78,0
INP,5,20250807,164500,7.1,7.1,7.1,7.1,1,0
INP,5,20250808,090000,7.1,7.1,7.1,7.1,5,0
INP,5,20250808,093000,6.85,6.85,6.85,6.85,412,0
INP,5,20250808,093500,7.1,7.1,7.1,7.1,1,0
INP,5,20250808,125500,7.05,7.05,7.05,7.05,2,0
INP,5,20250808,150500,7,7,7,7,37,0
INP,5,20250811,090000,7.1,7.1,7.1,7.1,2,0
INP,5,20250811,102500,7,7,7,7,400,0
INP,5,20250811,111500,7.1,7.1,7,7,117,0
INP,5,20250811,122000,7.1,7.1,7.1,7.1,250,0
INP,5,20250811,122500,7.1,7.1,7.1,7.1,304,0
INP,5,20250811,130500,7.1,7.1,6.95,6.95,500,0
INP,5,20250811,134500,7.1,7.1,7.1,7.1,30,0
INP,5,20250812,090000,7.1,7.1,7.1,7.1,1,0
INP,5,20250812,120000,7.05,7.05,7.05,7.05,85,0
INP,5,20250812,154000,6.95,6.95,6.95,6.95,1,0
INP,5,20250812,154500,6.95,6.95,6.95,6.95,2,0
INP,5,20250812,164500,7.05,7.05,7.05,7.05,1,0
INP,5,20250813,090000,7.05,7.05,7.05,7.05,1,0
INP,5,20250813,093000,7.05,7.05,7.05,7.05,10,0
INP,5,20250813,164000,7,7,7,7,15,0
INP,5,20250814,090000,7.05,7.05,7.05,7.05,2,0
INP,5,20250814,122000,6.95,6.95,6.9,6.9,774,0
INP,5,20250814,153000,7,7,7,7,143,0
INP,5,20250818,090000,7.1,7.1,7.1,7.1,2,0
INP,5,20250818,102000,6.9,6.9,6.9,6.9,92,0
INP,5,20250818,144000,7.1,7.1,7.1,7.1,2,0
INP,5,20250819,090000,7.1,7.1,7.1,7.1,2,0
INP,5,20250819,095000,7.1,7.1,7.1,7.1,34,0
INP,5,20250819,103500,7.1,7.1,7.1,7.1,10,0
INP,5,20250819,164500,6.9,7.05,6.9,7.05,8,0
INP,5,20250820,090000,7.05,7.05,7.05,7.05,2,0
INP,5,20250820,092000,6.9,6.9,6.9,6.9,1,0
INP,5,20250820,111000,6.9,6.9,6.9,6.9,62,0
INP,5,20250820,120000,6.9,6.9,6.8,6.8,2000,0
INP,5,20250820,164500,7,7.1,7,7.1,2,0
INP,5,20250821,090000,7.1,7.1,7.1,7.1,2,0
INP,5,20250821,094000,6.95,6.95,6.95,6.95,674,0
INP,5,20250821,165500,7.1,7.1,7.1,7.1,1,0
INP,5,20250822,091000,7,7,7,7,10,0
INP,5,20250825,090000,7.1,7.1,7.1,7.1,10,0
INP,5,20250825,094000,7,7,7,7,578,0
INP,5,20250825,164500,7.1,7.1,7.1,7.1,1,0
INP,5,20250826,090000,7.1,7.1,7.1,7.1,2,0
INP,5,20250826,110000,7.05,7.05,7.05,7.05,8,0
INP,5,20250827,090000,7.1,7.1,7.1,7.1,2,0
INP,5,20250828,090000,7.1,7.1,7.1,7.1,2,0
INP,5,20250828,111500,7,7,7,7,2,0
INP,5,20250828,115000,7,7,7,7,131,0
INP,5,20250828,124000,7.05,7.05,7.05,7.05,120,0
INP,5,20250829,090000,7.2,7.2,7.2,7.2,2,0
INP,5,20250901,090000,7.2,7.2,7.2,7.2,2,0
INP,5,20250901,162000,7.15,7.15,7.15,7.15,3,0
INP,5,20250902,090000,7.2,7.2,7.2,7.2,196,0
INP,5,20250902,090500,7.15,7.15,7.15,7.15,179,0
INP,5,20250902,112000,7.2,7.2,7.2,7.2,61,0
INP,5,20250902,112500,7.2,7.2,7.2,7.2,2,0
INP,5,20250902,141000,7.15,7.15,7.15,7.15,80,0
INP,5,20250902,145000,7.15,7.15,7.15,7.15,2,0
INP,5,20250902,150500,7.2,7.2,7.2,7.2,100,0
INP,5,20250902,151500,7.15,7.15,7.15,7.15,5,0
INP,5,20250902,162000,7.15,7.15,7.15,7.15,123,0
INP,5,20250903,090000,7.15,7.15,7.15,7.15,2,0
INP,5,20250903,091000,7,7,6.95,6.95,1360,0
INP,5,20250903,091500,6.95,6.95,6.95,6.95,550,0
INP,5,20250903,093000,7,7.05,7,7.05,297,0
INP,5,20250903,111500,6.9,6.9,6.75,6.75,809,0
INP,5,20250903,113000,6.75,6.75,6.75,6.75,255,0
INP,5,20250903,151000,7,7,7,7,60,0
INP,5,20250903,165500,7.15,7.15,7.15,7.15,1,0
INP,5,20250904,090000,7.15,7.15,7.15,7.15,74,0
INP,5,20250904,090500,7.15,7.15,7.15,7.15,65,0
INP,5,20250904,135000,7.15,7.15,7.15,7.15,2,0
INP,5,20250904,164500,7.25,7.25,7.25,7.25,1,0
INP,5,20250905,090000,7.25,7.25,7.25,7.25,2,0
INP,5,20250905,093000,7.15,7.15,7.15,7.15,1080,0
INP,5,20250905,124000,7.25,7.25,7.25,7.25,2,0
INP,5,20250908,090000,7.25,7.25,7.25,7.25,2,0
INP,5,20250908,093000,7.25,7.25,7.25,7.25,99,0
INP,5,20250908,104000,7.2,7.2,7.2,7.2,40,0
INP,5,20250908,132000,7.25,7.25,7.25,7.25,30,0
INP,5,20250908,144500,7.25,7.25,7.25,7.25,59,0
INP,5,20250908,150000,7.25,7.35,7.25,7.35,106,0
INP,5,20250908,151500,7.35,7.35,7.35,7.35,97,0
INP,5,20250909,091000,7.35,7.35,7.35,7.35,1,0
INP,5,20250909,093000,7.05,7.05,7.05,7.05,100,0
INP,5,20250909,113500,7.05,7.05,7.05,7.05,130,0
INP,5,20250909,123500,7.2,7.2,7.2,7.2,190,0
INP,5,20250909,124000,7.2,7.2,7.2,7.2,8,0
INP,5,20250909,162000,7.2,7.2,7.2,7.2,60,0
INP,5,20250909,164500,7.35,7.35,7.35,7.35,1,0
INP,5,20250910,090000,7.35,7.35,7.35,7.35,2,0
INP,5,20250910,095500,7.2,7.2,7.2,7.2,89,0
INP,5,20250910,102500,7.2,7.2,7.2,7.2,2,0
INP,5,20250910,104500,7.2,7.2,7.2,7.2,2,0
INP,5,20250910,161000,7.2,7.2,7.2,7.2,500,0
INP,5,20250910,164500,7.3,7.3,7.3,7.3,1,0
INP,5,20250911,090000,6.95,6.95,6.95,6.95,10,0
INP,5,20250911,121000,7.3,7.3,7.3,7.3,2,0
INP,5,20250912,090000,7,7,7,7,2,0
INP,5,20250912,104000,7.3,7.3,7.25,7.25,8,0
INP,5,20250912,160000,7.05,7.05,7.05,7.05,180,0
INP,5,20250912,164500,7.25,7.25,7.25,7.25,1,0
INP,5,20250915,090000,7.25,7.4,7.25,7.35,1420,0
INP,5,20250915,090500,7.35,7.5,7.35,7.4,504,0
INP,5,20250915,092000,7.55,7.55,7.4,7.4,1350,0
INP,5,20250915,092500,7.6,7.6,7.6,7.6,400,0
INP,5,20250915,093500,7.6,7.6,7.6,7.6,372,0
INP,5,20250915,094000,7.65,7.65,7.65,7.65,149,0
INP,5,20250915,100500,7.45,7.45,7.45,7.45,100,0
INP,5,20250915,101000,7.6,7.6,7.6,7.6,180,0
INP,5,20250915,102000,7.6,7.6,7.6,7.6,3,0
INP,5,20250915,104000,7.6,7.6,7.6,7.6,1019,0
INP,5,20250915,104500,7.6,7.6,7.5,7.5,150,0
INP,5,20250915,123500,7.6,7.65,7.6,7.65,870,0
INP,5,20250915,133500,7.65,7.65,7.65,7.65,200,0
INP,5,20250915,151000,7.65,7.65,7.65,7.65,13,0
INP,5,20250915,152000,7.65,7.65,7.65,7.65,2,0
INP,5,20250915,152500,7.65,7.65,7.65,7.65,30,0
INP,5,20250916,090000,7.6,7.6,7.6,7.6,50,0
INP,5,20250916,091000,7.5,7.5,7.5,7.5,45,0
INP,5,20250916,102500,7.55,7.55,7.5,7.5,769,0
INP,5,20250916,103000,7.45,7.45,7.45,7.45,270,0
INP,5,20250916,104000,7.55,7.55,7.55,7.55,285,0
INP,5,20250916,104500,7.6,7.6,7.6,7.6,4,0
INP,5,20250916,105000,7.6,7.6,7.6,7.6,7,0
INP,5,20250916,105500,7.6,7.6,7.6,7.6,5,0
INP,5,20250916,110500,7.6,7.6,7.6,7.6,10,0
INP,5,20250916,132000,7.6,7.6,7.6,7.6,50,0
INP,5,20250916,153000,7.6,7.6,7.55,7.55,150,0
INP,5,20250916,153500,7.6,7.6,7.6,7.6,3,0
INP,5,20250916,164500,7.6,7.6,7.6,7.6,500,0
INP,5,20250917,090000,7.6,7.6,7.6,7.6,223,0
INP,5,20250917,090500,7.65,7.65,7.65,7.65,2,0
INP,5,20250917,091000,7.65,7.65,7.65,7.65,102,0
INP,5,20250917,091500,7.7,7.7,7.7,7.7,100,0
INP,5,20250917,092000,7.7,7.7,7.7,7.7,69,0
INP,5,20250917,093000,7.75,7.75,7.75,7.75,10,0
INP,5,20250917,095000,7.75,7.75,7.75,7.75,4,0
INP,5,20250917,095500,7.75,7.75,7.75,7.75,1736,0
INP,5,20250917,100000,7.8,7.85,7.8,7.8,638,0
INP,5,20250917,104000,7.85,7.85,7.85,7.85,472,0
INP,5,20250917,110000,7.9,7.9,7.9,7.9,300,0
INP,5,20250917,111500,7.9,7.9,7.9,7.9,11,0
INP,5,20250917,113000,7.9,7.9,7.9,7.9,38,0
INP,5,20250917,120500,7.9,7.9,7.9,7.9,40,0
INP,5,20250917,122000,7.9,7.9,7.9,7.9,803,0
INP,5,20250917,123000,7.9,7.9,7.9,7.9,387,0
INP,5,20250917,123500,7.85,7.85,7.85,7.85,13,0
INP,5,20250917,130500,7.85,7.85,7.85,7.85,30,0
INP,5,20250917,131000,7.85,7.85,7.85,7.85,357,0
INP,5,20250917,132000,7.9,7.9,7.9,7.9,100,0
INP,5,20250917,133500,7.9,7.9,7.9,7.9,102,0
INP,5,20250917,134000,7.9,7.9,7.9,7.9,6,0
INP,5,20250917,144000,7.85,7.9,7.85,7.9,111,0
INP,5,20250917,150500,7.9,7.9,7.9,7.9,1000,0
INP,5,20250917,152500,7.9,7.9,7.85,7.9,9,0
INP,5,20250917,154500,7.9,7.9,7.9,7.9,45,0
INP,5,20250917,160500,7.9,7.9,7.9,7.9,500,0
INP,5,20250917,162500,7.85,7.85,7.85,7.85,25,0
INP,5,20250917,164000,7.9,7.9,7.9,7.9,200,0
INP,5,20250917,164500,7.9,7.9,7.9,7.9,100,0
INP,5,20250918,090000,7.9,7.9,7.9,7.9,1283,0
