<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPO,5,20250707,090000,0.377,0.377,0.377,0.377,50,0
IPO,5,20250707,095500,0.377,0.377,0.377,0.377,918,0
IPO,5,20250707,134000,0.377,0.377,0.377,0.377,11100,0
IPO,5,20250707,163000,0.385,0.385,0.385,0.385,100,0
IPO,5,20250707,164500,0.384,0.384,0.384,0.384,900,0
IPO,5,20250708,090000,0.377,0.377,0.377,0.377,1,0
IPO,5,20250708,110500,0.377,0.377,0.377,0.377,350,0
IPO,5,20250708,121500,0.37,0.37,0.37,0.37,10000,0
IPO,5,20250708,134500,0.376,0.376,0.376,0.376,750,0
IPO,5,20250708,144500,0.371,0.371,0.371,0.371,34,0
IPO,5,20250708,154000,0.371,0.371,0.371,0.371,1966,0
IPO,5,20250708,155000,0.371,0.371,0.371,0.371,1500,0
IPO,5,20250708,160500,0.371,0.371,0.371,0.371,1314,0
IPO,5,20250709,090000,0.376,0.376,0.376,0.376,1,0
IPO,5,20250709,113000,0.375,0.375,0.375,0.375,340,0
IPO,5,20250709,151500,0.371,0.371,0.37,0.37,3131,0
IPO,5,20250709,164500,0.37,0.37,0.37,0.37,471,0
IPO,5,20250710,090000,0.375,0.375,0.375,0.375,1,0
IPO,5,20250710,101000,0.37,0.37,0.37,0.37,29,0
IPO,5,20250710,112500,0.375,0.376,0.375,0.376,1100,0
IPO,5,20250710,120500,0.376,0.38,0.376,0.38,1459,0
IPO,5,20250710,121500,0.38,0.38,0.38,0.38,541,0
IPO,5,20250710,144000,0.385,0.386,0.385,0.386,7500,0
IPO,5,20250710,154000,0.386,0.39,0.386,0.39,1000,0
IPO,5,20250710,162000,0.373,0.373,0.373,0.373,73,0
IPO,5,20250710,163500,0.38,0.38,0.38,0.38,1000,0
IPO,5,20250711,090000,0.38,0.38,0.38,0.38,1,0
IPO,5,20250711,122500,0.378,0.388,0.378,0.388,150,0
IPO,5,20250711,124000,0.38,0.38,0.38,0.38,200,0
IPO,5,20250711,141000,0.38,0.38,0.38,0.38,200,0
IPO,5,20250711,144500,0.38,0.38,0.38,0.38,1900,0
IPO,5,20250711,145000,0.38,0.38,0.38,0.38,1000,0
IPO,5,20250711,152000,0.38,0.38,0.38,0.38,1000,0
IPO,5,20250711,164500,0.37,0.37,0.37,0.37,51,0
IPO,5,20250714,090000,0.38,0.38,0.38,0.38,93,0
IPO,5,20250714,105500,0.381,0.381,0.38,0.38,1020,0
IPO,5,20250714,121000,0.38,0.38,0.38,0.38,118,0
IPO,5,20250714,122000,0.38,0.38,0.38,0.38,770,0
IPO,5,20250714,140000,0.373,0.373,0.362,0.362,12219,0
IPO,5,20250714,144500,0.37,0.37,0.37,0.37,1000,0
IPO,5,20250715,090000,0.38,0.38,0.38,0.38,1,0
IPO,5,20250715,091500,0.375,0.375,0.375,0.375,70,0
IPO,5,20250715,100500,0.375,0.375,0.375,0.375,230,0
IPO,5,20250715,151000,0.37,0.37,0.37,0.37,5307,0
IPO,5,20250715,154500,0.368,0.368,0.368,0.368,62,0
IPO,5,20250715,164500,0.37,0.37,0.37,0.37,168,0
IPO,5,20250716,090000,0.37,0.37,0.37,0.37,1,0
IPO,5,20250716,131500,0.368,0.368,0.368,0.368,50,0
IPO,5,20250717,090000,0.37,0.37,0.37,0.37,1,0
IPO,5,20250717,091000,0.37,0.37,0.37,0.37,10000,0
IPO,5,20250717,113000,0.369,0.369,0.369,0.369,1000,0
IPO,5,20250717,122500,0.37,0.37,0.37,0.37,1000,0
IPO,5,20250717,133000,0.37,0.37,0.37,0.37,550,0
IPO,5,20250717,144000,0.368,0.368,0.368,0.368,50,0
IPO,5,20250717,144500,0.37,0.37,0.37,0.37,129,0
IPO,5,20250717,151500,0.37,0.37,0.37,0.37,2500,0
IPO,5,20250717,152000,0.368,0.368,0.362,0.362,8000,0
IPO,5,20250718,090000,0.37,0.37,0.369,0.369,31,0
IPO,5,20250718,090500,0.369,0.369,0.369,0.369,2000,0
IPO,5,20250718,113500,0.365,0.365,0.365,0.365,875,0
IPO,5,20250718,120500,0.365,0.365,0.364,0.364,118,0
IPO,5,20250718,155000,0.365,0.365,0.362,0.362,2000,0
IPO,5,20250721,090000,0.362,0.362,0.362,0.362,150,0
IPO,5,20250721,091000,0.362,0.362,0.362,0.362,2728,0
IPO,5,20250721,101500,0.362,0.362,0.362,0.362,10000,0
IPO,5,20250721,104000,0.362,0.362,0.362,0.362,250,0
IPO,5,20250721,112500,0.362,0.362,0.362,0.362,258,0
IPO,5,20250721,114500,0.362,0.362,0.36,0.36,7334,0
IPO,5,20250721,124000,0.364,0.364,0.364,0.364,1000,0
IPO,5,20250721,130000,0.364,0.364,0.364,0.364,1700,0
IPO,5,20250721,151000,0.364,0.364,0.364,0.364,50,0
IPO,5,20250721,155000,0.364,0.364,0.364,0.364,457,0
IPO,5,20250721,161000,0.364,0.364,0.364,0.364,250,0
IPO,5,20250721,163500,0.364,0.364,0.364,0.364,293,0
IPO,5,20250722,090000,0.364,0.364,0.36,0.36,4379,0
IPO,5,20250722,092000,0.364,0.364,0.364,0.364,100,0
IPO,5,20250722,095500,0.359,0.359,0.359,0.359,41,0
IPO,5,20250722,122500,0.36,0.36,0.359,0.359,20959,0
IPO,5,20250722,123500,0.359,0.359,0.359,0.359,41,0
IPO,5,20250722,154000,0.364,0.369,0.364,0.369,2000,0
IPO,5,20250722,163000,0.368,0.368,0.368,0.368,2000,0
IPO,5,20250723,090000,0.369,0.369,0.369,0.369,1,0
IPO,5,20250723,102000,0.369,0.369,0.369,0.369,600,0
IPO,5,20250723,123000,0.362,0.362,0.36,0.36,180,0
IPO,5,20250723,123500,0.36,0.36,0.36,0.36,118,0
IPO,5,20250723,133000,0.36,0.36,0.36,0.36,1,0
IPO,5,20250723,145500,0.36,0.36,0.36,0.36,4788,0
IPO,5,20250723,161000,0.369,0.369,0.369,0.369,235,0
IPO,5,20250723,161500,0.37,0.37,0.37,0.37,2645,0
IPO,5,20250723,163000,0.371,0.371,0.371,0.371,3000,0
IPO,5,20250723,163500,0.371,0.376,0.371,0.376,7120,0
