<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLK,5,20250707,090500,1.75,1.75,1.725,1.725,1800,0
MLK,5,20250707,093500,1.73,1.73,1.73,1.73,976,0
MLK,5,20250707,140500,1.795,1.8,1.795,1.8,2010,0
MLK,5,20250707,160500,1.78,1.78,1.78,1.78,20,0
MLK,5,20250707,164500,1.78,1.78,1.78,1.78,56,0
MLK,5,20250708,090000,1.69,1.69,1.69,1.69,6000,0
MLK,5,20250708,091500,1.705,1.705,1.705,1.705,24,0
MLK,5,20250708,094500,1.715,1.715,1.71,1.71,2150,0
MLK,5,20250708,095000,1.71,1.71,1.71,1.71,2850,0
MLK,5,20250708,111500,1.725,1.725,1.71,1.71,12210,0
MLK,5,20250708,113000,1.705,1.705,1.705,1.705,153,0
MLK,5,20250708,113500,1.71,1.71,1.71,1.71,1000,0
MLK,5,20250708,114500,1.71,1.71,1.71,1.71,884,0
MLK,5,20250708,150500,1.74,1.74,1.74,1.74,100,0
MLK,5,20250708,151000,1.71,1.71,1.7,1.7,3831,0
MLK,5,20250708,153000,1.71,1.71,1.71,1.71,10,0
MLK,5,20250708,154000,1.71,1.71,1.71,1.71,1340,0
MLK,5,20250708,163500,1.71,1.71,1.71,1.71,1000,0
MLK,5,20250708,164000,1.71,1.71,1.71,1.71,1519,0
MLK,5,20250708,164500,1.705,1.74,1.7,1.7,1027,0
MLK,5,20250709,090000,1.7,1.7,1.7,1.7,106,0
MLK,5,20250709,092500,1.735,1.735,1.735,1.735,50,0
MLK,5,20250709,093000,1.735,1.74,1.735,1.74,1041,0
MLK,5,20250709,093500,1.79,1.815,1.79,1.815,42,0
MLK,5,20250709,094000,1.84,1.87,1.82,1.87,1872,0
MLK,5,20250709,095000,1.875,1.915,1.875,1.915,4173,0
MLK,5,20250709,095500,1.945,1.95,1.945,1.95,11643,0
MLK,5,20250709,100000,1.87,1.87,1.85,1.86,1128,0
MLK,5,20250709,100500,1.94,1.95,1.92,1.95,4860,0
MLK,5,20250709,101000,1.94,1.955,1.94,1.95,7176,0
MLK,5,20250709,101500,1.96,2,1.96,2,7876,0
MLK,5,20250709,103000,1.925,1.925,1.925,1.925,11,0
MLK,5,20250709,104000,1.925,1.925,1.925,1.925,127,0
MLK,5,20250709,104500,1.925,1.94,1.925,1.94,1020,0
MLK,5,20250709,105000,1.94,1.995,1.94,1.995,13067,0
MLK,5,20250709,105500,2,2,2,2,624,0
MLK,5,20250709,111500,1.965,1.965,1.965,1.965,7,0
MLK,5,20250709,112000,1.925,1.925,1.925,1.925,240,0
MLK,5,20250709,113000,1.925,1.925,1.925,1.925,6,0
MLK,5,20250709,114000,1.925,1.925,1.925,1.925,9,0
MLK,5,20250709,114500,1.95,1.95,1.95,1.95,200,0
MLK,5,20250709,115000,1.95,1.95,1.95,1.95,300,0
MLK,5,20250709,120000,1.95,1.95,1.95,1.95,300,0
MLK,5,20250709,121000,1.96,1.96,1.96,1.96,28,0
MLK,5,20250709,121500,1.925,1.955,1.925,1.955,63,0
MLK,5,20250709,122000,1.955,1.955,1.92,1.92,2045,0
MLK,5,20250709,123000,1.9,1.9,1.9,1.9,1134,0
