<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXC,5,20250707,090000,6.74,6.74,6.74,6.74,10,0
MXC,5,20250707,091500,6.74,6.94,6.74,6.94,121,0
MXC,5,20250707,100000,6.78,6.78,6.78,6.78,10,0
MXC,5,20250707,102000,6.68,6.7,6.68,6.7,3,0
MXC,5,20250707,124500,6.72,6.72,6.68,6.68,5,0
MXC,5,20250707,125000,6.66,6.66,6.66,6.66,5,0
MXC,5,20250707,125500,6.66,6.66,6.66,6.66,2,0
MXC,5,20250707,141000,6.64,6.66,6.54,6.66,1246,0
MXC,5,20250707,164500,6.62,6.62,6.62,6.62,2,0
MXC,5,20250708,090000,6.64,6.64,6.64,6.64,10,0
MXC,5,20250708,090500,6.6,6.6,6.3,6.3,150,0
MXC,5,20250708,095500,6.56,6.56,6.56,6.56,2,0
MXC,5,20250708,110000,6.56,6.58,6.56,6.58,283,0
MXC,5,20250708,111000,6.58,6.58,6.58,6.58,6,0
MXC,5,20250708,113000,6.58,6.58,6.58,6.58,2,0
MXC,5,20250708,113500,6.58,6.58,6.58,6.58,2,0
MXC,5,20250708,115000,6.58,6.58,6.58,6.58,2,0
MXC,5,20250708,125500,6.58,6.58,6.58,6.58,2,0
MXC,5,20250708,140000,6.58,6.58,6.58,6.58,2,0
MXC,5,20250708,151500,6.58,6.58,6.58,6.58,1,0
MXC,5,20250709,090000,6.58,6.6,6.58,6.6,8,0
MXC,5,20250709,113000,6.5,6.5,6.5,6.5,222,0
MXC,5,20250709,113500,6.58,6.62,6.58,6.6,911,0
MXC,5,20250709,164500,6.62,6.62,6.62,6.62,2,0
MXC,5,20250710,090000,6.6,6.6,6.6,6.6,258,0
MXC,5,20250710,102000,6.54,6.54,6.52,6.52,24,0
MXC,5,20250710,125000,6.6,6.6,6.6,6.6,250,0
MXC,5,20250710,164500,6.58,6.58,6.58,6.58,2,0
MXC,5,20250711,090000,6.62,6.62,6.62,6.62,10,0
MXC,5,20250711,121500,6.52,6.54,6.52,6.54,300,0
MXC,5,20250711,153000,6.62,6.62,6.62,6.62,100,0
MXC,5,20250711,161000,6.64,6.64,6.64,6.64,20,0
MXC,5,20250711,164500,6.62,6.62,6.62,6.62,2,0
