<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVT,5,20250707,090000,95.4,95.4,95.4,95.4,1,0
NVT,5,20250707,091000,95.4,95.6,95.4,95.6,20,0
NVT,5,20250707,104000,95.6,95.6,95.6,95.6,15,0
NVT,5,20250707,120500,94.2,94.2,93.2,93.2,78,0
NVT,5,20250707,143000,95,95,95,95,25,0
NVT,5,20250708,112500,95.6,95.6,95.6,95.6,2,0
NVT,5,20250708,141500,95,95,95,95,1,0
NVT,5,20250708,150000,95.6,95.6,95.6,95.6,1,0
NVT,5,20250709,105500,95.6,95.6,95.6,95.6,5,0
NVT,5,20250709,122500,95,95,95,95,10,0
NVT,5,20250709,160000,95,95,95,95,10,0
NVT,5,20250710,090000,95.8,95.8,95.8,95.8,30,0
NVT,5,20250710,093500,95.8,96,95.8,96,3,0
NVT,5,20250710,160500,95.8,95.8,95.8,95.8,5,0
NVT,5,20250710,163000,95.8,95.8,95.8,95.8,25,0
NVT,5,20250710,163500,95.8,95.8,95.8,95.8,75,0
NVT,5,20250711,090000,95.2,95.2,95.2,95.2,6,0
NVT,5,20250711,090500,95.2,95.2,95.2,95.2,14,0
NVT,5,20250711,095000,95.2,95.2,95.2,95.2,31,0
NVT,5,20250711,102500,95,95,95,95,10,0
NVT,5,20250711,115500,94.8,96,94.8,96,100,0
NVT,5,20250711,123500,94.6,94.6,94.6,94.6,5,0
NVT,5,20250711,150000,95,95,95,95,25,0
NVT,5,20250711,163000,94.2,94.2,94.2,94.2,5,0
NVT,5,20250714,090000,94.8,94.8,94.8,94.8,40,0
NVT,5,20250714,103000,94.8,94.8,94.8,94.8,10,0
NVT,5,20250714,114000,94.8,94.8,94.8,94.8,35,0
NVT,5,20250714,115500,95,95,95,95,75,0
NVT,5,20250714,123500,95.8,95.8,95.8,95.8,1,0
NVT,5,20250715,090000,94.4,94.4,94.2,94.2,20,0
NVT,5,20250715,113000,94.4,94.4,94.4,94.4,2,0
NVT,5,20250715,141500,95.6,95.6,95.6,95.6,1,0
NVT,5,20250716,100000,95.6,95.6,95.6,95.6,4,0
NVT,5,20250716,100500,95.6,95.6,95.6,95.6,36,0
NVT,5,20250716,102500,95.4,95.4,95.4,95.4,46,0
