<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ODL,5,20250707,090000,9.2,9.2,9.1,9.1,114,0
ODL,5,20250707,090500,9.2,9.2,9.2,9.2,5,0
ODL,5,20250707,095000,9.1,9.1,9.1,9.1,109,0
ODL,5,20250707,095500,9.1,9.1,9.1,9.1,8,0
ODL,5,20250707,101000,9.2,9.2,9.2,9.2,2,0
ODL,5,20250707,102000,9.1,9.1,9.1,9.1,330,0
ODL,5,20250707,103500,9.2,9.2,9.2,9.2,5,0
ODL,5,20250707,111500,9.1,9.1,9.1,9.1,6,0
ODL,5,20250707,121500,9.2,9.2,9.2,9.2,9,0
ODL,5,20250707,122500,9.22,9.22,9.22,9.22,2,0
ODL,5,20250707,123000,9.2,9.2,9.2,9.2,1,0
ODL,5,20250707,132500,9.1,9.1,9.1,9.1,27,0
ODL,5,20250707,133500,9.1,9.1,9.1,9.1,5,0
ODL,5,20250707,134000,9.1,9.1,9.1,9.1,40,0
ODL,5,20250707,141000,9.2,9.22,9.2,9.22,2,0
ODL,5,20250707,150000,9.2,9.2,9.2,9.2,6,0
ODL,5,20250708,090000,9.1,9.1,9.1,9.1,5,0
ODL,5,20250708,094000,9.1,9.1,9.06,9.06,97,0
ODL,5,20250708,120000,9.08,9.08,9.06,9.06,75,0
ODL,5,20250708,142500,9.08,9.08,9.06,9.06,45,0
ODL,5,20250708,151000,9.1,9.1,9.1,9.1,2,0
ODL,5,20250708,160500,9.1,9.1,9.1,9.1,10,0
ODL,5,20250708,163000,9.06,9.06,9.06,9.06,6,0
ODL,5,20250709,100000,9.18,9.18,9.18,9.18,1,0
ODL,5,20250709,102000,9.18,9.18,9.18,9.18,10,0
ODL,5,20250709,122000,9.04,9.04,9.04,9.04,350,0
ODL,5,20250709,125000,9.04,9.04,9.04,9.04,100,0
ODL,5,20250709,142000,9.18,9.18,9.18,9.18,32,0
ODL,5,20250709,163000,9.18,9.18,9.18,9.18,10,0
ODL,5,20250710,090000,9.18,9.18,9.18,9.18,10,0
ODL,5,20250710,091500,9.18,9.18,9.18,9.18,3,0
ODL,5,20250710,105500,9.18,9.18,9.18,9.18,2,0
ODL,5,20250710,130500,9.12,9.18,9.12,9.18,21,0
ODL,5,20250710,164500,9.04,9.18,9.04,9.18,104,0
ODL,5,20250711,090000,9.04,9.04,9.04,9.04,185,0
ODL,5,20250711,091500,9.04,9.04,9.04,9.04,1000,0
ODL,5,20250711,122500,9.02,9.04,9.02,9.04,1000,0
ODL,5,20250711,133500,9.02,9.02,9.02,9.02,444,0
ODL,5,20250711,140000,9.16,9.16,9.16,9.16,7,0
ODL,5,20250711,143500,9.04,9.04,9.04,9.04,5,0
ODL,5,20250711,144500,9.04,9.04,9.04,9.04,40,0
ODL,5,20250714,090000,9.16,9.16,9.16,9.16,104,0
ODL,5,20250714,092000,9.04,9.04,9.04,9.04,41,0
ODL,5,20250714,105000,9.16,9.16,9.16,9.16,110,0
ODL,5,20250714,120500,9.16,9.16,9.16,9.16,37,0
ODL,5,20250714,121000,9.16,9.16,9.16,9.16,4,0
ODL,5,20250714,121500,9.16,9.16,9.16,9.16,7,0
ODL,5,20250714,130500,9.04,9.04,9.04,9.04,53,0
ODL,5,20250714,131500,9.04,9.04,9.04,9.04,280,0
ODL,5,20250714,144000,9.06,9.06,9.06,9.06,20,0
ODL,5,20250714,145000,9.06,9.06,9.06,9.06,2,0
ODL,5,20250714,152000,9.06,9.06,9.06,9.06,7,0
ODL,5,20250714,154000,9.08,9.08,9.08,9.08,6,0
ODL,5,20250714,160000,9.08,9.08,9.08,9.08,56,0
ODL,5,20250714,161500,9.06,9.06,9.06,9.06,12,0
ODL,5,20250715,090000,9.04,9.04,9.04,9.04,25,0
ODL,5,20250715,092000,9.16,9.16,9.16,9.16,13,0
ODL,5,20250715,105500,9.04,9.04,9.04,9.04,4,0
ODL,5,20250715,153000,9.14,9.16,9.14,9.16,6,0
ODL,5,20250716,090000,9.16,9.16,9.16,9.16,10,0
ODL,5,20250716,091000,9.16,9.16,9.16,9.16,1726,0
ODL,5,20250716,091500,9.16,9.16,9.16,9.16,274,0
ODL,5,20250716,092000,9.16,9.16,9.16,9.16,911,0
ODL,5,20250716,093000,9.18,9.18,9.18,9.18,2,0
ODL,5,20250716,095000,9.18,9.18,9.18,9.18,90,0
ODL,5,20250716,115500,9.18,9.18,9.18,9.18,456,0
