<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OTM,5,20250707,090000,5.22,5.22,5.22,5.22,5,0
OTM,5,20250707,114000,5.22,5.22,5.22,5.22,20,0
OTM,5,20250708,090000,5.28,5.28,5.28,5.28,3,0
OTM,5,20250708,155500,5.22,5.22,5.22,5.22,26,0
OTM,5,20250709,090000,5.28,5.28,5.28,5.28,3,0
OTM,5,20250709,093000,5.22,5.22,5.22,5.22,5,0
OTM,5,20250709,135000,5.1,5.1,5.1,5.1,198,0
OTM,5,20250709,140500,5.1,5.1,5.1,5.1,352,0
OTM,5,20250710,090000,5.2,5.2,5.2,5.2,3,0
OTM,5,20250710,124500,5.1,5.1,5.1,5.1,10,0
OTM,5,20250710,125500,5.2,5.2,5.2,5.2,928,0
OTM,5,20250711,090000,5.2,5.2,5.2,5.2,3,0
OTM,5,20250711,090500,5.2,5.2,5.2,5.2,6,0
OTM,5,20250711,093500,5.2,5.2,5.2,5.2,861,0
OTM,5,20250711,115500,5.28,5.28,5.28,5.28,120,0
OTM,5,20250711,144000,5.16,5.16,5.16,5.16,2,0
OTM,5,20250714,090000,5.16,5.16,5.16,5.16,48,0
OTM,5,20250714,143500,5.28,5.28,5.28,5.28,4,0
OTM,5,20250715,090000,5.28,5.28,5.28,5.28,3,0
OTM,5,20250715,093000,5.28,5.28,5.28,5.28,12,0
OTM,5,20250715,094500,5.1,5.1,5.1,5.1,70,0
OTM,5,20250715,104500,5.28,5.28,5.28,5.28,20,0
OTM,5,20250715,160000,5.1,5.1,5.1,5.1,1134,0
OTM,5,20250716,090000,5.1,5.1,5.1,5.1,3,0
OTM,5,20250716,100000,5.28,5.28,5.28,5.28,4,0
OTM,5,20250716,125000,5.28,5.28,5.28,5.28,1000,0
OTM,5,20250717,090000,5.26,5.26,5.26,5.26,3,0
OTM,5,20250717,115000,5.1,5.1,5.1,5.1,550,0
OTM,5,20250717,124500,5.26,5.26,5.26,5.26,1,0
OTM,5,20250718,090000,5.26,5.26,5.26,5.26,3,0
OTM,5,20250718,094000,5.26,5.26,5.26,5.26,120,0
OTM,5,20250718,101500,5.1,5.1,5.1,5.1,5,0
OTM,5,20250718,141500,5.26,5.26,5.26,5.26,592,0
OTM,5,20250718,162000,5.26,5.26,5.26,5.26,50,0
OTM,5,20250721,090000,5.26,5.26,5.26,5.26,3,0
OTM,5,20250721,144000,5.16,5.16,5.16,5.16,1000,0
OTM,5,20250722,090000,5.26,5.26,5.26,5.26,3,0
OTM,5,20250722,111000,5.12,5.12,5.04,5.04,1590,0
OTM,5,20250722,115500,5.26,5.26,5.26,5.26,1,0
OTM,5,20250722,124500,5.26,5.26,5.26,5.26,13,0
OTM,5,20250723,090000,5.26,5.26,5.26,5.26,3,0
OTM,5,20250723,093500,5.1,5.1,5.1,5.1,13,0
OTM,5,20250723,103000,5.1,5.1,5.1,5.1,32,0
OTM,5,20250723,144500,5.26,5.26,5.26,5.26,1,0
OTM,5,20250723,152500,5.1,5.1,5.1,5.1,400,0
OTM,5,20250723,164000,5.26,5.26,5.26,5.26,2,0
OTM,5,20250724,090000,5.04,5.04,5.04,5.04,20,0
OTM,5,20250724,102000,5.26,5.26,5.26,5.26,10,0
OTM,5,20250725,090000,5.26,5.26,5.26,5.26,3,0
OTM,5,20250725,110500,5.08,5.08,5.04,5.04,876,0
OTM,5,20250725,151500,5.24,5.24,5.24,5.24,1,0
OTM,5,20250725,162500,5.12,5.12,5.08,5.08,563,0
OTM,5,20250728,090000,5.08,5.08,5.08,5.08,3,0
OTM,5,20250728,113500,5.08,5.08,5.08,5.08,142,0
OTM,5,20250728,114500,5.04,5.04,5.04,5.04,276,0
OTM,5,20250729,090000,5.04,5.04,5.04,5.04,3,0
OTM,5,20250729,113000,5.04,5.04,5.04,5.04,31,0
OTM,5,20250730,090000,5.06,5.06,5.06,5.06,3,0
OTM,5,20250731,090000,5.08,5.08,5.08,5.08,3,0
OTM,5,20250731,091500,5.08,5.08,5.08,5.08,2,0
OTM,5,20250801,090000,5.08,5.08,5.08,5.08,1,0
OTM,5,20250801,122500,5.08,5.08,5.08,5.08,50,0
OTM,5,20250804,090000,5.08,5.08,5.08,5.08,1,0
OTM,5,20250804,102000,5.08,5.08,5.06,5.06,100,0
OTM,5,20250804,111000,5.06,5.06,5.06,5.06,7,0
OTM,5,20250805,090000,5.06,5.06,5.06,5.06,2,0
OTM,5,20250805,092000,5.18,5.18,5.18,5.18,2,0
OTM,5,20250806,090000,5.18,5.18,5.18,5.18,1,0
OTM,5,20250806,104500,5.06,5.06,5.04,5.04,1000,0
OTM,5,20250806,163000,5.02,5.02,5.02,5.02,4,0
OTM,5,20250807,090000,5.02,5.02,5.02,5.02,1,0
OTM,5,20250807,114000,5.02,5.02,5.02,5.02,60,0
OTM,5,20250807,122500,5.02,5.02,5,5,500,0
OTM,5,20250807,130500,5,5,5,5,300,0
OTM,5,20250807,134500,5,5,5,5,56,0
OTM,5,20250808,090000,5.18,5.18,5.18,5.18,2,0
OTM,5,20250811,090000,5.18,5.18,5.18,5.18,1,0
OTM,5,20250811,111500,5.02,5.02,5.02,5.02,5,0
OTM,5,20250812,090000,5.06,5.06,5.06,5.06,1,0
OTM,5,20250812,103500,5.06,5.06,5.06,5.06,6,0
OTM,5,20250812,124500,5.06,5.06,5.06,5.06,1,0
OTM,5,20250813,090000,5.06,5.06,5.06,5.06,1,0
OTM,5,20250813,155500,5.06,5.06,5.06,5.06,300,0
OTM,5,20250814,090000,5.06,5.06,5.06,5.06,1,0
OTM,5,20250814,090500,5.06,5.06,5.06,5.06,4,0
OTM,5,20250814,095000,5.08,5.16,5.08,5.16,55,0
OTM,5,20250814,114000,5.18,5.26,5.18,5.26,5000,0
OTM,5,20250814,120500,5.16,5.16,5.16,5.16,1,0
OTM,5,20250814,140000,5.16,5.16,5.12,5.12,10,0
OTM,5,20250818,090000,5.2,5.2,5.2,5.2,2,0
OTM,5,20250818,100500,5.2,5.36,5.2,5.26,1988,0
OTM,5,20250818,105000,5.68,5.68,5.68,5.68,411,0
OTM,5,20250818,110000,5.68,5.68,5.68,5.68,589,0
OTM,5,20250818,112000,5.5,5.5,5.5,5.5,1,0
OTM,5,20250818,114000,5.5,5.68,5.5,5.68,300,0
OTM,5,20250818,120000,5.52,5.52,5.52,5.52,5,0
OTM,5,20250818,122500,5.52,5.52,5.52,5.52,14,0
OTM,5,20250818,123000,5.5,5.5,5.5,5.5,100,0
OTM,5,20250818,124000,5.5,5.5,5.5,5.5,254,0
OTM,5,20250818,130000,5.5,5.5,5.5,5.5,500,0
OTM,5,20250818,130500,5.5,5.5,5.5,5.5,436,0
OTM,5,20250818,133500,5.5,5.5,5.5,5.5,300,0
OTM,5,20250818,134000,5.5,5.5,5.5,5.5,20,0
OTM,5,20250818,135500,5.36,5.36,5.36,5.36,8,0
OTM,5,20250819,090000,5.4,5.4,5.4,5.4,1,0
OTM,5,20250819,093500,5.5,5.5,5.5,5.5,332,0
OTM,5,20250819,094500,5.5,5.5,5.5,5.5,400,0
OTM,5,20250819,113500,5.4,5.4,5.4,5.4,50,0
OTM,5,20250819,122500,5.4,5.4,5.4,5.4,1203,0
OTM,5,20250819,125000,5.4,5.4,5.4,5.4,748,0
OTM,5,20250819,132500,5.26,5.26,5.26,5.26,10,0
OTM,5,20250820,090000,5.34,5.34,5.34,5.34,1,0
OTM,5,20250820,113000,5.34,5.34,5.34,5.34,77,0
OTM,5,20250820,125500,5.36,5.36,5.36,5.36,1031,0
OTM,5,20250820,132000,5.34,5.34,5.34,5.34,123,0
OTM,5,20250820,142500,5.2,5.2,5.18,5.18,250,0
OTM,5,20250820,163500,5.16,5.16,5.16,5.16,3,0
OTM,5,20250821,090000,5.48,5.48,5.48,5.48,2,0
OTM,5,20250821,123000,5.38,5.38,5.38,5.38,11395,0
OTM,5,20250821,133500,5.44,5.44,5.44,5.44,250,0
OTM,5,20250822,090000,5.48,5.48,5.48,5.48,1,0
OTM,5,20250822,102000,5.44,5.44,5.44,5.44,29,0
OTM,5,20250822,151000,5.34,5.34,5.34,5.34,1,0
OTM,5,20250822,164500,5.34,5.34,5.34,5.34,470,0
OTM,5,20250825,090000,5.44,5.44,5.44,5.44,1,0
OTM,5,20250826,090000,5.44,5.44,5.44,5.44,1,0
OTM,5,20250826,113500,5.34,5.34,5.34,5.34,5,0
OTM,5,20250826,151000,5.44,5.44,5.44,5.44,181,0
OTM,5,20250827,090000,5.46,5.46,5.46,5.46,1,0
OTM,5,20250827,093500,5.46,5.48,5.46,5.48,185,0
OTM,5,20250828,090000,5.5,5.5,5.5,5.5,1,0
OTM,5,20250828,121000,5.48,5.48,5.48,5.48,314,0
OTM,5,20250829,090000,5.5,5.5,5.5,5.5,999,0
OTM,5,20250829,094000,5.56,5.7,5.56,5.7,1548,0
OTM,5,20250829,095000,5.5,5.5,5.5,5.5,5,0
OTM,5,20250829,132500,5.7,5.7,5.7,5.7,36,0
OTM,5,20250901,090000,5.7,5.7,5.7,5.7,8,0
OTM,5,20250901,093500,5.7,5.7,5.7,5.7,209,0
OTM,5,20250901,105000,5.7,5.7,5.7,5.7,36,0
OTM,5,20250901,113500,5.7,5.7,5.7,5.7,500,0
OTM,5,20250901,164000,5.78,5.78,5.78,5.78,15,0
OTM,5,20250902,090000,5.76,5.76,5.76,5.76,1,0
OTM,5,20250902,100500,5.72,5.74,5.72,5.74,676,0
OTM,5,20250902,101500,5.74,5.74,5.74,5.74,50,0
OTM,5,20250902,111000,5.74,5.74,5.74,5.74,5,0
OTM,5,20250902,144500,5.74,5.74,5.74,5.74,440,0
OTM,5,20250902,152000,5.74,5.74,5.74,5.74,40,0
OTM,5,20250903,090000,5.74,5.74,5.74,5.74,1,0
OTM,5,20250903,102500,5.6,5.6,5.6,5.6,5,0
OTM,5,20250903,105000,5.74,5.74,5.74,5.74,481,0
OTM,5,20250903,144500,5.7,5.7,5.7,5.7,100,0
OTM,5,20250904,090000,5.7,5.7,5.7,5.7,10,0
OTM,5,20250904,094500,5.7,5.7,5.7,5.7,27,0
OTM,5,20250904,110500,5.62,5.62,5.62,5.62,2,0
OTM,5,20250904,111500,5.62,5.62,5.62,5.62,198,0
OTM,5,20250904,123000,5.62,5.62,5.54,5.54,300,0
OTM,5,20250904,141500,5.6,5.6,5.6,5.6,40,0
OTM,5,20250904,142000,5.6,5.6,5.6,5.6,121,0
OTM,5,20250904,143500,5.7,5.7,5.7,5.7,10,0
OTM,5,20250905,090000,5.76,5.76,5.76,5.76,1,0
OTM,5,20250908,090000,5.62,5.62,5.62,5.62,49,0
OTM,5,20250908,112500,5.76,5.76,5.76,5.76,2,0
OTM,5,20250908,113500,5.76,5.76,5.76,5.76,44,0
OTM,5,20250908,114500,5.8,5.8,5.8,5.8,1,0
OTM,5,20250908,121500,5.8,5.8,5.8,5.8,40,0
OTM,5,20250908,133500,5.78,5.78,5.78,5.78,500,0
OTM,5,20250908,134500,5.78,5.78,5.78,5.78,50,0
OTM,5,20250908,162500,5.66,5.66,5.66,5.66,33,0
OTM,5,20250908,163500,5.66,5.78,5.66,5.78,265,0
OTM,5,20250909,090000,5.84,5.84,5.84,5.84,2,0
OTM,5,20250909,164500,5.84,5.84,5.84,5.84,298,0
