<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCX,5,20250707,090000,2.67,2.7,2.67,2.7,5,0
PCX,5,20250707,092500,2.7,2.7,2.7,2.7,112,0
PCX,5,20250707,093500,2.7,2.7,2.7,2.7,202,0
PCX,5,20250707,113000,2.71,2.71,2.71,2.71,4,0
PCX,5,20250707,114000,2.7,2.7,2.7,2.7,82,0
PCX,5,20250707,114500,2.71,2.71,2.71,2.71,617,0
PCX,5,20250707,115000,2.7,2.7,2.69,2.69,4074,0
PCX,5,20250707,123000,2.72,2.72,2.72,2.72,4,0
PCX,5,20250707,125000,2.72,2.72,2.72,2.72,25,0
PCX,5,20250707,134500,2.7,2.7,2.7,2.7,20,0
PCX,5,20250707,155000,2.68,2.68,2.68,2.68,20,0
PCX,5,20250707,160000,2.7,2.7,2.7,2.7,15,0
PCX,5,20250707,164500,2.7,2.71,2.7,2.71,1423,0
PCX,5,20250708,090000,2.71,2.71,2.71,2.71,300,0
PCX,5,20250708,091500,2.71,2.71,2.71,2.71,700,0
PCX,5,20250708,094000,2.71,2.71,2.71,2.71,713,0
PCX,5,20250708,100000,2.72,2.72,2.72,2.72,382,0
PCX,5,20250708,114000,2.72,2.72,2.72,2.72,27,0
PCX,5,20250708,114500,2.7,2.7,2.68,2.68,250,0
PCX,5,20250708,140500,2.69,2.69,2.68,2.68,1297,0
PCX,5,20250708,141000,2.67,2.67,2.67,2.67,1457,0
PCX,5,20250708,141500,2.67,2.67,2.67,2.67,300,0
PCX,5,20250708,142000,2.67,2.67,2.67,2.67,415,0
PCX,5,20250708,160000,2.66,2.66,2.66,2.66,522,0
PCX,5,20250708,163000,2.65,2.65,2.64,2.65,1100,0
PCX,5,20250709,090500,2.65,2.65,2.65,2.65,400,0
PCX,5,20250709,091000,2.67,2.69,2.65,2.65,1150,0
PCX,5,20250709,091500,2.68,2.68,2.68,2.68,4,0
PCX,5,20250709,103000,2.68,2.68,2.68,2.68,4,0
PCX,5,20250709,111000,2.65,2.65,2.65,2.65,472,0
PCX,5,20250709,113000,2.64,2.64,2.64,2.64,298,0
PCX,5,20250709,124500,2.67,2.67,2.67,2.67,17,0
PCX,5,20250709,125500,2.67,2.67,2.67,2.67,13,0
PCX,5,20250709,143000,2.64,2.64,2.64,2.64,1400,0
PCX,5,20250709,145500,2.64,2.67,2.64,2.67,472,0
PCX,5,20250709,153000,2.64,2.68,2.64,2.68,55,0
PCX,5,20250709,164000,2.68,2.68,2.68,2.68,1500,0
PCX,5,20250709,164500,2.68,2.68,2.68,2.68,937,0
PCX,5,20250710,090000,2.68,2.68,2.68,2.68,50,0
PCX,5,20250710,095000,2.67,2.67,2.67,2.67,10,0
PCX,5,20250710,111000,2.67,2.67,2.66,2.66,960,0
PCX,5,20250710,122500,2.65,2.66,2.65,2.66,1285,0
PCX,5,20250710,123000,2.65,2.65,2.65,2.65,576,0
PCX,5,20250710,123500,2.65,2.65,2.63,2.63,1075,0
PCX,5,20250710,135000,2.64,2.64,2.64,2.64,986,0
PCX,5,20250710,144000,2.65,2.65,2.65,2.65,4,0
PCX,5,20250710,144500,2.65,2.65,2.65,2.65,283,0
PCX,5,20250710,163000,2.65,2.65,2.65,2.65,342,0
PCX,5,20250710,164000,2.65,2.65,2.63,2.63,1737,0
PCX,5,20250710,164500,2.63,2.63,2.63,2.63,1000,0
PCX,5,20250711,090000,2.62,2.63,2.62,2.63,65,0
PCX,5,20250711,090500,2.62,2.63,2.62,2.63,400,0
PCX,5,20250711,091000,2.64,2.65,2.64,2.65,500,0
PCX,5,20250711,113500,2.63,2.63,2.63,2.63,850,0
PCX,5,20250711,122500,2.64,2.64,2.64,2.64,160,0
PCX,5,20250711,125000,2.64,2.64,2.64,2.64,165,0
PCX,5,20250711,141000,2.63,2.65,2.63,2.65,2222,0
PCX,5,20250711,141500,2.65,2.65,2.65,2.65,751,0
PCX,5,20250711,144500,2.63,2.63,2.63,2.63,500,0
PCX,5,20250711,151500,2.65,2.65,2.65,2.65,1900,0
PCX,5,20250711,154000,2.63,2.66,2.63,2.66,5920,0
PCX,5,20250711,155000,2.67,2.67,2.67,2.67,111,0
PCX,5,20250711,160500,2.67,2.67,2.67,2.67,25,0
PCX,5,20250714,091000,2.67,2.67,2.67,2.67,100,0
PCX,5,20250714,093500,2.67,2.67,2.67,2.67,4,0
PCX,5,20250714,104500,2.67,2.67,2.67,2.67,10,0
PCX,5,20250714,124500,2.64,2.64,2.64,2.64,1600,0
PCX,5,20250714,125000,2.63,2.63,2.63,2.63,1851,0
PCX,5,20250714,134000,2.63,2.63,2.63,2.63,49,0
PCX,5,20250714,150500,2.66,2.66,2.66,2.66,10,0
PCX,5,20250714,151000,2.67,2.67,2.67,2.67,2,0
PCX,5,20250714,162500,2.64,2.64,2.62,2.62,3000,0
PCX,5,20250714,164500,2.67,2.67,2.67,2.67,600,0
PCX,5,20250715,091000,2.67,2.67,2.67,2.67,100,0
PCX,5,20250715,093500,2.63,2.63,2.61,2.61,304,0
PCX,5,20250715,095500,2.62,2.62,2.62,2.62,4,0
PCX,5,20250715,101000,2.63,2.63,2.61,2.61,2268,0
PCX,5,20250715,113000,2.65,2.65,2.65,2.65,250,0
PCX,5,20250715,113500,2.66,2.66,2.66,2.66,472,0
PCX,5,20250715,114000,2.66,2.66,2.66,2.66,4,0
PCX,5,20250715,115000,2.66,2.66,2.66,2.66,9,0
PCX,5,20250715,150500,2.64,2.64,2.64,2.64,200,0
PCX,5,20250716,091000,2.65,2.66,2.65,2.66,526,0
PCX,5,20250716,095000,2.64,2.64,2.64,2.64,388,0
PCX,5,20250716,103000,2.63,2.64,2.62,2.64,5975,0
PCX,5,20250716,104000,2.62,2.62,2.62,2.62,175,0
PCX,5,20250716,105000,2.64,2.64,2.64,2.64,4,0
PCX,5,20250716,110500,2.62,2.62,2.6,2.6,1919,0
PCX,5,20250716,113500,2.63,2.64,2.63,2.64,112,0
PCX,5,20250716,120500,2.63,2.63,2.61,2.61,1500,0
PCX,5,20250716,142500,2.64,2.64,2.64,2.64,4,0
PCX,5,20250717,092000,2.61,2.61,2.61,2.61,350,0
PCX,5,20250717,092500,2.61,2.61,2.61,2.61,2095,0
PCX,5,20250717,093000,2.61,2.64,2.61,2.64,921,0
PCX,5,20250717,094000,2.62,2.65,2.62,2.65,520,0
PCX,5,20250717,100500,2.64,2.65,2.64,2.65,41,0
PCX,5,20250717,101000,2.62,2.62,2.6,2.61,569,0
PCX,5,20250717,103500,2.65,2.65,2.65,2.65,4,0
PCX,5,20250717,111000,2.65,2.65,2.65,2.65,19,0
PCX,5,20250717,120000,2.65,2.65,2.65,2.65,1000,0
PCX,5,20250717,133000,2.63,2.63,2.62,2.62,400,0
PCX,5,20250717,142500,2.62,2.62,2.62,2.62,307,0
PCX,5,20250717,150500,2.61,2.61,2.61,2.61,800,0
PCX,5,20250717,154500,2.61,2.61,2.61,2.61,811,0
PCX,5,20250717,155000,2.62,2.64,2.62,2.64,863,0
PCX,5,20250717,163000,2.61,2.61,2.61,2.61,500,0
PCX,5,20250717,164500,2.61,2.61,2.61,2.61,500,0
PCX,5,20250718,090000,2.61,2.61,2.6,2.6,2711,0
PCX,5,20250718,091000,2.62,2.62,2.6,2.6,1660,0
PCX,5,20250718,091500,2.6,2.61,2.6,2.61,1550,0
PCX,5,20250718,104000,2.63,2.63,2.63,2.63,4,0
PCX,5,20250718,114500,2.63,2.63,2.63,2.63,4,0
PCX,5,20250718,123000,2.61,2.61,2.61,2.61,90,0
PCX,5,20250718,123500,2.61,2.61,2.61,2.61,279,0
PCX,5,20250718,134500,2.6,2.6,2.6,2.6,2100,0
PCX,5,20250718,145000,2.6,2.6,2.6,2.6,621,0
PCX,5,20250718,145500,2.61,2.61,2.61,2.61,622,0
PCX,5,20250718,164500,2.63,2.63,2.63,2.63,792,0
PCX,5,20250721,090000,2.63,2.63,2.63,2.63,3,0
PCX,5,20250721,095500,2.62,2.62,2.62,2.62,90,0
PCX,5,20250721,103000,2.61,2.61,2.59,2.59,1233,0
PCX,5,20250721,112000,2.59,2.59,2.59,2.59,100,0
PCX,5,20250721,121000,2.59,2.59,2.56,2.56,3042,0
PCX,5,20250721,122000,2.62,2.62,2.62,2.62,6,0
