<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRM,5,20250707,090000,21.6,21.6,21.6,21.6,3,0
PRM,5,20250707,100500,22,22,22,22,4,0
PRM,5,20250707,105000,22,22,22,22,342,0
PRM,5,20250707,164500,22.5,22.5,22.5,22.5,3,0
PRM,5,20250708,090000,22.5,22.5,22.5,22.5,3,0
PRM,5,20250708,151500,22.5,22.5,22.5,22.5,2,0
PRM,5,20250708,152000,22.5,22.5,22.5,22.5,1,0
PRM,5,20250709,090000,22.5,22.5,22.5,22.5,3,0
PRM,5,20250710,090000,22.5,22.5,22.5,22.5,3,0
PRM,5,20250711,090000,22.4,22.4,22.4,22.4,3,0
PRM,5,20250714,090000,22.4,22.4,22.4,22.4,1,0
PRM,5,20250715,090000,22.4,22.4,22.4,22.4,1,0
PRM,5,20250716,090000,22.4,22.4,22.4,22.4,1,0
PRM,5,20250716,162000,22.4,22.4,22.4,22.4,34,0
PRM,5,20250716,164500,22.5,22.5,22.5,22.5,2,0
PRM,5,20250717,090000,22.5,22.5,22.5,22.5,194,0
PRM,5,20250717,092000,22.5,22.5,22.5,22.5,4,0
PRM,5,20250717,123500,22.6,22.6,22.6,22.6,5,0
PRM,5,20250717,124000,22.5,22.5,22.5,22.5,316,0
PRM,5,20250717,155500,22.6,22.6,22.6,22.6,5,0
PRM,5,20250718,090000,23,23,23,23,1,0
PRM,5,20250721,090000,23,23,23,23,1,0
PRM,5,20250722,090000,23,23,23,23,1,0
PRM,5,20250722,121000,21.9,21.9,21.9,21.9,2,0
PRM,5,20250722,153500,22.6,22.6,22.6,22.6,1,0
PRM,5,20250723,090000,22.9,22.9,22.9,22.9,1,0
PRM,5,20250723,112500,21.9,21.9,21.8,21.8,78,0
PRM,5,20250723,115000,21.8,21.8,21.1,21.1,900,0
PRM,5,20250723,122500,21.8,21.8,21.8,21.8,1,0
PRM,5,20250723,133000,21.8,21.8,21.8,21.8,345,0
PRM,5,20250723,140000,22.4,22.4,22.4,22.4,2,0
PRM,5,20250724,090000,22.4,22.4,22.4,22.4,1,0
PRM,5,20250724,113500,22.4,22.5,22.4,22.5,155,0
PRM,5,20250724,114000,22.5,22.9,22.5,22.9,400,0
PRM,5,20250725,090000,22.9,22.9,22.9,22.9,1,0
PRM,5,20250725,160000,22.9,22.9,22.9,22.9,5,0
PRM,5,20250725,163500,22.9,23,22.9,23,99,0
PRM,5,20250725,164500,23,23,23,23,100,0
PRM,5,20250728,135000,22.4,22.4,22.4,22.4,1,0
PRM,5,20250729,090500,23.7,23.7,23.7,23.7,1,0
PRM,5,20250729,092500,23.1,23.1,23.1,23.1,50,0
PRM,5,20250729,093000,22.3,22.3,22.3,22.3,9,0
PRM,5,20250729,104000,23.4,23.4,23.4,23.4,3,0
PRM,5,20250729,105500,22.3,22.3,22.3,22.3,5,0
PRM,5,20250729,113500,23.4,23.4,23.4,23.4,1,0
PRM,5,20250729,162500,22.4,22.4,22.4,22.4,5,0
PRM,5,20250729,164500,23.3,23.3,23.3,23.3,1,0
PRM,5,20250730,090000,23.3,23.3,23.3,23.3,1,0
PRM,5,20250731,090000,23.3,23.3,23.3,23.3,3,0
PRM,5,20250731,093000,22.4,22.4,22.4,22.4,50,0
PRM,5,20250731,114500,22.3,22.4,22.3,22.4,550,0
PRM,5,20250801,090000,22.3,22.3,22.3,22.3,3,0
PRM,5,20250801,150500,22.1,22.3,22.1,22.3,3,0
