<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STF,5,20250707,090000,8.25209,8.25209,8.25209,8.25209,157.6716417856,0
STF,5,20250707,090500,8.29065,8.29065,8.29065,8.29065,2.0746268656,0
STF,5,20250707,095000,8.29065,8.29065,8.29065,8.29065,155.59701492,0
STF,5,20250707,095500,8.29065,8.29065,8.29065,8.29065,51.86567164,0
STF,5,20250707,100500,8.29065,8.29065,8.29065,8.29065,6.2238805968,0
STF,5,20250707,101000,8.29065,8.29065,8.29065,8.29065,10.373134327999999,0
STF,5,20250707,101500,8.29065,8.29065,8.29065,8.29065,10.373134327999999,0
STF,5,20250707,102500,8.29065,8.29065,8.29065,8.29065,314.30597013839997,0
STF,5,20250707,113500,8.29065,8.29065,8.29065,8.29065,2.0746268656,0
STF,5,20250707,115000,8.29065,8.29065,8.29065,8.29065,2.0746268656,0
STF,5,20250707,121000,8.29065,8.29065,8.29065,8.29065,10.373134327999999,0
STF,5,20250707,123000,8.29065,8.29065,8.29065,8.29065,286.2985074528,0
STF,5,20250707,124000,8.29065,8.29065,8.29065,8.29065,658.694029828,0
STF,5,20250707,130000,8.29065,8.29065,8.29065,8.29065,10.373134327999999,0
STF,5,20250707,151500,8.25209,8.25209,8.21353,8.21353,703.2985074384,0
STF,5,20250707,155500,8.21353,8.21353,8.21353,8.21353,12.4477611936,0
STF,5,20250707,160000,8.27137,8.27137,8.27137,8.27137,3.1119402984,0
STF,5,20250707,161000,8.27137,8.27137,8.27137,8.27137,6.2238805968,0
STF,5,20250707,164500,8.21353,8.21353,8.21353,8.21353,25.93283582,0
STF,5,20250708,090000,8.27137,8.27137,8.27137,8.27137,103.73134328,0
STF,5,20250708,091000,8.27137,8.27137,8.27137,8.27137,7.2611940296,0
STF,5,20250708,094500,8.27137,8.27137,8.27137,8.27137,12.4477611936,0
STF,5,20250708,095000,8.21353,8.21353,8.21353,8.21353,130.7014925328,0
STF,5,20250708,112000,8.21353,8.21353,8.19424,8.19424,3020.6567163136,0
STF,5,20250708,112500,8.17496,8.17496,8.17496,8.17496,12.4477611936,0
STF,5,20250708,120500,8.19424,8.19424,8.19424,8.19424,1037.3134328,0
STF,5,20250708,123000,8.19424,8.19424,8.19424,8.19424,190.8656716352,0
STF,5,20250708,135000,8.19424,8.19424,8.19424,8.19424,51.86567164,0
STF,5,20250708,154500,8.21353,8.23281,8.19424,8.23281,95.4328358176,0
STF,5,20250708,160000,8.19424,8.19424,8.19424,8.19424,103.73134328,0
STF,5,20250708,161500,8.23281,8.23281,8.23281,8.23281,32.1567164168,0
STF,5,20250708,162500,8.21353,8.21353,8.21353,8.21353,124.477611936,0
STF,5,20250709,090000,8.23281,8.23281,8.23281,8.23281,6.2238805968,0
STF,5,20250709,092000,8.23281,8.23281,8.23281,8.23281,2.0746268656,0
STF,5,20250709,100500,8.21353,8.21353,8.21353,8.21353,89.2089552208,0
STF,5,20250709,101000,8.21353,8.21353,8.21353,8.21353,570.52238804,0
STF,5,20250709,101500,8.21353,8.21353,8.21353,8.21353,7.2611940296,0
STF,5,20250709,110500,8.21353,8.21353,8.21353,8.21353,31.119402984,0
STF,5,20250709,131000,8.21353,8.21353,8.21353,8.21353,13.4850746264,0
STF,5,20250709,134000,8.27137,8.27137,8.21353,8.27137,363.05970148,0
STF,5,20250709,134500,8.27137,8.27137,8.27137,8.27137,6.2238805968,0
STF,5,20250709,141500,8.27137,8.27137,8.27137,8.27137,311.19402984,0
STF,5,20250709,143000,8.27137,8.27137,8.27137,8.27137,2.0746268656,0
STF,5,20250709,153000,8.19424,8.19424,8.19424,8.19424,28.0074626856,0
STF,5,20250710,090000,8.19424,8.19424,8.19424,8.19424,70.5373134304,0
STF,5,20250710,091500,8.19424,8.19424,8.19424,8.19424,51.86567164,0
STF,5,20250710,092000,8.25209,8.25209,8.25209,8.25209,62.238805968,0
STF,5,20250710,093000,8.25209,8.25209,8.25209,8.25209,10.373134327999999,0
STF,5,20250710,105000,8.25209,8.25209,8.25209,8.25209,20.746268655999998,0
STF,5,20250710,111500,8.25209,8.25209,8.25209,8.25209,5.1865671639999995,0
STF,5,20250710,112000,8.25209,8.25209,8.25209,8.25209,5.1865671639999995,0
STF,5,20250710,113000,8.25209,8.25209,8.25209,8.25209,12.4477611936,0
STF,5,20250710,114000,8.25209,8.25209,8.25209,8.25209,2.0746268656,0
STF,5,20250710,121500,8.25209,8.25209,8.25209,8.25209,10.373134327999999,0
STF,5,20250710,122000,8.25209,8.25209,8.25209,8.25209,62.238805968,0
STF,5,20250710,142500,8.21353,8.21353,8.19424,8.19424,993.7462686224,0
STF,5,20250710,143500,8.21353,8.21353,8.21353,8.21353,25.93283582,0
STF,5,20250710,144000,8.21353,8.21353,8.21353,8.21353,2.0746268656,0
STF,5,20250710,150000,8.21353,8.21353,8.21353,8.21353,6.2238805968,0
STF,5,20250710,150500,8.21353,8.21353,8.21353,8.21353,5.1865671639999995,0
STF,5,20250710,151000,8.21353,8.21353,8.21353,8.21353,29.0447761184,0
STF,5,20250710,152000,8.25209,8.25209,8.25209,8.25209,25.93283582,0
STF,5,20250710,155000,8.21353,8.21353,8.21353,8.21353,5.1865671639999995,0
STF,5,20250710,162500,8.25209,8.25209,8.25209,8.25209,20.746268655999998,0
STF,5,20250710,164500,8.25209,8.25209,8.25209,8.25209,25.93283582,0
STF,5,20250711,090000,8.25209,8.25209,8.21353,8.21353,89.2089552208,0
STF,5,20250711,112000,8.25209,8.25209,8.23281,8.23281,715.746268632,0
STF,5,20250711,112500,8.23281,8.23281,8.23281,8.23281,432.5597014776,0
STF,5,20250711,114500,8.23281,8.23281,8.23281,8.23281,3.1119402984,0
STF,5,20250711,122000,8.23281,8.23281,8.23281,8.23281,48.7537313416,0
STF,5,20250711,123500,8.23281,8.23281,8.23281,8.23281,34.2313432824,0
STF,5,20250711,140500,8.21353,8.21353,8.21353,8.21353,2.0746268656,0
STF,5,20250711,141000,8.25209,8.25209,8.25209,8.25209,3.1119402984,0
STF,5,20250711,143500,8.25209,8.25209,8.25209,8.25209,10.373134327999999,0
STF,5,20250711,161000,8.21353,8.21353,8.21353,8.21353,36.305970148,0
STF,5,20250714,090000,8.21353,8.21353,8.21353,8.21353,411.8134328216,0
STF,5,20250714,090500,8.25209,8.25209,8.25209,8.25209,76.7611940272,0
STF,5,20250714,091500,8.25209,8.25209,8.25209,8.25209,2.0746268656,0
STF,5,20250714,103500,8.23281,8.23281,8.21353,8.21353,10.373134327999999,0
STF,5,20250714,105000,8.21353,8.21353,8.21353,8.21353,51.86567164,0
STF,5,20250714,121000,8.25209,8.25209,8.25209,8.25209,5.1865671639999995,0
STF,5,20250714,122000,8.23281,8.23281,8.23281,8.23281,2.0746268656,0
STF,5,20250714,123000,8.21353,8.21353,8.21353,8.21353,1207.4328357791999,0
STF,5,20250714,123500,8.21353,8.21353,8.21353,8.21353,348.5373134208,0
STF,5,20250714,124500,8.21353,8.21353,8.21353,8.21353,367.2089552112,0
STF,5,20250714,131500,8.21353,8.21353,8.21353,8.21353,2.0746268656,0
STF,5,20250714,132500,8.21353,8.21353,8.21353,8.21353,321.567164168,0
STF,5,20250714,134500,8.19424,8.19424,8.17496,8.17496,5871.194029648,0
STF,5,20250714,142000,8.19424,8.19424,8.19424,8.19424,497.910447744,0
STF,5,20250714,144000,8.19424,8.19424,8.19424,8.19424,10.373134327999999,0
STF,5,20250714,144500,8.19424,8.19424,8.19424,8.19424,829.85074624,0
STF,5,20250714,145500,8.19424,8.19424,8.19424,8.19424,5.1865671639999995,0
STF,5,20250714,150000,8.19424,8.19424,8.19424,8.19424,1249.962686524,0
STF,5,20250714,151000,8.19424,8.19424,8.19424,8.19424,2.0746268656,0
STF,5,20250714,151500,8.19424,8.19424,8.19424,8.19424,1739.5746268056,0
STF,5,20250714,153500,8.19424,8.19424,8.19424,8.19424,6.2238805968,0
STF,5,20250714,154000,8.19424,8.19424,8.19424,8.19424,10.373134327999999,0
STF,5,20250714,154500,8.19424,8.19424,8.19424,8.19424,2.0746268656,0
STF,5,20250714,160500,8.19424,8.19424,8.19424,8.19424,20.746268655999998,0
STF,5,20250714,162500,8.19424,8.19424,8.19424,8.19424,62.238805968,0
STF,5,20250714,164000,8.19424,8.19424,8.19424,8.19424,2.0746268656,0
STF,5,20250714,164500,8.17496,8.17496,8.17496,8.17496,25.93283582,0
STF,5,20250715,090000,8.19424,8.19424,8.19424,8.19424,331.94029849599997,0
STF,5,20250715,093000,8.19424,8.19424,8.19424,8.19424,2.0746268656,0
STF,5,20250715,094000,8.19424,8.19424,8.19424,8.19424,70.5373134304,0
STF,5,20250715,095500,8.19424,8.19424,8.19424,8.19424,20.746268655999998,0
STF,5,20250715,101000,8.19424,8.19424,8.19424,8.19424,311.19402984,0
STF,5,20250715,101500,8.19424,8.19424,8.19424,8.19424,2.0746268656,0
STF,5,20250715,102500,8.19424,8.19424,8.19424,8.19424,321.567164168,0
STF,5,20250715,104500,8.17496,8.17496,8.17496,8.17496,263.4776119312,0
STF,5,20250715,112000,8.19424,8.19424,8.19424,8.19424,165.97014924799998,0
STF,5,20250715,115000,8.17496,8.17496,8.15568,8.15568,745.8283581832,0
STF,5,20250715,120000,8.1364,8.1364,8.1364,8.1364,247.9179104392,0
STF,5,20250715,121000,8.19424,8.19424,8.19424,8.19424,5.1865671639999995,0
STF,5,20250715,123500,8.19424,8.19424,8.19424,8.19424,2.0746268656,0
STF,5,20250715,133000,8.19424,8.19424,8.19424,8.19424,197.089552232,0
STF,5,20250715,144000,8.19424,8.19424,8.19424,8.19424,154.5597014872,0
STF,5,20250715,152000,8.17496,8.17496,8.17496,8.17496,124.477611936,0
STF,5,20250715,160000,8.17496,8.17496,8.17496,8.17496,89.2089552208,0
STF,5,20250715,161500,8.17496,8.17496,8.17496,8.17496,103.73134328,0
STF,5,20250715,162500,8.17496,8.17496,8.17496,8.17496,1.0373134328,0
STF,5,20250716,090000,8.17496,8.17496,8.17496,8.17496,218.8731343208,0
STF,5,20250716,091500,8.17496,8.17496,8.17496,8.17496,10.373134327999999,0
STF,5,20250716,092500,8.17496,8.17496,8.17496,8.17496,9.3358208952,0
STF,5,20250716,093000,8.15568,8.15568,8.15568,8.15568,190.8656716352,0
STF,5,20250716,094000,8.15568,8.15568,8.15568,8.15568,51.86567164,0
STF,5,20250716,094500,8.15568,8.15568,8.15568,8.15568,103.73134328,0
STF,5,20250716,095000,8.15568,8.15568,8.15568,8.15568,8.2985074624,0
