<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SVRS,5,20250707,090000,5.95,5.95,5.95,5.95,550,0
SVRS,5,20250707,133500,5.7,5.7,5.7,5.7,1303,0
SVRS,5,20250707,164500,5.7,5.7,5.7,5.7,174,0
SVRS,5,20250708,090000,5.7,5.7,5.7,5.7,3,0
SVRS,5,20250708,122000,5.65,5.65,5.65,5.65,1328,0
SVRS,5,20250708,123500,5.65,5.65,5.65,5.65,5000,0
SVRS,5,20250708,132000,5.7,5.7,5.7,5.7,1463,0
SVRS,5,20250708,133000,5.7,5.7,5.7,5.7,3500,0
SVRS,5,20250709,090000,5.9,5.9,5.9,5.9,15,0
SVRS,5,20250709,152500,5.7,5.7,5.65,5.65,500,0
SVRS,5,20250709,161000,5.7,5.7,5.7,5.7,250,0
SVRS,5,20250709,164000,5.65,5.7,5.65,5.7,6390,0
SVRS,5,20250710,090000,5.7,5.7,5.7,5.7,5,0
SVRS,5,20250710,132500,5.55,5.55,5.55,5.55,1000,0
SVRS,5,20250710,144500,5.55,5.55,5.55,5.55,500,0
SVRS,5,20250711,090000,5.65,5.65,5.65,5.65,3,0
SVRS,5,20250711,150000,5.45,5.5,5.45,5.5,1450,0
SVRS,5,20250711,150500,5.4,5.4,5.35,5.35,781,0
SVRS,5,20250711,153500,5.45,5.5,5.45,5.5,1672,0
SVRS,5,20250714,090000,5.9,5.9,5.9,5.9,2,0
SVRS,5,20250714,103500,5.7,6,5.7,6,11849,0
SVRS,5,20250714,105500,6,6,6,6,151,0
SVRS,5,20250715,090000,5.95,5.95,5.95,5.95,100,0
SVRS,5,20250715,150500,5.75,5.75,5.75,5.75,1300,0
SVRS,5,20250716,090000,6,6,6,6,2,0
SVRS,5,20250716,125500,5.8,6,5.8,6,1491,0
SVRS,5,20250716,133000,6.15,6.15,6.15,6.15,150,0
SVRS,5,20250718,090000,6.15,6.15,6.15,6.15,2,0
SVRS,5,20250718,143500,5.75,5.75,5.75,5.75,1305,0
SVRS,5,20250721,090000,6.15,6.15,6.15,6.15,2,0
SVRS,5,20250722,090000,6.15,6.15,6.15,6.15,1,0
SVRS,5,20250723,090000,6.15,6.15,6.15,6.15,2,0
SVRS,5,20250724,090000,6.15,6.15,6.15,6.15,3,0
SVRS,5,20250724,093000,5.8,5.8,5.8,5.8,500,0
SVRS,5,20250724,094500,5.8,5.8,5.8,5.8,500,0
SVRS,5,20250724,112500,5.85,5.85,5.8,5.8,421,0
SVRS,5,20250724,164000,5.8,6,5.8,6,1329,0
SVRS,5,20250724,164500,6.2,6.2,6.2,6.2,471,0
SVRS,5,20250725,090000,6.15,6.15,6.15,6.15,2,0
SVRS,5,20250725,113000,5.85,5.85,5.85,5.85,1283,0
SVRS,5,20250725,160000,5.9,5.9,5.9,5.9,1335,0
SVRS,5,20250725,164000,6,6.1,6,6.1,500,0
SVRS,5,20250728,090000,6,6,6,6,2,0
SVRS,5,20250728,132500,5.85,5.85,5.85,5.85,1328,0
SVRS,5,20250729,090000,5.85,5.85,5.85,5.85,2,0
SVRS,5,20250729,102500,5.55,5.55,5.55,5.55,1588,0
SVRS,5,20250729,104000,5.5,5.5,5.5,5.5,600,0
SVRS,5,20250729,111000,5.4,5.5,5.4,5.5,789,0
SVRS,5,20250729,123000,5.6,5.6,5.6,5.6,2000,0
SVRS,5,20250729,133000,5.5,5.5,5.5,5.5,20,0
SVRS,5,20250729,143000,5.5,5.5,5.5,5.5,1360,0
SVRS,5,20250730,090000,5.45,5.45,5.45,5.45,93,0
SVRS,5,20250730,093500,5.45,5.45,5.45,5.45,127,0
SVRS,5,20250730,102000,5.4,5.5,5.4,5.5,21300,0
SVRS,5,20250731,090000,5.45,5.45,5.45,5.45,93,0
