<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRK,5,20250707,090000,2.225,2.23,2.225,2.23,5002,0
TRK,5,20250707,090500,2.225,2.225,2.21,2.21,610,0
TRK,5,20250707,091500,2.22,2.22,2.22,2.22,5,0
TRK,5,20250707,092000,2.215,2.215,2.21,2.21,3000,0
TRK,5,20250707,093000,2.22,2.22,2.22,2.22,24,0
TRK,5,20250707,093500,2.21,2.225,2.21,2.225,1949,0
TRK,5,20250707,094000,2.21,2.23,2.21,2.23,4025,0
TRK,5,20250707,095500,2.22,2.22,2.22,2.22,600,0
TRK,5,20250707,100000,2.23,2.23,2.23,2.23,1,0
TRK,5,20250707,101500,2.23,2.23,2.23,2.23,15,0
TRK,5,20250707,102000,2.22,2.225,2.22,2.225,249,0
TRK,5,20250707,102500,2.225,2.225,2.225,2.225,305,0
TRK,5,20250707,103500,2.225,2.225,2.225,2.225,25,0
TRK,5,20250707,104000,2.225,2.225,2.225,2.225,275,0
TRK,5,20250707,110000,2.21,2.21,2.21,2.21,6755,0
TRK,5,20250707,110500,2.21,2.21,2.21,2.21,2100,0
TRK,5,20250707,114000,2.205,2.205,2.2,2.2,2221,0
TRK,5,20250707,115000,2.22,2.22,2.22,2.22,5,0
TRK,5,20250707,123500,2.195,2.195,2.195,2.195,90,0
TRK,5,20250707,125500,2.2,2.2,2.2,2.2,1385,0
TRK,5,20250707,130000,2.2,2.2,2.2,2.2,400,0
TRK,5,20250707,131000,2.215,2.215,2.215,2.215,5,0
TRK,5,20250707,135000,2.215,2.215,2.215,2.215,121,0
TRK,5,20250707,140000,2.22,2.225,2.22,2.225,1084,0
TRK,5,20250707,145000,2.22,2.22,2.22,2.22,40,0
TRK,5,20250707,150500,2.2,2.2,2.2,2.2,340,0
TRK,5,20250707,152000,2.22,2.225,2.195,2.195,1319,0
TRK,5,20250707,152500,2.22,2.22,2.22,2.22,2,0
TRK,5,20250707,154000,2.195,2.195,2.195,2.195,700,0
TRK,5,20250707,155500,2.215,2.215,2.215,2.215,10,0
TRK,5,20250707,161000,2.2,2.2,2.2,2.2,405,0
TRK,5,20250707,163000,2.215,2.215,2.215,2.215,5,0
TRK,5,20250707,163500,2.215,2.215,2.215,2.215,75,0
TRK,5,20250707,164500,2.2,2.215,2.2,2.215,421,0
TRK,5,20250708,090000,2.22,2.225,2.22,2.225,852,0
TRK,5,20250708,090500,2.225,2.23,2.225,2.23,1001,0
TRK,5,20250708,092000,2.215,2.22,2.215,2.22,893,0
TRK,5,20250708,094000,2.225,2.225,2.215,2.215,560,0
TRK,5,20250708,094500,2.195,2.215,2.19,2.215,505,0
TRK,5,20250708,101000,2.2,2.2,2.2,2.2,250,0
TRK,5,20250708,101500,2.195,2.215,2.195,2.215,1005,0
TRK,5,20250708,104000,2.21,2.21,2.21,2.21,500,0
TRK,5,20250708,114000,2.21,2.21,2.21,2.21,1000,0
TRK,5,20250708,120000,2.21,2.215,2.21,2.215,500,0
TRK,5,20250708,120500,2.215,2.215,2.215,2.215,25,0
TRK,5,20250708,130000,2.215,2.215,2.215,2.215,19,0
TRK,5,20250708,131500,2.215,2.215,2.215,2.215,400,0
TRK,5,20250708,134000,2.2,2.2,2.2,2.2,100,0
TRK,5,20250708,134500,2.2,2.2,2.2,2.2,400,0
TRK,5,20250708,135000,2.2,2.2,2.2,2.2,500,0
TRK,5,20250708,141500,2.21,2.21,2.21,2.21,50,0
TRK,5,20250708,142500,2.21,2.21,2.21,2.21,100,0
TRK,5,20250708,143500,2.215,2.215,2.19,2.19,5973,0
TRK,5,20250708,144000,2.195,2.195,2.195,2.195,200,0
TRK,5,20250708,144500,2.19,2.19,2.19,2.19,500,0
TRK,5,20250708,145500,2.195,2.195,2.185,2.185,8166,0
TRK,5,20250708,150500,2.185,2.185,2.185,2.185,34,0
TRK,5,20250708,151000,2.185,2.185,2.18,2.18,1166,0
