<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSG,5,20250707,090000,2.39,2.39,2.39,2.39,2,0
TSG,5,20250707,105500,2.39,2.39,2.39,2.39,2043,0
TSG,5,20250707,111500,2.4,2.4,2.4,2.4,3096,0
TSG,5,20250707,162500,2.37,2.37,2.36,2.36,469,0
TSG,5,20250708,090000,2.4,2.4,2.4,2.4,2,0
TSG,5,20250708,131500,2.4,2.4,2.4,2.4,20,0
TSG,5,20250709,090000,2.4,2.4,2.4,2.4,2,0
TSG,5,20250709,100000,2.37,2.37,2.36,2.36,600,0
TSG,5,20250709,103500,2.36,2.36,2.36,2.36,1398,0
TSG,5,20250709,115000,2.4,2.4,2.4,2.4,40,0
TSG,5,20250709,130500,2.36,2.36,2.36,2.36,20,0
TSG,5,20250709,140000,2.39,2.4,2.39,2.4,1700,0
TSG,5,20250709,163500,2.36,2.36,2.33,2.33,1550,0
TSG,5,20250710,090000,2.4,2.4,2.4,2.4,2,0
TSG,5,20250710,095500,2.34,2.34,2.34,2.34,36,0
TSG,5,20250710,101000,2.35,2.35,2.35,2.35,2214,0
TSG,5,20250710,123500,2.35,2.35,2.35,2.35,900,0
TSG,5,20250710,143000,2.35,2.35,2.35,2.35,2,0
TSG,5,20250711,090000,2.4,2.4,2.4,2.4,2,0
TSG,5,20250711,093000,2.36,2.36,2.36,2.36,170,0
TSG,5,20250711,100500,2.36,2.36,2.36,2.36,300,0
TSG,5,20250711,123000,2.35,2.35,2.35,2.35,830,0
TSG,5,20250711,164500,2.32,2.32,2.32,2.32,6011,0
TSG,5,20250714,090000,2.39,2.39,2.39,2.39,2,0
TSG,5,20250714,114000,2.36,2.36,2.36,2.36,42,0
TSG,5,20250714,130500,2.39,2.39,2.39,2.39,600,0
TSG,5,20250714,145500,2.38,2.38,2.38,2.38,23,0
TSG,5,20250714,151000,2.38,2.38,2.38,2.38,7,0
TSG,5,20250714,162000,2.38,2.38,2.38,2.38,96,0
TSG,5,20250715,090000,2.38,2.38,2.38,2.38,2,0
TSG,5,20250715,102500,2.38,2.38,2.38,2.38,420,0
TSG,5,20250715,130000,2.38,2.38,2.38,2.38,652,0
TSG,5,20250716,090000,2.38,2.38,2.38,2.38,2,0
