<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULG,5,20250707,090000,10.8886,10.8886,10.8886,10.8886,92.77118644459999,0
ULG,5,20250707,093500,10.5528,10.5528,10.5528,10.5528,234.533898315,0
ULG,5,20250707,094500,10.7447,10.7447,10.7447,10.7447,8.3389830512,0
ULG,5,20250707,100000,10.7447,10.7447,10.7447,10.7447,10.423728814,0
ULG,5,20250707,104500,10.6488,10.6488,10.6488,10.6488,137.5932203448,0
ULG,5,20250707,114000,10.7447,10.7447,10.7447,10.7447,1.0423728814,0
ULG,5,20250707,115500,10.6488,10.6488,10.6488,10.6488,130.29661017499998,0
ULG,5,20250707,132500,10.7447,10.7447,10.7447,10.7447,207.4322033986,0
ULG,5,20250707,135000,10.8886,10.8886,10.8886,10.8886,11.466101695399999,0
ULG,5,20250707,140500,10.8407,10.8407,10.8407,10.8407,213.686440687,0
ULG,5,20250707,141000,10.8407,10.8407,10.8407,10.8407,107.3644067842,0
ULG,5,20250707,151000,10.8407,10.9366,10.8407,10.9366,104.23728813999999,0
ULG,5,20250707,151500,10.9366,11.0325,10.9366,10.9846,277.2711864524,0
ULG,5,20250707,152000,11.0325,11.0805,11.0325,11.0805,994.4237288556,0
ULG,5,20250707,152500,11.0325,11.0805,11.0325,11.0805,164.69491526119998,0
ULG,5,20250707,161500,10.9846,10.9846,10.9846,10.9846,1.0423728814,0
ULG,5,20250707,164500,10.8886,10.8886,10.8886,10.8886,1.0423728814,0
ULG,5,20250708,092000,10.7927,10.7927,10.7927,10.7927,20.847457628,0
ULG,5,20250708,093500,10.9366,10.9366,10.7927,10.7927,110.4915254284,0
ULG,5,20250708,094000,10.7927,10.9846,10.5528,10.9846,274.14406780819996,0
ULG,5,20250708,094500,10.9846,10.9846,10.9846,10.9846,64.6271186468,0
ULG,5,20250708,095500,10.9846,10.9846,10.9846,10.9846,91.72881356319999,0
ULG,5,20250708,100000,10.9366,10.9366,10.5528,10.5528,52.118644069999995,0
ULG,5,20250708,103500,10.9366,10.9366,10.9366,10.9366,52.118644069999995,0
ULG,5,20250708,111500,10.9366,10.9366,10.9366,10.9366,52.118644069999995,0
ULG,5,20250708,114500,10.6488,10.6488,10.6488,10.6488,29.186440679199997,0
ULG,5,20250708,115000,10.9846,10.9846,10.9846,10.9846,20.847457628,0
ULG,5,20250708,124000,10.6488,10.6488,10.6488,10.6488,25.0169491536,0
ULG,5,20250708,124500,10.6488,10.6488,10.6488,10.6488,58.372881358399994,0
ULG,5,20250708,131000,10.9846,10.9846,10.9846,10.9846,104.23728813999999,0
ULG,5,20250708,134000,10.9846,11.0325,10.9846,11.0325,140.720338989,0
ULG,5,20250708,154000,11.0325,11.0325,11.0325,11.0325,90.6864406818,0
ULG,5,20250708,163000,10.9846,10.9846,10.9846,10.9846,114.66101695399999,0
ULG,5,20250709,092000,11.0325,11.0325,11.0325,11.0325,10.423728814,0
ULG,5,20250709,100000,11.0325,11.0325,11.0325,11.0325,35.440677967599996,0
ULG,5,20250709,101500,11.0325,11.1285,11.0325,11.1285,906.8644068179999,0
ULG,5,20250709,104000,10.8407,10.8407,10.8407,10.8407,72.966101698,0
ULG,5,20250709,104500,10.8407,10.8407,10.8407,10.8407,222.02542373819998,0
