<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAS,5,20250707,090000,1.71,1.71,1.71,1.71,18,0
WAS,5,20250707,092500,1.71,1.785,1.7,1.785,22096,0
WAS,5,20250707,144500,1.75,1.75,1.73,1.73,400,0
WAS,5,20250707,152500,1.765,1.765,1.765,1.765,10,0
WAS,5,20250707,160500,1.765,1.765,1.765,1.765,10,0
WAS,5,20250707,163500,1.755,1.77,1.755,1.77,1160,0
WAS,5,20250708,090000,1.76,1.78,1.76,1.78,3302,0
WAS,5,20250708,094500,1.74,1.78,1.735,1.78,150,0
WAS,5,20250708,111500,1.75,1.75,1.75,1.75,7,0
WAS,5,20250708,113500,1.735,1.75,1.725,1.75,5319,0
WAS,5,20250708,134500,1.73,1.73,1.73,1.73,400,0
WAS,5,20250708,145000,1.745,1.745,1.745,1.745,10,0
WAS,5,20250709,092000,1.745,1.76,1.745,1.76,600,0
WAS,5,20250709,101000,1.73,1.73,1.73,1.73,500,0
WAS,5,20250709,102000,1.725,1.725,1.725,1.725,2000,0
WAS,5,20250709,103000,1.725,1.73,1.725,1.73,347,0
WAS,5,20250709,110500,1.72,1.72,1.72,1.72,2490,0
WAS,5,20250709,111000,1.715,1.73,1.71,1.73,18574,0
WAS,5,20250709,120000,1.725,1.725,1.725,1.725,9,0
WAS,5,20250709,124500,1.725,1.725,1.725,1.725,35,0
WAS,5,20250709,134000,1.725,1.725,1.725,1.725,514,0
WAS,5,20250709,163500,1.71,1.73,1.705,1.705,9100,0
WAS,5,20250709,164000,1.725,1.76,1.7,1.76,11030,0
WAS,5,20250710,164500,1.775,1.775,1.775,1.775,4954,0
WAS,5,20250711,090000,1.775,1.78,1.775,1.78,700,0
WAS,5,20250711,104000,1.765,1.78,1.765,1.78,2000,0
WAS,5,20250711,105500,1.78,1.785,1.78,1.785,710,0
WAS,5,20250711,112500,1.785,1.785,1.785,1.785,93,0
WAS,5,20250711,120500,1.75,1.75,1.75,1.75,655,0
WAS,5,20250711,123000,1.785,1.785,1.745,1.745,800,0
WAS,5,20250711,130000,1.745,1.79,1.745,1.79,3160,0
WAS,5,20250711,143000,1.79,1.79,1.79,1.79,1000,0
WAS,5,20250711,152500,1.75,1.75,1.75,1.75,695,0
WAS,5,20250711,153000,1.75,1.75,1.75,1.75,1905,0
WAS,5,20250711,154500,1.77,1.77,1.77,1.77,100,0
WAS,5,20250711,164500,1.77,1.77,1.77,1.77,500,0
WAS,5,20250714,090000,1.785,1.785,1.785,1.785,20,0
WAS,5,20250714,093000,1.78,1.78,1.78,1.78,500,0
WAS,5,20250714,093500,1.785,1.785,1.785,1.785,20,0
WAS,5,20250714,095500,1.79,1.79,1.79,1.79,20,0
WAS,5,20250714,102000,1.78,1.79,1.78,1.79,299,0
WAS,5,20250714,124500,1.755,1.755,1.755,1.755,475,0
WAS,5,20250714,125000,1.78,1.78,1.78,1.78,10,0
WAS,5,20250714,163500,1.78,1.78,1.78,1.78,490,0
WAS,5,20250714,164500,1.785,1.785,1.785,1.785,50,0
WAS,5,20250715,091500,1.785,1.785,1.785,1.785,100,0
WAS,5,20250715,102500,1.78,1.79,1.78,1.79,1800,0
WAS,5,20250715,103000,1.79,1.815,1.79,1.815,8625,0
WAS,5,20250715,103500,1.815,1.845,1.815,1.845,2445,0
WAS,5,20250715,104000,1.845,1.85,1.845,1.85,1000,0
WAS,5,20250715,104500,1.84,1.84,1.84,1.84,112,0
WAS,5,20250715,105000,1.84,1.845,1.84,1.845,400,0
WAS,5,20250715,105500,1.845,1.845,1.845,1.845,142,0
WAS,5,20250715,110500,1.85,1.85,1.85,1.85,150,0
WAS,5,20250715,111500,1.82,1.85,1.82,1.85,86,0
WAS,5,20250715,112500,1.84,1.84,1.84,1.84,195,0
WAS,5,20250715,113500,1.84,1.84,1.84,1.84,305,0
WAS,5,20250715,114000,1.84,1.84,1.84,1.84,100,0
WAS,5,20250715,114500,1.84,1.84,1.84,1.84,20,0
WAS,5,20250715,123000,1.82,1.82,1.82,1.82,750,0
WAS,5,20250715,124500,1.835,1.835,1.835,1.835,50,0
WAS,5,20250715,135000,1.83,1.83,1.83,1.83,160,0
WAS,5,20250715,142000,1.82,1.82,1.82,1.82,150,0
WAS,5,20250715,150500,1.83,1.83,1.83,1.83,10,0
WAS,5,20250715,151000,1.83,1.83,1.83,1.83,200,0
WAS,5,20250715,152000,1.82,1.83,1.81,1.83,1020,0
WAS,5,20250715,160500,1.805,1.835,1.8,1.835,1630,0
WAS,5,20250715,162000,1.83,1.835,1.83,1.835,800,0
WAS,5,20250715,164000,1.835,1.835,1.835,1.835,30,0
WAS,5,20250715,164500,1.84,1.84,1.84,1.84,486,0
