<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YAN,5,20250707,090000,13.5,13.5,13.3,13.3,20,0
YAN,5,20250707,094500,13.1,13.1,13,13,180,0
YAN,5,20250707,100500,12.7,12.7,12.6,12.6,1000,0
YAN,5,20250707,110500,12.6,12.6,12.6,12.6,680,0
YAN,5,20250707,154000,12.9,12.9,12.9,12.9,20,0
YAN,5,20250708,090000,12.9,12.9,12.9,12.9,50,0
YAN,5,20250708,150500,12.9,12.9,12.9,12.9,20,0
YAN,5,20250708,160000,12.9,12.9,12.9,12.9,170,0
YAN,5,20250709,090000,13.1,13.1,13.1,13.1,10,0
YAN,5,20250709,092000,13.4,13.4,13.4,13.4,10,0
YAN,5,20250709,093500,13.1,13.1,13.1,13.1,230,0
YAN,5,20250709,123500,13.1,13.1,13.1,13.1,650,0
YAN,5,20250709,125000,13,13,13,13,590,0
YAN,5,20250709,160500,13.1,13.1,13.1,13.1,10,0
YAN,5,20250710,090000,13.1,13.1,13.1,13.1,60,0
YAN,5,20250711,090000,13.3,13.3,13.3,13.3,10,0
YAN,5,20250711,101000,13.2,13.2,13.2,13.2,150,0
YAN,5,20250711,164500,13,13,13,13,30,0
YAN,5,20250714,090000,13,13,13,13,10,0
YAN,5,20250714,133000,13.2,13.2,13.2,13.2,100,0
YAN,5,20250714,153500,13.2,13.2,13.2,13.2,10,0
YAN,5,20250715,090000,14.1,14.1,14.1,14.1,10,0
YAN,5,20250715,090500,13.3,13.3,13.3,13.3,10,0
YAN,5,20250715,100000,13.2,13.2,13.2,13.2,150,0
YAN,5,20250716,090000,14.1,14.1,14.1,14.1,10,0
YAN,5,20250716,114500,13,13,13,13,100,0
YAN,5,20250717,090000,13,13,13,13,10,0
YAN,5,20250717,110500,13.2,13.2,13.2,13.2,150,0
YAN,5,20250718,090000,14.1,14.1,14.1,14.1,10,0
YAN,5,20250718,094000,13.2,13.2,13.2,13.2,250,0
YAN,5,20250718,100000,12.8,12.8,12.8,12.8,250,0
YAN,5,20250718,103000,12.8,12.8,12.8,12.8,150,0
YAN,5,20250718,142500,13.2,13.2,13.2,13.2,20,0
YAN,5,20250721,090000,14,14,14,14,10,0
YAN,5,20250721,094500,13.1,13.1,13.1,13.1,20,0
YAN,5,20250721,105000,13,13,13,13,20,0
YAN,5,20250722,090000,14,14,14,14,10,0
YAN,5,20250723,090000,13.2,13.2,12.8,12.8,390,0
YAN,5,20250723,164500,13.3,13.3,13.3,13.3,10,0
YAN,5,20250724,090000,14,14,14,14,10,0
YAN,5,20250724,093000,13.3,13.3,13.3,13.3,80,0
YAN,5,20250725,090000,13.5,13.5,13.5,13.5,10,0
YAN,5,20250725,161500,13.3,13.3,13.3,13.3,60,0
