<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZUE,5,20250707,090000,9.84,9.84,9.84,9.84,110,0
ZUE,5,20250707,090500,9.84,9.84,9.72,9.72,630,0
ZUE,5,20250707,093500,9.74,9.74,9.74,9.74,238,0
ZUE,5,20250707,100000,9.82,9.84,9.82,9.84,7,0
ZUE,5,20250707,105500,9.76,9.76,9.76,9.76,229,0
ZUE,5,20250707,120000,9.76,9.76,9.76,9.76,2,0
ZUE,5,20250707,121000,9.78,9.78,9.78,9.78,100,0
ZUE,5,20250707,123500,9.76,9.78,9.76,9.78,104,0
ZUE,5,20250707,125000,9.78,9.78,9.78,9.78,100,0
ZUE,5,20250707,125500,9.8,9.8,9.8,9.8,400,0
ZUE,5,20250707,132500,9.78,9.78,9.78,9.78,102,0
ZUE,5,20250707,143000,9.78,9.78,9.78,9.78,78,0
ZUE,5,20250707,143500,9.78,9.8,9.78,9.8,1290,0
ZUE,5,20250707,150500,9.8,9.8,9.8,9.8,375,0
ZUE,5,20250707,152500,9.84,10,9.84,9.98,1547,0
ZUE,5,20250707,153000,9.98,9.98,9.9,9.9,10143,0
ZUE,5,20250707,153500,10,10.3,10,10.3,80552,0
ZUE,5,20250707,154000,10.1,10.1,10,10,8992,0
ZUE,5,20250707,154500,10,10,10,10,770,0
ZUE,5,20250707,155000,10,10,10,10,90238,0
ZUE,5,20250707,164500,10,10,10,10,1063,0
ZUE,5,20250708,092000,9.9,9.9,9.9,9.9,47,0
ZUE,5,20250708,094500,9.92,9.92,9.9,9.92,508,0
ZUE,5,20250708,101000,9.92,9.92,9.92,9.92,100,0
ZUE,5,20250708,101500,9.9,9.9,9.9,9.9,6,0
ZUE,5,20250708,105500,9.9,9.9,9.9,9.9,50,0
ZUE,5,20250708,111500,9.9,9.9,9.9,9.9,4000,0
ZUE,5,20250708,120000,9.9,9.9,9.9,9.9,20,0
ZUE,5,20250708,123500,9.9,9.9,9.82,9.82,459,0
ZUE,5,20250708,124000,9.78,9.78,9.78,9.78,1541,0
ZUE,5,20250708,124500,9.78,9.78,9.78,9.78,400,0
ZUE,5,20250708,131500,9.82,9.82,9.82,9.82,1000,0
ZUE,5,20250708,132000,9.82,9.82,9.82,9.82,1000,0
ZUE,5,20250708,141500,9.82,9.82,9.82,9.82,400,0
ZUE,5,20250708,164500,9.82,9.82,9.82,9.82,1473,0
ZUE,5,20250709,103500,9.8,9.8,9.8,9.8,775,0
ZUE,5,20250709,105500,9.78,9.78,9.78,9.78,1000,0
ZUE,5,20250709,113500,9.88,9.9,9.88,9.9,182,0
ZUE,5,20250709,114500,9.78,9.78,9.78,9.78,100,0
ZUE,5,20250709,120500,9.88,9.9,9.88,9.9,350,0
ZUE,5,20250709,121500,9.9,9.9,9.9,9.9,153,0
ZUE,5,20250709,124500,9.9,9.9,9.8,9.9,150,0
ZUE,5,20250709,132500,9.96,9.96,9.96,9.96,43,0
ZUE,5,20250709,133000,9.96,9.96,9.96,9.96,857,0
ZUE,5,20250709,150000,9.82,9.82,9.82,9.82,223,0
ZUE,5,20250709,151500,9.92,9.92,9.92,9.92,10,0
ZUE,5,20250709,153000,9.92,9.92,9.92,9.92,500,0
ZUE,5,20250709,155000,9.92,9.92,9.92,9.92,330,0
ZUE,5,20250709,155500,9.92,9.92,9.92,9.92,20,0
ZUE,5,20250709,164500,9.92,9.92,9.92,9.92,140,0
