<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSI2YPLNMC.PL,5,20250731,144000,1052.5,1052.5,1052.5,1052.5,5,0
GSI2YPLNMC.PL,5,20250801,131500,1052.5,1052.5,1052.5,1052.5,5,0
GSI2YPLNMC.PL,5,20250804,092000,1052.5,1052.5,1052.5,1052.5,10,0
GSI2YPLNMC.PL,5,20250804,093500,1052.5,1052.5,1052.5,1052.5,52,0
GSI2YPLNMC.PL,5,20250812,155500,1055,1055,1055,1055,5,0
GSI2YPLNMC.PL,5,20250814,123000,1055,1055,1055,1055,10,0
GSI2YPLNMC.PL,5,20250814,131500,1055,1055,1055,1055,90,0
GSI2YPLNMC.PL,5,20250901,144000,1057.5,1057.5,1057.5,1057.5,5,0
GSI2YPLNMC.PL,5,20250915,125500,1060,1060,1060,1060,10,0
GSI2YPLNMC.PL,5,20251009,090500,1063.5,1063.5,1063.5,1063.5,10,0
GSI2YPLNMC.PL,5,20251021,103500,1066,1066,1066,1066,2,0
GSI2YPLNMC.PL,5,20251103,095500,1067,1067,1067,1067,3,0
GSI2YPLNMC.PL,5,20251106,151000,1068.5,1068.5,1068.5,1068.5,5,0
