<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLALE58347.PL,5,20250813,140000,16.22,16.22,16.22,16.22,120,0
INTLALE58347.PL,5,20250909,112000,14.16,14.16,14.16,14.16,7,0
INTLALE58347.PL,5,20250910,104000,13.6,13.6,13.6,13.6,8,0
INTLALE58347.PL,5,20251020,092500,12.12,12.12,12.12,12.12,500,0
INTLALE58347.PL,5,20251022,163500,12.52,12.56,12.52,12.56,200,0
INTLALE58347.PL,5,20251022,164000,12.56,12.56,12.56,12.56,300,0
INTLALE58347.PL,5,20251031,132500,13.12,13.12,13.12,13.12,100,0
INTLALE58347.PL,5,20251110,113500,12.86,12.86,12.86,12.86,1100,0
INTLALE58347.PL,5,20251110,125500,12.98,12.98,12.98,12.98,5,0
INTLALE58347.PL,5,20251112,092500,13.02,13.02,13.02,13.02,7,0
INTLALE58347.PL,5,20251118,131500,10.6,10.6,10.6,10.6,200,0
INTLALE58347.PL,5,20251119,090500,10,10,10,10,5,0
INTLALE58347.PL,5,20251120,091500,8.6,8.6,8.6,8.6,400,0
INTLALE58347.PL,5,20251120,092000,8.69,8.73,8.69,8.73,900,0
INTLALE58347.PL,5,20251120,143000,9.45,9.45,9.45,9.45,300,0
INTLALE58347.PL,5,20251120,150500,9.34,9.34,9.34,9.34,200,0
INTLALE58347.PL,5,20251126,142000,9.8,9.8,9.8,9.8,100,0
INTLALE58347.PL,5,20251128,134500,10.14,10.14,10.14,10.14,180,0
