<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLAMD81729.PL,5,20250714,164000,22.4,22.4,22.4,22.4,205,0
INTLAMD81729.PL,5,20250716,153000,26.35,26.35,26.35,26.35,150,0
INTLAMD81729.PL,5,20250722,163500,25,25,25,25,195,0
INTLAMD81729.PL,5,20250724,091000,27.85,27.85,27.85,27.85,353,0
INTLAMD81729.PL,5,20250725,090500,29.2,29.2,29.2,29.2,150,0
INTLAMD81729.PL,5,20250725,095500,29.2,29.2,29.2,29.2,257,0
INTLAMD81729.PL,5,20250725,100500,29.25,29.25,29.25,29.25,152,0
INTLAMD81729.PL,5,20250728,153000,32.2,32.2,32.2,32.2,152,0
INTLAMD81729.PL,5,20250729,120500,34.3,34.3,34.3,34.3,154,0
INTLAMD81729.PL,5,20250730,151500,34.4,34.4,34.4,34.4,257,0
INTLAMD81729.PL,5,20250915,164500,27.3,27.3,27.3,27.3,156,0
INTLAMD81729.PL,5,20251003,153500,30.85,30.85,30.85,30.85,63,0
INTLAMD81729.PL,5,20251006,125500,44.3,44.3,44.3,44.3,341,0
INTLAMD81729.PL,5,20251009,090500,56.4,56.4,56.4,56.4,14,0
INTLAMD81729.PL,5,20251103,163500,63,63.1,63,63.1,137,0
INTLAMD81729.PL,5,20251104,135500,62,62,62,62,2,0
INTLAMD81729.PL,5,20251105,093000,57.1,57.1,57.1,57.1,216,0
INTLAMD81729.PL,5,20251106,153000,61.1,61.1,61.1,61.1,2,0
INTLAMD81729.PL,5,20251120,113000,54,54,54,54,400,0
INTLAMD81729.PL,5,20251126,153000,45.7,45.7,45.7,45.7,14,0
