<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLAMZ81711.PL,5,20250729,141000,26.4,26.4,26.4,26.4,100,0
INTLAMZ81711.PL,5,20250730,133000,25.6,25.6,25.6,25.6,389,0
INTLAMZ81711.PL,5,20250910,150500,26.55,26.55,26.55,26.55,389,0
INTLAMZ81711.PL,5,20250911,101500,24.8,24.8,24.8,24.8,320,0
INTLAMZ81711.PL,5,20250919,160000,25,25,25,25,320,0
INTLAMZ81711.PL,5,20250929,091000,20.75,20.75,20.75,20.75,2404,0
INTLAMZ81711.PL,5,20250930,163500,19.6,19.6,19.6,19.6,2404,0
INTLAMZ81711.PL,5,20251002,154500,19.9,19.9,19.9,19.9,1003,0
INTLAMZ81711.PL,5,20251003,150500,21.25,21.25,21.25,21.25,328,0
INTLAMZ81711.PL,5,20251007,161500,20.7,20.7,20.7,20.7,1331,0
INTLAMZ81711.PL,5,20251016,094000,18.58,18.58,18.58,18.58,80,0
INTLAMZ81711.PL,5,20251121,090500,18.38,18.38,18.38,18.38,65,0
