<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLBCO46417.PL,5,20250708,143500,95.7,95.7,95.7,95.7,20,0
INTLBCO46417.PL,5,20250717,122000,93.7,93.7,93.7,93.7,100,0
INTLBCO46417.PL,5,20250730,150500,109.8,109.8,109.8,109.8,35,0
INTLBCO46417.PL,5,20250801,160500,102.4,102.4,102.4,102.4,15,0
INTLBCO46417.PL,5,20250801,164500,101.4,101.4,101.4,101.4,12,0
INTLBCO46417.PL,5,20250805,161500,94.1,94.1,94.1,94.1,15,0
INTLBCO46417.PL,5,20250806,120000,96.8,96.8,96.8,96.8,30,0
INTLBCO46417.PL,5,20250807,093500,91.3,91.3,91.3,91.3,15,0
INTLBCO46417.PL,5,20250812,101500,89.1,89.1,89.1,89.1,12,0
INTLBCO46417.PL,5,20250822,115500,92,92,92,92,15,0
INTLBCO46417.PL,5,20250904,142000,91,91,91,91,15,0
INTLBCO46417.PL,5,20250916,150500,93.4,93.4,93.4,93.4,15,0
INTLBCO46417.PL,5,20250919,162000,91.1,91.1,91.1,91.1,15,0
INTLBCO46417.PL,5,20250924,094000,93.6,93.6,93.6,93.6,15,0
INTLBCO46417.PL,5,20250930,091500,91.8,91.8,91.8,91.8,6,0
INTLBCO46417.PL,5,20251015,121000,76.8,76.8,76.8,76.8,12,0
INTLBCO46417.PL,5,20251017,094500,70.1,70.1,70.1,70.1,70,0
INTLBCO46417.PL,5,20251017,152000,71.3,71.3,71.3,71.3,60,0
INTLBCO46417.PL,5,20251020,100000,70.6,70.6,70.6,70.6,40,0
INTLBCO46417.PL,5,20251023,092500,83.4,83.4,83.4,83.4,6,0
INTLBCO46417.PL,5,20251023,104000,85.4,85.4,85.4,85.4,10,0
INTLBCO46417.PL,5,20251023,111000,86.4,86.4,86.4,86.4,6,0
INTLBCO46417.PL,5,20251023,112500,86.4,86.4,86.4,86.4,40,0
INTLBCO46417.PL,5,20251023,114500,87.3,87.3,87.3,87.3,10,0
INTLBCO46417.PL,5,20251024,134500,89,89,89,89,17,0
INTLBCO46417.PL,5,20251024,135000,89.4,89.4,89.4,89.4,17,0
INTLBCO46417.PL,5,20251027,100500,84.5,84.6,84.5,84.6,34,0
INTLBCO46417.PL,5,20251110,100500,82.8,82.8,82.8,82.8,18,0
INTLBCO46417.PL,5,20251113,100000,76.8,76.8,76.8,76.8,51,0
INTLBCO46417.PL,5,20251113,114000,78.8,78.8,78.8,78.8,51,0
INTLBCO46417.PL,5,20251113,132500,79.1,79.1,79.1,79.1,10,0
INTLBCO46417.PL,5,20251114,130500,82,82,82,82,15,0
INTLBCO46417.PL,5,20251114,155000,82.3,82.3,82.3,82.3,15,0
INTLBCO46417.PL,5,20251121,145500,77.7,77.7,77.7,77.7,60,0
INTLBCO46417.PL,5,20251121,154000,75.5,75.5,75.5,75.5,26,0
INTLBCO46417.PL,5,20251121,160000,75,75,75,75,53,0
INTLBCO46417.PL,5,20251127,090500,78.3,78.3,78.3,78.3,26,0
