<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLCDR82818.PL,5,20250708,091000,7.38,7.38,7.38,7.38,676,0
INTLCDR82818.PL,5,20250709,103000,6.78,6.78,6.78,6.78,676,0
INTLCDR82818.PL,5,20250715,101500,6.51,6.51,6.51,6.51,200,0
INTLCDR82818.PL,5,20250715,160500,6.18,6.19,6.18,6.19,400,0
INTLCDR82818.PL,5,20250716,090500,5.83,5.83,5.83,5.83,600,0
INTLCDR82818.PL,5,20250718,110000,6.7,6.7,6.7,6.7,150,0
INTLCDR82818.PL,5,20250808,120500,4.69,4.69,4.69,4.69,3394,0
INTLCDR82818.PL,5,20250811,090500,5.75,5.75,5.75,5.75,600,0
INTLCDR82818.PL,5,20250811,110000,5.46,5.46,5.46,5.46,730,0
INTLCDR82818.PL,5,20250811,110500,5.45,5.45,5.45,5.45,182,0
INTLCDR82818.PL,5,20250811,112000,5.19,5.19,5.19,5.19,350,0
INTLCDR82818.PL,5,20250811,135000,5.31,5.31,5.31,5.31,4000,0
INTLCDR82818.PL,5,20250811,145500,5.31,5.31,5.31,5.31,187,0
INTLCDR82818.PL,5,20250811,150000,5.26,5.26,5.21,5.22,529,0
INTLCDR82818.PL,5,20250811,150500,5.18,5.18,5.18,5.18,56,0
INTLCDR82818.PL,5,20250811,160000,5,5.17,5,5.17,19500,0
INTLCDR82818.PL,5,20250811,160500,5.1,5.1,5.1,5.1,7500,0
INTLCDR82818.PL,5,20250811,162500,5.19,5.19,5.19,5.19,280,0
INTLCDR82818.PL,5,20250812,094000,4.84,4.84,4.84,4.84,1445,0
INTLCDR82818.PL,5,20250812,101000,4.77,4.77,4.77,4.77,500,0
INTLCDR82818.PL,5,20250812,103500,4.63,4.63,4.63,4.63,200,0
INTLCDR82818.PL,5,20250812,121000,4.72,4.72,4.72,4.72,300,0
INTLCDR82818.PL,5,20250812,143500,4.9,4.93,4.9,4.93,407,0
INTLCDR82818.PL,5,20250812,144500,4.96,4.96,4.96,4.96,200,0
INTLCDR82818.PL,5,20250812,145000,4.99,4.99,4.99,4.99,200,0
INTLCDR82818.PL,5,20250812,151500,4.99,4.99,4.99,4.99,500,0
INTLCDR82818.PL,5,20250813,122500,4.96,4.96,4.96,4.96,500,0
INTLCDR82818.PL,5,20250813,133500,4.96,4.96,4.96,4.96,800,0
INTLCDR82818.PL,5,20250813,164000,4.95,4.96,4.95,4.96,15000,0
INTLCDR82818.PL,5,20250814,095000,4.69,4.69,4.69,4.69,500,0
INTLCDR82818.PL,5,20250814,111000,4.38,4.38,4.36,4.36,1200,0
INTLCDR82818.PL,5,20250814,153500,4.14,4.16,4.14,4.16,10500,0
INTLCDR82818.PL,5,20250814,160500,4.15,4.15,4.15,4.15,500,0
INTLCDR82818.PL,5,20250818,102000,4.16,4.16,4.16,4.16,220,0
INTLCDR82818.PL,5,20250818,161500,4.79,4.79,4.79,4.79,4500,0
INTLCDR82818.PL,5,20250819,090500,4.92,4.92,4.92,4.92,800,0
INTLCDR82818.PL,5,20250819,101000,4.66,4.66,4.66,4.66,1068,0
INTLCDR82818.PL,5,20250819,124500,4.8,4.8,4.8,4.8,1700,0
INTLCDR82818.PL,5,20250819,152000,5.11,5.11,5.11,5.11,974,0
INTLCDR82818.PL,5,20250820,105500,4.86,4.86,4.86,4.86,400,0
INTLCDR82818.PL,5,20250820,163000,4.6,4.6,4.6,4.6,500,0
INTLCDR82818.PL,5,20250821,091000,4.68,4.68,4.68,4.68,2000,0
INTLCDR82818.PL,5,20250821,101500,5.35,5.37,5.35,5.37,1764,0
INTLCDR82818.PL,5,20250821,122000,5.3,5.3,5.3,5.3,2150,0
INTLCDR82818.PL,5,20250821,164000,5.41,5.41,5.41,5.41,30,0
INTLCDR82818.PL,5,20250822,095000,5.59,5.59,5.56,5.56,433,0
INTLCDR82818.PL,5,20250822,113000,5.28,5.28,5.28,5.28,291,0
INTLCDR82818.PL,5,20250825,094000,5.08,5.08,5.08,5.08,800,0
INTLCDR82818.PL,5,20250826,163000,5.71,5.71,5.71,5.71,291,0
INTLCDR82818.PL,5,20250827,124500,5.27,5.27,5.27,5.27,314,0
INTLCDR82818.PL,5,20250827,164000,5.2,5.2,5.2,5.2,300,0
INTLCDR82818.PL,5,20250828,122000,4.8,4.8,4.8,4.8,927,0
INTLCDR82818.PL,5,20250828,131500,4.51,4.51,4.51,4.51,974,0
INTLCDR82818.PL,5,20250828,132000,4.48,4.48,4.48,4.48,30,0
INTLCDR82818.PL,5,20250828,164000,4.97,4.97,4.97,4.97,4500,0
INTLCDR82818.PL,5,20250829,091000,4.45,4.45,4.45,4.45,2500,0
INTLCDR82818.PL,5,20250829,091500,4.28,4.28,4.18,4.18,1088,0
INTLCDR82818.PL,5,20250829,092500,4.14,4.14,4.14,4.14,1000,0
INTLCDR82818.PL,5,20250829,103000,4.46,4.46,4.46,4.46,560,0
INTLCDR82818.PL,5,20250829,155500,4.68,4.68,4.68,4.68,500,0
INTLCDR82818.PL,5,20250901,093000,5.02,5.02,5.02,5.02,200,0
INTLCDR82818.PL,5,20250901,112500,4.46,4.46,4.46,4.46,445,0
INTLCDR82818.PL,5,20250901,121000,4.23,4.23,4.23,4.23,314,0
INTLCDR82818.PL,5,20250901,133500,3.71,3.71,3.71,3.71,5000,0
INTLCDR82818.PL,5,20250901,134500,3.73,3.73,3.73,3.73,2040,0
INTLCDR82818.PL,5,20250901,144500,3.97,3.97,3.97,3.97,314,0
INTLCDR82818.PL,5,20250903,145500,4.18,4.18,4.18,4.18,880,0
INTLCDR82818.PL,5,20250904,093500,4.1,4.1,4.1,4.1,314,0
INTLCDR82818.PL,5,20250904,144500,4.24,4.24,4.24,4.24,2040,0
INTLCDR82818.PL,5,20250904,155500,4.5,4.5,4.5,4.5,220,0
INTLCDR82818.PL,5,20250908,163500,4.7,4.7,4.7,4.7,50,0
INTLCDR82818.PL,5,20250911,095000,4.9,4.91,4.9,4.91,780,0
INTLCDR82818.PL,5,20250911,105000,4.79,4.79,4.79,4.79,210,0
INTLCDR82818.PL,5,20250912,143000,4.62,4.62,4.62,4.62,2100,0
INTLCDR82818.PL,5,20250915,090500,5.01,5.01,4.96,4.96,8000,0
INTLCDR82818.PL,5,20250915,115500,4.68,4.68,4.68,4.68,900,0
INTLCDR82818.PL,5,20250916,090500,5.07,5.07,5.07,5.07,655,0
INTLCDR82818.PL,5,20250916,095500,4.9,4.9,4.9,4.9,1247,0
INTLCDR82818.PL,5,20250916,155500,4.9,4.9,4.9,4.9,200,0
INTLCDR82818.PL,5,20250919,093000,4.85,4.85,4.85,4.85,850,0
INTLCDR82818.PL,5,20250924,095500,4.62,4.62,4.62,4.62,7500,0
INTLCDR82818.PL,5,20250924,100000,4.62,4.64,4.62,4.64,16000,0
INTLCDR82818.PL,5,20250924,100500,4.66,4.66,4.66,4.66,7500,0
INTLCDR82818.PL,5,20250924,101000,4.63,4.63,4.63,4.63,10500,0
INTLCDR82818.PL,5,20250924,113500,4.63,4.63,4.62,4.62,2000,0
INTLCDR82818.PL,5,20250925,113000,4.6,4.6,4.6,4.6,120,0
INTLCDR82818.PL,5,20250930,094000,5.96,5.96,5.96,5.96,101,0
INTLCDR82818.PL,5,20251002,090500,6.34,6.34,6.34,6.34,850,0
INTLCDR82818.PL,5,20251003,160000,6.42,6.42,6.42,6.42,500,0
INTLCDR82818.PL,5,20251007,112500,6.47,6.47,6.47,6.47,92,0
INTLCDR82818.PL,5,20251007,115500,6.43,6.43,6.43,6.43,15,0
INTLCDR82818.PL,5,20251008,135500,6.71,6.71,6.71,6.71,107,0
INTLCDR82818.PL,5,20251009,125500,6.64,6.64,6.64,6.64,2100,0
INTLCDR82818.PL,5,20251010,104500,5.72,5.72,5.7,5.7,12500,0
INTLCDR82818.PL,5,20251010,105000,5.69,5.69,5.65,5.65,5876,0
INTLCDR82818.PL,5,20251010,110000,5.58,5.58,5.58,5.58,5000,0
INTLCDR82818.PL,5,20251010,111500,5.66,5.66,5.66,5.66,5000,0
INTLCDR82818.PL,5,20251010,112000,5.69,5.69,5.69,5.69,5000,0
INTLCDR82818.PL,5,20251010,160000,5.14,5.14,5.14,5.14,5500,0
INTLCDR82818.PL,5,20251013,090500,4.86,4.86,4.86,4.86,7500,0
INTLCDR82818.PL,5,20251013,092500,4.87,4.87,4.87,4.87,4320,0
INTLCDR82818.PL,5,20251013,101500,4.86,4.86,4.86,4.86,95,0
INTLCDR82818.PL,5,20251014,090500,4.25,4.25,4.25,4.25,7500,0
INTLCDR82818.PL,5,20251014,104000,4.14,4.14,4.14,4.14,481,0
INTLCDR82818.PL,5,20251014,110000,4.05,4.05,4.05,4.05,1230,0
INTLCDR82818.PL,5,20251014,115500,4.06,4.06,4.06,4.06,2600,0
INTLCDR82818.PL,5,20251014,142000,4.14,4.14,4.07,4.07,7595,0
INTLCDR82818.PL,5,20251014,143000,4.09,4.09,4.09,4.09,4100,0
INTLCDR82818.PL,5,20251015,091500,4.25,4.25,4.25,4.25,1300,0
INTLCDR82818.PL,5,20251015,092000,4.25,4.25,4.25,4.25,200,0
INTLCDR82818.PL,5,20251015,093000,4.19,4.19,4.19,4.19,1227,0
INTLCDR82818.PL,5,20251015,103500,4.18,4.18,4.18,4.18,600,0
INTLCDR82818.PL,5,20251015,104500,4.19,4.19,4.19,4.19,500,0
INTLCDR82818.PL,5,20251015,130000,4.25,4.25,4.25,4.25,318,0
INTLCDR82818.PL,5,20251016,090500,4.57,4.63,4.57,4.63,10418,0
INTLCDR82818.PL,5,20251016,092500,4.59,4.59,4.59,4.59,651,0
INTLCDR82818.PL,5,20251016,101000,4.29,4.29,4.29,4.29,7500,0
INTLCDR82818.PL,5,20251016,105500,4.46,4.46,4.46,4.46,2387,0
INTLCDR82818.PL,5,20251016,162500,4.49,4.49,4.49,4.49,2497,0
INTLCDR82818.PL,5,20251017,093500,3.8,3.8,3.8,3.8,1000,0
INTLCDR82818.PL,5,20251017,094500,3.67,3.67,3.67,3.67,500,0
INTLCDR82818.PL,5,20251017,100500,3.5,3.5,3.5,3.5,284,0
INTLCDR82818.PL,5,20251017,101000,3.6,3.6,3.6,3.6,2767,0
INTLCDR82818.PL,5,20251017,120000,3.82,3.82,3.82,3.82,284,0
INTLCDR82818.PL,5,20251017,132000,4,4,4,4,1000,0
INTLCDR82818.PL,5,20251017,142500,4.39,4.4,4.39,4.4,13500,0
INTLCDR82818.PL,5,20251017,145500,4.58,4.58,4.58,4.58,7500,0
INTLCDR82818.PL,5,20251017,150500,4.73,4.73,4.73,4.73,1191,0
INTLCDR82818.PL,5,20251017,151500,4.74,4.74,4.74,4.74,584,0
INTLCDR82818.PL,5,20251017,161500,4.95,4.95,4.95,4.95,3500,0
INTLCDR82818.PL,5,20251017,162000,4.95,4.95,4.95,4.95,1320,0
INTLCDR82818.PL,5,20251017,162500,5,5,5,5,1000,0
INTLCDR82818.PL,5,20251017,163000,4.92,4.92,4.92,4.92,100,0
INTLCDR82818.PL,5,20251020,090500,5.07,5.07,5.07,5.07,2362,0
INTLCDR82818.PL,5,20251020,091000,5.01,5.01,5.01,5.01,651,0
INTLCDR82818.PL,5,20251020,091500,5.07,5.07,5.07,5.07,2362,0
INTLCDR82818.PL,5,20251020,093000,5.2,5.2,5.2,5.2,4799,0
INTLCDR82818.PL,5,20251021,092000,5.19,5.19,5.19,5.19,70,0
INTLCDR82818.PL,5,20251021,092500,5.24,5.24,5.24,5.24,922,0
INTLCDR82818.PL,5,20251021,125000,5.1,5.1,5.1,5.1,250,0
INTLCDR82818.PL,5,20251021,164500,4.98,4.98,4.89,4.89,2400,0
INTLCDR82818.PL,5,20251022,090500,4.96,4.96,4.96,4.96,4017,0
INTLCDR82818.PL,5,20251022,091000,4.94,4.94,4.94,4.94,10500,0
INTLCDR82818.PL,5,20251022,091500,4.94,5,4.94,5,1040,0
INTLCDR82818.PL,5,20251022,122000,5.2,5.2,5.2,5.2,400,0
INTLCDR82818.PL,5,20251023,094500,5.06,5.06,5.06,5.06,200,0
INTLCDR82818.PL,5,20251023,124000,5.13,5.13,5.13,5.13,900,0
INTLCDR82818.PL,5,20251023,130000,5.17,5.17,5.17,5.17,250,0
INTLCDR82818.PL,5,20251024,143000,5.04,5.04,5.04,5.04,400,0
INTLCDR82818.PL,5,20251027,095000,4.78,4.82,4.78,4.82,3050,0
INTLCDR82818.PL,5,20251027,101000,4.58,4.58,4.58,4.58,150,0
INTLCDR82818.PL,5,20251028,091000,4.68,4.68,4.68,4.68,2480,0
INTLCDR82818.PL,5,20251028,093500,4.57,4.57,4.57,4.57,70,0
INTLCDR82818.PL,5,20251029,094500,4.95,5.04,4.95,5.04,625,0
INTLCDR82818.PL,5,20251029,095500,4.99,4.99,4.99,4.99,150,0
INTLCDR82818.PL,5,20251030,135500,4.9,4.9,4.88,4.88,11500,0
INTLCDR82818.PL,5,20251030,140000,4.84,4.84,4.82,4.82,8500,0
INTLCDR82818.PL,5,20251030,142000,4.79,4.79,4.79,4.79,3846,0
INTLCDR82818.PL,5,20251030,143500,4.72,4.72,4.72,4.72,4914,0
INTLCDR82818.PL,5,20251031,091500,4.58,4.58,4.58,4.58,2500,0
INTLCDR82818.PL,5,20251031,093000,4.51,4.51,4.51,4.51,2480,0
INTLCDR82818.PL,5,20251031,153000,4.7,4.7,4.7,4.7,100,0
INTLCDR82818.PL,5,20251103,091000,4.8,4.8,4.8,4.8,7500,0
INTLCDR82818.PL,5,20251103,105500,4.7,4.7,4.7,4.7,25,0
INTLCDR82818.PL,5,20251103,115500,4.75,4.77,4.75,4.77,20,0
INTLCDR82818.PL,5,20251103,122500,4.74,4.74,4.74,4.74,7500,0
INTLCDR82818.PL,5,20251103,134000,4.59,4.59,4.59,4.59,10,0
INTLCDR82818.PL,5,20251103,141500,4.6,4.6,4.6,4.6,10,0
INTLCDR82818.PL,5,20251103,145500,4.55,4.55,4.55,4.55,10,0
INTLCDR82818.PL,5,20251103,150000,4.69,4.69,4.69,4.69,20,0
INTLCDR82818.PL,5,20251104,091500,4.23,4.23,4.23,4.23,1063,0
INTLCDR82818.PL,5,20251104,101000,4.21,4.21,4.21,4.21,150,0
INTLCDR82818.PL,5,20251104,161000,4.32,4.32,4.32,4.32,700,0
INTLCDR82818.PL,5,20251105,100500,4.3,4.3,4.3,4.3,520,0
INTLCDR82818.PL,5,20251105,104000,3.98,3.98,3.98,3.98,1227,0
INTLCDR82818.PL,5,20251105,104500,3.99,3.99,3.99,3.99,300,0
INTLCDR82818.PL,5,20251105,110000,4.01,4.01,4.01,4.01,470,0
INTLCDR82818.PL,5,20251106,090500,3.89,3.89,3.89,3.89,250,0
INTLCDR82818.PL,5,20251107,092000,3.78,3.78,3.78,3.78,500,0
INTLCDR82818.PL,5,20251107,102000,3.75,3.75,3.75,3.75,1328,0
INTLCDR82818.PL,5,20251107,111000,3.58,3.58,3.58,3.58,1659,0
INTLCDR82818.PL,5,20251107,111500,3.55,3.55,3.48,3.48,8993,0
INTLCDR82818.PL,5,20251107,122000,3.49,3.49,3.49,3.49,1500,0
INTLCDR82818.PL,5,20251107,124000,3.48,3.48,3.48,3.48,715,0
INTLCDR82818.PL,5,20251107,134000,3.35,3.35,3.21,3.21,13870,0
INTLCDR82818.PL,5,20251107,134500,3.26,3.26,3.23,3.24,17500,0
INTLCDR82818.PL,5,20251107,135000,3.22,3.22,3.14,3.14,8930,0
INTLCDR82818.PL,5,20251107,135500,3.16,3.18,3.16,3.18,5414,0
INTLCDR82818.PL,5,20251113,134500,2.82,2.82,2.8,2.8,12500,0
INTLCDR82818.PL,5,20251113,135000,2.8,2.81,2.76,2.76,22000,0
INTLCDR82818.PL,5,20251113,135500,2.76,2.78,2.76,2.78,25000,0
INTLCDR82818.PL,5,20251113,140000,2.76,2.76,2.65,2.66,26000,0
INTLCDR82818.PL,5,20251113,140500,2.69,2.71,2.66,2.71,24000,0
INTLCDR82818.PL,5,20251113,141000,2.71,2.71,2.69,2.69,3700,0
INTLCDR82818.PL,5,20251113,142000,2.63,2.63,2.63,2.63,5042,0
INTLCDR82818.PL,5,20251113,142500,2.61,2.61,2.61,2.61,7500,0
INTLCDR82818.PL,5,20251113,143500,2.39,2.41,2.39,2.4,11540,0
INTLCDR82818.PL,5,20251113,144500,2.62,2.62,2.61,2.61,15000,0
INTLCDR82818.PL,5,20251113,145000,2.64,2.64,2.64,2.64,7500,0
INTLCDR82818.PL,5,20251113,145500,2.6,2.6,2.6,2.6,7500,0
INTLCDR82818.PL,5,20251113,150000,2.6,2.61,2.6,2.61,18500,0
INTLCDR82818.PL,5,20251113,150500,2.63,2.63,2.63,2.63,7500,0
INTLCDR82818.PL,5,20251113,151000,2.56,2.58,2.56,2.58,12500,0
INTLCDR82818.PL,5,20251113,151500,2.59,2.63,2.59,2.63,15350,0
INTLCDR82818.PL,5,20251113,161500,2.75,2.75,2.75,2.75,1000,0
INTLCDR82818.PL,5,20251114,091500,2.15,2.15,2.15,2.15,6300,0
