<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLDAX82271.PL,5,20250707,095000,78,78,78,78,7,0
INTLDAX82271.PL,5,20250707,111000,80,80,80,80,20,0
INTLDAX82271.PL,5,20250708,090500,86.5,86.5,86.5,86.5,7,0
INTLDAX82271.PL,5,20250708,095500,88.4,88.4,88.4,88.4,10,0
INTLDAX82271.PL,5,20250709,100000,97.2,97.2,97.2,97.2,256,0
INTLDAX82271.PL,5,20250709,103000,99,99,99,99,256,0
INTLDAX82271.PL,5,20250711,133000,93.6,93.6,93.6,93.6,100,0
INTLDAX82271.PL,5,20250714,093500,85.9,85.9,85.9,85.9,80,0
INTLDAX82271.PL,5,20250715,090500,91.7,91.7,91.7,91.7,6,0
INTLDAX82271.PL,5,20250715,093000,91,91,91,91,180,0
INTLDAX82271.PL,5,20250715,094000,92.9,92.9,92.9,92.9,4,0
INTLDAX82271.PL,5,20250715,110000,91.6,91.6,91.3,91.3,10,0
INTLDAX82271.PL,5,20250715,152000,92.2,92.2,92.2,92.2,1,0
INTLDAX82271.PL,5,20250716,150000,90.3,90.3,90.3,90.3,500,0
INTLDAX82271.PL,5,20250717,100500,91.5,91.5,91.5,91.5,4,0
INTLDAX82271.PL,5,20250721,153500,90.4,90.4,90.4,90.4,4,0
INTLDAX82271.PL,5,20250722,145000,83.3,83.3,83.3,83.3,239,0
INTLDAX82271.PL,5,20250722,154500,83.3,83.3,83.3,83.3,239,0
INTLDAX82271.PL,5,20250722,164000,81.7,81.7,81.7,81.7,478,0
INTLDAX82271.PL,5,20250801,090500,70.7,70.7,70.7,70.7,124,0
INTLDAX82271.PL,5,20250801,093500,68.4,68.4,68.4,68.4,64,0
INTLDAX82271.PL,5,20250801,102500,65.1,65.1,65.1,65.1,60,0
INTLDAX82271.PL,5,20250801,103500,64.7,64.7,64.7,64.7,124,0
INTLDAX82271.PL,5,20250801,154000,56,56,56,56,124,0
INTLDAX82271.PL,5,20250806,124500,73,73,73,73,10,0
INTLDAX82271.PL,5,20250807,095500,80,80,80,80,10,0
INTLDAX82271.PL,5,20250807,103000,86.1,86.1,86.1,86.1,60,0
INTLDAX82271.PL,5,20250808,164000,84.2,84.2,84.2,84.2,200,0
INTLDAX82271.PL,5,20250811,110500,80.8,80.8,80.8,80.8,50,0
INTLDAX82271.PL,5,20250812,102500,81,81,81,81,10,0
INTLDAX82271.PL,5,20250812,133000,76.4,76.4,76.4,76.4,50,0
INTLDAX82271.PL,5,20250812,155500,77.8,77.8,77.8,77.8,100,0
INTLDAX82271.PL,5,20250814,155000,91.5,91.5,91.5,91.5,10,0
INTLDAX82271.PL,5,20250821,121500,86.8,86.8,86.8,86.8,360,0
INTLDAX82271.PL,5,20250826,091500,79.4,79.4,79.4,79.4,10,0
INTLDAX82271.PL,5,20250826,134500,83.8,83.8,83.8,83.8,10,0
INTLDAX82271.PL,5,20250827,103500,79.3,79.3,79.3,79.3,13,0
INTLDAX82271.PL,5,20250827,134500,81.2,81.2,81.2,81.2,13,0
INTLDAX82271.PL,5,20250827,144000,80,80,80,80,10,0
INTLDAX82271.PL,5,20250827,160500,78,78,78,78,13,0
INTLDAX82271.PL,5,20250828,090500,82.4,82.4,82.4,82.4,13,0
INTLDAX82271.PL,5,20250828,164000,79.3,79.3,79.3,79.3,13,0
INTLDAX82271.PL,5,20250828,164500,78.7,78.7,78.7,78.7,13,0
INTLDAX82271.PL,5,20250829,090500,77,77,77,77,14,0
INTLDAX82271.PL,5,20250829,153500,77.3,77.3,77.3,77.3,14,0
INTLDAX82271.PL,5,20250902,095500,67,67,67,67,16,0
INTLDAX82271.PL,5,20250911,125500,61,61,61,61,150,0
INTLDAX82271.PL,5,20250911,155500,64.6,64.6,64.6,64.6,75,0
INTLDAX82271.PL,5,20250911,162000,61.8,61.8,61.8,61.8,16,0
INTLDAX82271.PL,5,20250911,162500,61.1,61.1,61.1,61.1,75,0
INTLDAX82271.PL,5,20250912,164500,60.9,60.9,60.9,60.9,16,0
INTLDAX82271.PL,5,20250915,090500,65,65,65,65,350,0
INTLDAX82271.PL,5,20250915,093500,64.4,64.4,64.4,64.4,150,0
INTLDAX82271.PL,5,20250915,103500,66.7,66.7,66.7,66.7,15,0
INTLDAX82271.PL,5,20250915,135000,66.5,66.5,66.5,66.5,15,0
INTLDAX82271.PL,5,20250915,143000,64.9,64.9,64.9,64.9,16,0
INTLDAX82271.PL,5,20250915,164500,62.7,62.7,62.7,62.7,150,0
INTLDAX82271.PL,5,20250916,093500,58.8,58.8,58.8,58.8,150,0
INTLDAX82271.PL,5,20250916,100500,58.9,58.9,58.9,58.9,17,0
INTLDAX82271.PL,5,20250916,105500,59.6,59.6,59.6,59.6,17,0
INTLDAX82271.PL,5,20250916,120500,56.9,56.9,56.9,56.9,18,0
INTLDAX82271.PL,5,20250916,132500,57.1,57.4,57.1,57.4,300,0
INTLDAX82271.PL,5,20250917,091000,48.7,48.8,48.7,48.8,610,0
INTLDAX82271.PL,5,20250917,091500,50,50,50,50,50,0
INTLDAX82271.PL,5,20250917,114000,46.25,46.25,46.25,46.25,30,0
INTLDAX82271.PL,5,20250917,121000,45.6,45.6,45.6,45.6,19,0
INTLDAX82271.PL,5,20250917,131000,42.55,42.55,42.55,42.55,600,0
INTLDAX82271.PL,5,20250917,131500,42.7,42.7,42.7,42.7,18,0
INTLDAX82271.PL,5,20250917,154500,49.05,49.05,49.05,49.05,19,0
INTLDAX82271.PL,5,20250918,091500,55.9,55.9,55.9,55.9,150,0
INTLDAX82271.PL,5,20250919,133000,56.2,56.2,56.2,56.2,50,0
INTLDAX82271.PL,5,20250919,140500,58,58,58,58,10,0
INTLDAX82271.PL,5,20250922,092000,50.3,50.3,50.3,50.3,100,0
INTLDAX82271.PL,5,20250922,101000,52.7,52.7,52.7,52.7,100,0
INTLDAX82271.PL,5,20250922,164500,51.4,51.4,51.4,51.4,15,0
INTLDAX82271.PL,5,20250923,104500,59.8,59.8,59.8,59.8,40,0
INTLDAX82271.PL,5,20250923,120000,57.6,57.6,57.6,57.6,15,0
INTLDAX82271.PL,5,20250925,160500,51.7,51.7,51.7,51.7,19,0
INTLDAX82271.PL,5,20250925,163000,51.7,51.7,51.7,51.7,19,0
INTLDAX82271.PL,5,20250926,110500,54.9,54.9,54.9,54.9,18,0
INTLDAX82271.PL,5,20250926,112000,55.1,55.1,55.1,55.1,18,0
INTLDAX82271.PL,5,20250926,115000,55.5,55.5,55.5,55.5,18,0
INTLDAX82271.PL,5,20250926,125000,55.2,55.2,55.2,55.2,18,0
INTLDAX82271.PL,5,20250926,132000,55.2,55.2,55.2,55.2,18,0
INTLDAX82271.PL,5,20250929,090500,62.2,62.2,62.2,62.2,50,0
INTLDAX82271.PL,5,20250929,104000,63,63,63,63,20,0
INTLDAX82271.PL,5,20250929,104500,63.2,63.2,63.2,63.2,150,0
INTLDAX82271.PL,5,20250929,112000,63.7,63.7,63.7,63.7,30,0
INTLDAX82271.PL,5,20250929,134500,61.3,61.3,61.3,61.3,330,0
INTLDAX82271.PL,5,20250929,163500,60.8,60.8,60.8,60.8,330,0
INTLDAX82271.PL,5,20250930,093500,58.7,58.7,58.7,58.7,150,0
INTLDAX82271.PL,5,20250930,132500,61.3,61.3,61.3,61.3,150,0
INTLDAX82271.PL,5,20250930,134500,61.3,61.3,61.3,61.3,150,0
INTLDAX82271.PL,5,20250930,140500,62.4,62.4,62.4,62.4,150,0
INTLDAX82271.PL,5,20250930,143000,61.5,61.5,61.5,61.5,150,0
INTLDAX82271.PL,5,20250930,144500,63,63,63,63,150,0
