<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLGBP76752.PL,5,20250731,160000,56.4,56.4,56.4,56.4,14,0
INTLGBP76752.PL,5,20250807,094500,50.6,50.6,50.6,50.6,20,0
INTLGBP76752.PL,5,20250807,103500,49.65,49.65,49.65,49.65,16,0
INTLGBP76752.PL,5,20250812,164500,53.8,53.8,53.8,53.8,22,0
INTLGBP76752.PL,5,20250905,101000,50,50,50,50,15,0
INTLGBP76752.PL,5,20250910,092500,53.1,53.1,53.1,53.1,15,0
INTLGBP76752.PL,5,20250916,141000,50.5,50.5,50.5,50.5,33,0
INTLGBP76752.PL,5,20250922,103000,48.1,48.1,48.1,48.1,16,0
INTLGBP76752.PL,5,20250924,142000,47.55,47.55,47.55,47.55,18,0
INTLGBP76752.PL,5,20250926,093000,47.25,47.25,47.25,47.25,20,0
INTLGBP76752.PL,5,20251027,160500,42.4,42.4,42.4,42.4,234,0
INTLGBP76752.PL,5,20251029,161000,39,39,39,39,51,0
INTLGBP76752.PL,5,20251103,090500,41.35,41.35,41.35,41.35,51,0
INTLGBP76752.PL,5,20251107,110000,39.25,39.25,39.25,39.25,27,0
INTLGBP76752.PL,5,20251110,140000,39.25,39.25,39.25,39.25,20,0
INTLGBP76752.PL,5,20251112,091500,37.2,37.2,37.2,37.2,8,0
INTLGBP76752.PL,5,20251112,095500,36.4,36.4,36.4,36.4,272,0
INTLGBP76752.PL,5,20251112,142500,35.5,35.5,35.5,35.5,30,0
INTLGBP76752.PL,5,20251113,094000,34.9,34.9,34.9,34.9,47,0
INTLGBP76752.PL,5,20251113,095000,35.45,35.45,35.45,35.45,26,0
INTLGBP76752.PL,5,20251114,090500,34.75,34.75,34.75,34.75,100,0
INTLGBP76752.PL,5,20251114,094500,35.75,35.75,35.75,35.75,100,0
INTLGBP76752.PL,5,20251114,162000,34.7,34.7,34.7,34.7,150,0
INTLGBP76752.PL,5,20251117,100000,35.7,35.7,35.7,35.7,100,0
INTLGBP76752.PL,5,20251117,141000,36.4,36.4,36.4,36.4,100,0
INTLGBP76752.PL,5,20251118,090500,36.8,36.8,36.8,36.8,70,0
INTLGBP76752.PL,5,20251118,122000,37.2,37.2,37.2,37.2,80,0
INTLGBP76752.PL,5,20251120,112000,36.6,36.6,36.6,36.6,21,0
INTLGBP76752.PL,5,20251121,142000,38.05,38.05,38.05,38.05,26,0
INTLGBP76752.PL,5,20251201,131000,37.35,37.35,37.35,37.35,20,0
