<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLGLD77081.PL,5,20250710,161000,17.24,17.24,17.24,17.24,67,0
INTLGLD77081.PL,5,20250723,092500,20.8,20.8,20.8,20.8,50,0
INTLGLD77081.PL,5,20250724,091500,18.86,18.86,18.86,18.86,25,0
INTLGLD77081.PL,5,20250801,155500,17.86,17.86,17.86,17.86,85,0
INTLGLD77081.PL,5,20250813,091000,17.88,17.88,17.88,17.88,300,0
INTLGLD77081.PL,5,20250908,143000,26.7,26.7,26.7,26.7,68,0
INTLGLD77081.PL,5,20250916,102500,29.15,29.15,29.15,29.15,150,0
INTLGLD77081.PL,5,20250923,114000,32,32,32,32,449,0
INTLGLD77081.PL,5,20250925,123500,31.4,31.4,31.4,31.4,15,0
INTLGLD77081.PL,5,20250926,132500,31.4,31.4,31.4,31.4,15,0
INTLGLD77081.PL,5,20251003,144500,35.3,35.3,35.3,35.3,150,0
INTLGLD77081.PL,5,20251013,153500,43.5,43.5,43.5,43.5,10000,0
INTLGLD77081.PL,5,20251013,155000,43.8,43.8,43.8,43.8,10000,0
INTLGLD77081.PL,5,20251013,160000,43.85,43.85,43.85,43.85,10000,0
INTLGLD77081.PL,5,20251013,161500,43.8,43.8,43.8,43.8,10000,0
INTLGLD77081.PL,5,20251013,162500,43.95,43.95,43.95,43.95,10000,0
INTLGLD77081.PL,5,20251013,163500,44.05,44.05,44.05,44.05,10000,0
INTLGLD77081.PL,5,20251013,164000,44,44,44,44,10000,0
INTLGLD77081.PL,5,20251014,103500,45.6,45.6,45.6,45.6,4140,0
INTLGLD77081.PL,5,20251014,110500,45.55,45.55,45.55,45.55,1300,0
INTLGLD77081.PL,5,20251015,093000,47.5,47.5,47.5,47.5,5,0
INTLGLD77081.PL,5,20251015,152500,47.2,47.2,47.2,47.2,9629,0
INTLGLD77081.PL,5,20251015,153500,46.95,46.95,46.95,46.95,10000,0
INTLGLD77081.PL,5,20251015,154500,47.15,47.15,47.15,47.15,6930,0
INTLGLD77081.PL,5,20251015,160000,47.55,47.55,47.55,47.55,10000,0
INTLGLD77081.PL,5,20251015,161000,47.7,47.7,47.7,47.7,10000,0
INTLGLD77081.PL,5,20251015,162000,47.8,47.8,47.8,47.8,10000,0
INTLGLD77081.PL,5,20251015,164000,47.3,47.3,47.3,47.3,10000,0
INTLGLD77081.PL,5,20251016,124000,48.6,48.6,48.6,48.6,9800,0
INTLGLD77081.PL,5,20251016,125500,48.75,48.75,48.75,48.75,3000,0
INTLGLD77081.PL,5,20251016,130500,48.75,48.75,48.75,48.75,300,0
INTLGLD77081.PL,5,20251016,155000,49.1,49.1,49.1,49.1,500,0
INTLGLD77081.PL,5,20251016,164000,49.3,49.3,49.3,49.3,700,0
INTLGLD77081.PL,5,20251017,103000,52,52,52,52,5,0
INTLGLD77081.PL,5,20251017,105500,52.3,52.3,52.3,52.3,1000,0
INTLGLD77081.PL,5,20251017,121500,52.2,52.2,52.2,52.2,1000,0
INTLGLD77081.PL,5,20251028,142000,37.05,37.05,37.05,37.05,1,0
INTLGLD77081.PL,5,20251030,094000,38.8,38.8,38.8,38.8,6,0
INTLGLD77081.PL,5,20251110,142500,43.25,43.25,43.25,43.25,6,0
INTLGLD77081.PL,5,20251113,111000,47.95,47.95,47.95,47.95,10000,0
INTLGLD77081.PL,5,20251113,113000,47.8,47.8,47.8,47.8,6000,0
INTLGLD77081.PL,5,20251113,113500,47.65,47.65,47.65,47.65,8000,0
INTLGLD77081.PL,5,20251113,114500,47.8,47.8,47.8,47.8,10000,0
INTLGLD77081.PL,5,20251113,120000,47.5,47.6,47.5,47.6,18000,0
INTLGLD77081.PL,5,20251113,121500,47.6,47.6,47.6,47.6,10000,0
INTLGLD77081.PL,5,20251113,122000,47.4,47.4,47.4,47.4,10000,0
INTLGLD77081.PL,5,20251113,123000,47.45,47.45,47.45,47.45,10000,0
INTLGLD77081.PL,5,20251113,124000,47.75,47.75,47.75,47.75,10000,0
INTLGLD77081.PL,5,20251113,125500,47.75,47.75,47.75,47.75,10000,0
INTLGLD77081.PL,5,20251113,134500,47.95,47.95,47.95,47.95,9000,0
INTLGLD77081.PL,5,20251201,130000,48.15,48.15,48.15,48.15,1900,0
INTLGLD77081.PL,5,20251201,131500,47.95,47.95,47.95,47.95,9000,0
INTLGLD77081.PL,5,20251201,133500,48,48,48,48,10000,0
