<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLGOG66720.PL,5,20250711,091000,19.06,19.06,19.06,19.06,150,0
INTLGOG66720.PL,5,20250714,151000,20.25,20.25,20.25,20.25,150,0
INTLGOG66720.PL,5,20250716,094500,21.1,21.1,21.1,21.1,50,0
INTLGOG66720.PL,5,20250717,092500,21.4,21.4,21.4,21.4,150,0
INTLGOG66720.PL,5,20250725,122000,24.45,24.45,24.45,24.45,50,0
INTLGOG66720.PL,5,20250804,161000,25.25,25.25,25.25,25.25,50,0
INTLGOG66720.PL,5,20250805,161000,26.4,26.4,26.4,26.4,110,0
INTLGOG66720.PL,5,20250904,115500,37.65,37.65,37.65,37.65,318,0
INTLGOG66720.PL,5,20250909,115500,38.6,38.6,38.6,38.6,318,0
INTLGOG66720.PL,5,20251010,105000,42.2,42.2,42.2,42.2,970,0
INTLGOG66720.PL,5,20251013,090500,41.35,41.35,41.35,41.35,970,0
INTLGOG66720.PL,5,20251020,141500,46.2,46.2,46.2,46.2,300,0
INTLGOG66720.PL,5,20251023,090500,46.1,46.1,46.1,46.1,70,0
INTLGOG66720.PL,5,20251027,090500,49.9,49.9,49.9,49.9,30,0
INTLGOG66720.PL,5,20251030,163000,58.9,58.9,58.9,58.9,30,0
INTLGOG66720.PL,5,20251118,111000,57.8,57.8,57.8,57.8,130,0
INTLGOG66720.PL,5,20251125,162500,72.2,72.2,72.2,72.2,40,0
