<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLJSW83436.PL,5,20250710,130000,10.54,10.54,10.54,10.54,100,0
INTLJSW83436.PL,5,20250711,090500,10.6,10.6,10.6,10.6,3220,0
INTLJSW83436.PL,5,20250711,105000,10.28,10.28,10.28,10.28,2240,0
INTLJSW83436.PL,5,20250716,133000,9.42,9.42,9.42,9.42,1200,0
INTLJSW83436.PL,5,20250716,133500,9.42,9.45,9.42,9.45,6250,0
INTLJSW83436.PL,5,20250716,134000,9.45,9.45,9.45,9.45,2750,0
INTLJSW83436.PL,5,20250717,164500,9.28,9.28,9.28,9.28,3750,0
INTLJSW83436.PL,5,20250718,162500,10.18,10.18,10.18,10.18,1610,0
INTLJSW83436.PL,5,20250721,121000,11.8,11.8,11.8,11.8,100,0
INTLJSW83436.PL,5,20250723,110500,14.72,14.72,14.72,14.72,1700,0
INTLJSW83436.PL,5,20250723,114000,14.52,14.52,14.52,14.52,3750,0
INTLJSW83436.PL,5,20250723,114500,14.52,14.6,14.52,14.6,8250,0
INTLJSW83436.PL,5,20250723,115000,14.58,14.6,14.54,14.54,7320,0
INTLJSW83436.PL,5,20250728,155000,12.78,12.78,12.78,12.78,133,0
INTLJSW83436.PL,5,20250731,102000,11.04,11.04,11.04,11.04,133,0
INTLJSW83436.PL,5,20250820,101500,10.4,10.4,10.38,10.38,8000,0
INTLJSW83436.PL,5,20250820,102000,10.4,10.4,10.4,10.4,3750,0
INTLJSW83436.PL,5,20250820,102500,10.38,10.38,10.38,10.38,3750,0
INTLJSW83436.PL,5,20250820,103000,10.4,10.4,10.4,10.4,3301,0
INTLJSW83436.PL,5,20250820,115000,9.97,9.99,9.95,9.99,7851,0
INTLJSW83436.PL,5,20250820,115500,9.96,9.98,9.96,9.97,2608,0
INTLJSW83436.PL,5,20250820,122000,9.97,9.97,9.97,9.97,1604,0
INTLJSW83436.PL,5,20250820,123000,9.99,9.99,9.99,9.99,2281,0
INTLJSW83436.PL,5,20250820,132500,10.02,10.02,10.02,10.02,2282,0
INTLJSW83436.PL,5,20250929,162000,12.44,12.44,12.44,12.44,4212,0
INTLJSW83436.PL,5,20250929,162500,12.42,12.42,12.34,12.34,6750,0
INTLJSW83436.PL,5,20250929,163000,12.34,12.34,12.34,12.34,1101,0
INTLJSW83436.PL,5,20250929,164500,12.48,12.48,12.4,12.4,11500,0
INTLJSW83436.PL,5,20250930,090500,10.22,10.32,10.2,10.32,9583,0
INTLJSW83436.PL,5,20250930,091500,9.99,9.99,9.99,9.99,2281,0
INTLJSW83436.PL,5,20251006,164500,10.52,10.52,10.52,10.52,474,0
INTLJSW83436.PL,5,20251009,151000,14.5,14.5,14.5,14.5,474,0
INTLJSW83436.PL,5,20251015,162000,10.84,10.84,10.84,10.84,300,0
INTLJSW83436.PL,5,20251017,115000,10.58,10.58,10.54,10.54,3197,0
INTLJSW83436.PL,5,20251017,115500,10.58,10.58,10.58,10.58,7950,0
INTLJSW83436.PL,5,20251017,121000,10.58,10.58,10.54,10.54,10800,0
INTLJSW83436.PL,5,20251020,112500,12.78,12.78,12.78,12.78,20,0
INTLJSW83436.PL,5,20251021,131500,15.34,15.34,15.34,15.34,20,0
INTLJSW83436.PL,5,20251022,090500,12.82,12.82,12.82,12.82,4250,0
INTLJSW83436.PL,5,20251022,091000,12.82,12.94,12.8,12.82,10000,0
INTLJSW83436.PL,5,20251022,091500,12.6,12.62,12.6,12.62,7697,0
INTLJSW83436.PL,5,20251027,121500,12.26,12.26,12.26,12.26,242,0
INTLJSW83436.PL,5,20251027,122000,12.14,12.14,12.14,12.14,15,0
INTLJSW83436.PL,5,20251104,111500,11.98,11.98,11.98,11.98,160,0
INTLJSW83436.PL,5,20251106,094500,12.02,12.02,12.02,12.02,160,0
INTLJSW83436.PL,5,20251120,093000,10.96,10.96,10.96,10.96,450,0
INTLJSW83436.PL,5,20251126,090500,11.22,11.22,11.22,11.22,450,0
INTLJSW83436.PL,5,20251128,163000,10.58,10.58,10.58,10.58,300,0
