<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLKGH86348.PL,5,20251009,094000,4.78,4.78,4.78,4.78,100,0
INTLKGH86348.PL,5,20251009,094500,4.78,4.78,4.78,4.78,500,0
INTLKGH86348.PL,5,20251009,095500,4.67,4.67,4.67,4.67,500,0
INTLKGH86348.PL,5,20251009,112000,4.71,4.71,4.71,4.71,100,0
INTLKGH86348.PL,5,20251009,133000,4.99,4.99,4.99,4.99,1000,0
INTLKGH86348.PL,5,20251009,152500,5.16,5.16,5.16,5.16,611,0
INTLKGH86348.PL,5,20251009,153000,5.15,5.15,5.15,5.15,1000,0
INTLKGH86348.PL,5,20251010,090500,4.2,4.2,4.18,4.18,400,0
INTLKGH86348.PL,5,20251010,091000,4.1,4.1,4.1,4.1,50,0
INTLKGH86348.PL,5,20251010,091500,4,4,4,4,1000,0
INTLKGH86348.PL,5,20251010,092500,4.14,4.14,4.14,4.14,50,0
INTLKGH86348.PL,5,20251010,093000,4.23,4.23,4.23,4.23,1900,0
INTLKGH86348.PL,5,20251010,095000,4.22,4.22,4.22,4.22,370,0
INTLKGH86348.PL,5,20251010,102500,4.24,4.24,4.24,4.24,380,0
INTLKGH86348.PL,5,20251010,112000,4.2,4.2,4.2,4.2,300,0
INTLKGH86348.PL,5,20251010,122000,4.34,4.34,4.34,4.34,3000,0
INTLKGH86348.PL,5,20251010,123000,4.35,4.35,4.35,4.35,1650,0
INTLKGH86348.PL,5,20251010,140000,4.44,4.44,4.44,4.44,1346,0
INTLKGH86348.PL,5,20251010,145500,4.6,4.6,4.6,4.6,1000,0
INTLKGH86348.PL,5,20251010,150000,4.61,4.65,4.61,4.65,1611,0
INTLKGH86348.PL,5,20251010,151000,4.72,4.72,4.72,4.72,1,0
INTLKGH86348.PL,5,20251010,151500,4.69,4.69,4.69,4.69,300,0
INTLKGH86348.PL,5,20251010,155500,4.36,4.36,4.36,4.36,650,0
INTLKGH86348.PL,5,20251013,090500,4.34,4.52,4.34,4.52,2000,0
INTLKGH86348.PL,5,20251013,091000,4.62,4.62,4.62,4.62,650,0
INTLKGH86348.PL,5,20251013,093000,4.74,4.74,4.73,4.73,666,0
INTLKGH86348.PL,5,20251013,095500,4.52,4.52,4.52,4.52,1000,0
INTLKGH86348.PL,5,20251013,100000,4.55,4.55,4.55,4.55,1534,0
INTLKGH86348.PL,5,20251013,103000,4.5,4.5,4.5,4.5,3758,0
INTLKGH86348.PL,5,20251013,104500,4.59,4.59,4.59,4.59,1346,0
INTLKGH86348.PL,5,20251013,151500,4.91,4.91,4.91,4.91,4217,0
INTLKGH86348.PL,5,20251013,152500,4.91,4.91,4.88,4.88,3000,0
INTLKGH86348.PL,5,20251013,160000,4.74,4.74,4.74,4.74,1217,0
INTLKGH86348.PL,5,20251013,164500,4.82,4.82,4.82,4.82,5292,0
INTLKGH86348.PL,5,20251014,090500,4.17,4.17,4.17,4.17,4000,0
INTLKGH86348.PL,5,20251014,091000,4.15,4.15,4.15,4.15,390,0
INTLKGH86348.PL,5,20251014,093500,4.29,4.29,4.29,4.29,1390,0
INTLKGH86348.PL,5,20251014,124500,4.1,4.1,4.1,4.1,2000,0
