<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLMET66597.PL,5,20250721,140000,104.8,104.8,104.8,104.8,50,0
INTLMET66597.PL,5,20250728,130000,108,108,108,108,2,0
INTLMET66597.PL,5,20250813,120500,135,135,135,135,3,0
INTLMET66597.PL,5,20250916,161500,123,123,123,123,2,0
INTLMET66597.PL,5,20251020,111500,106,106,106,106,2,0
INTLMET66597.PL,5,20251120,105500,61.3,61.3,61.3,61.3,200,0
INTLMET66597.PL,5,20251120,131500,61.5,61.5,61.5,61.5,200,0
INTLMET66597.PL,5,20251121,090500,57.4,57.4,57.4,57.4,100,0
INTLMET66597.PL,5,20251121,155000,59,59,59,59,50,0
INTLMET66597.PL,5,20251124,150000,62,62,62,62,15,0
INTLMET66597.PL,5,20251126,131000,74.3,74.3,74.3,74.3,90,0
INTLMET66597.PL,5,20251128,113500,75.4,75.4,75.4,75.4,110,0
