<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLNAG73130.PL,5,20250707,132500,2.16,2.16,2.16,2.16,1000,0
INTLNAG73130.PL,5,20250708,091500,2.38,2.38,2.38,2.38,1000,0
INTLNAG73130.PL,5,20250717,162500,3.22,3.22,3.22,3.22,100,0
INTLNAG73130.PL,5,20250721,123500,2.34,2.34,2.34,2.34,50,0
INTLNAG73130.PL,5,20250722,152000,1.86,1.86,1.86,1.86,1050,0
INTLNAG73130.PL,5,20250722,164500,1.81,1.81,1.81,1.81,400,0
INTLNAG73130.PL,5,20250723,122000,1.83,1.83,1.83,1.83,50,0
INTLNAG73130.PL,5,20250723,141500,1.74,1.74,1.74,1.74,250,0
INTLNAG73130.PL,5,20250723,152000,1.46,1.46,1.46,1.46,250,0
INTLNAG73130.PL,5,20250723,152500,1.47,1.47,1.47,1.47,300,0
INTLNAG73130.PL,5,20250723,160000,1.4,1.4,1.4,1.4,1000,0
INTLNAG73130.PL,5,20250723,163000,1.35,1.35,1.35,1.35,1050,0
INTLNAG73130.PL,5,20250723,164000,1.34,1.34,1.34,1.34,2000,0
INTLNAG73130.PL,5,20250724,094500,1.35,1.35,1.35,1.35,808,0
INTLNAG73130.PL,5,20250724,140500,1.47,1.47,1.47,1.47,7500,0
INTLNAG73130.PL,5,20250724,154500,1.51,1.51,1.51,1.51,10000,0
INTLNAG73130.PL,5,20250725,164000,1.55,1.55,1.55,1.55,2500,0
INTLNAG73130.PL,5,20250728,093000,1.41,1.41,1.41,1.41,1000,0
INTLNAG73130.PL,5,20250728,095500,1.37,1.37,1.37,1.37,500,0
INTLNAG73130.PL,5,20250728,100000,1.38,1.38,1.38,1.38,1000,0
INTLNAG73130.PL,5,20250728,131000,1.41,1.41,1.41,1.41,235,0
INTLNAG73130.PL,5,20250728,150500,1.52,1.52,1.52,1.52,1500,0
INTLNAG73130.PL,5,20250728,153500,1.45,1.45,1.45,1.45,500,0
INTLNAG73130.PL,5,20250728,160500,1.29,1.29,1.29,1.29,700,0
INTLNAG73130.PL,5,20250728,161000,1.31,1.31,1.31,1.31,300,0
INTLNAG73130.PL,5,20250728,163500,1.22,1.22,1.22,1.22,1000,0
INTLNAG73130.PL,5,20250729,094500,1.26,1.26,1.26,1.26,1582,0
INTLNAG73130.PL,5,20250729,100500,1.3,1.3,1.3,1.3,2000,0
INTLNAG73130.PL,5,20250729,105000,1.26,1.26,1.26,1.26,500,0
INTLNAG73130.PL,5,20250729,141500,1.4,1.4,1.4,1.4,350,0
INTLNAG73130.PL,5,20250729,153000,1.48,1.48,1.48,1.48,1500,0
INTLNAG73130.PL,5,20250729,155500,1.52,1.52,1.52,1.52,808,0
INTLNAG73130.PL,5,20250730,133000,1.4,1.4,1.4,1.4,1000,0
INTLNAG73130.PL,5,20250730,144500,1.11,1.11,1.11,1.11,400,0
INTLNAG73130.PL,5,20250730,145500,1.08,1.08,1.08,1.08,700,0
INTLNAG73130.PL,5,20250730,150500,1.04,1.04,1.04,1.04,1000,0
INTLNAG73130.PL,5,20250730,151000,1.04,1.04,1.04,1.04,2000,0
INTLNAG73130.PL,5,20250730,151500,1.02,1.02,1.02,1.02,1000,0
INTLNAG73130.PL,5,20250730,152000,1.02,1.02,1.02,1.02,3500,0
INTLNAG73130.PL,5,20250730,160000,0.97,0.97,0.97,0.97,1500,0
INTLNAG73130.PL,5,20250730,161500,1,1,1,1,1500,0
