<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLNDX83899.PL,5,20250707,091000,70.7,70.7,70.7,70.7,18,0
INTLNDX83899.PL,5,20250707,100500,70.5,70.5,70.5,70.5,8,0
INTLNDX83899.PL,5,20250707,103500,70.7,70.7,70.7,70.7,34,0
INTLNDX83899.PL,5,20250707,164500,70.6,70.6,70.6,70.6,34,0
INTLNDX83899.PL,5,20250708,091000,70.2,70.2,70.2,70.2,19,0
INTLNDX83899.PL,5,20250708,142000,71.3,71.3,71.3,71.3,15,0
INTLNDX83899.PL,5,20250709,091000,68.7,68.7,68.7,68.7,20,0
INTLNDX83899.PL,5,20250709,154500,76,76,76,76,111,0
INTLNDX83899.PL,5,20250709,155500,75.9,75.9,75.9,75.9,15,0
INTLNDX83899.PL,5,20250710,100500,73.7,73.7,73.7,73.7,126,0
INTLNDX83899.PL,5,20250710,155000,72.6,72.6,72.6,72.6,350,0
INTLNDX83899.PL,5,20250710,155500,72,72,72,72,30,0
INTLNDX83899.PL,5,20250711,093000,71,71,71,71,24,0
INTLNDX83899.PL,5,20250711,111500,70.2,70.2,70.2,70.2,69,0
INTLNDX83899.PL,5,20250711,124000,68.6,68.6,68.6,68.6,10,0
INTLNDX83899.PL,5,20250711,140500,70.6,70.6,70.6,70.6,5,0
INTLNDX83899.PL,5,20250711,153500,69.7,69.7,69,69,29,0
INTLNDX83899.PL,5,20250714,093500,67.5,67.5,67.5,67.5,5,0
INTLNDX83899.PL,5,20250714,112000,69.3,69.3,69.3,69.3,43,0
INTLNDX83899.PL,5,20250714,154500,68,68,68,68,29,0
INTLNDX83899.PL,5,20250714,155000,70.4,70.4,70.4,70.4,29,0
INTLNDX83899.PL,5,20250714,162000,72.6,72.6,72.6,72.6,433,0
INTLNDX83899.PL,5,20250715,101500,78.4,78.4,78.4,78.4,69,0
INTLNDX83899.PL,5,20250715,123500,79.7,79.7,79.7,79.7,500,0
INTLNDX83899.PL,5,20250715,124000,79.7,79.7,79.7,79.7,500,0
INTLNDX83899.PL,5,20250715,130500,80,80,80,80,5,0
INTLNDX83899.PL,5,20250715,160000,78.4,78.4,78.4,78.4,26,0
INTLNDX83899.PL,5,20250715,162500,79.5,79.5,79.5,79.5,26,0
INTLNDX83899.PL,5,20250716,095500,72.9,72.9,72.9,72.9,588,0
INTLNDX83899.PL,5,20250716,103500,73.6,73.6,73.6,73.6,200,0
INTLNDX83899.PL,5,20250716,104500,73.8,73.8,73.8,73.8,300,0
INTLNDX83899.PL,5,20250717,091000,78.2,78.2,78.2,78.2,806,0
INTLNDX83899.PL,5,20250717,160000,80,80,80,80,10,0
INTLNDX83899.PL,5,20250718,135500,82.7,82.7,82.7,82.7,120,0
INTLNDX83899.PL,5,20250718,154000,82.9,82.9,82.9,82.9,121,0
INTLNDX83899.PL,5,20250718,161500,81.3,81.3,81.3,81.3,32,0
INTLNDX83899.PL,5,20250718,162500,80.2,80.2,80.2,80.2,32,0
INTLNDX83899.PL,5,20250718,164500,80.6,80.6,80.6,80.6,1894,0
INTLNDX83899.PL,5,20250722,154500,80.4,80.4,80.4,80.4,126,0
INTLNDX83899.PL,5,20250722,155000,78.7,78.7,78.7,78.7,241,0
INTLNDX83899.PL,5,20250722,164000,80.6,80.6,80.6,80.6,125,0
INTLNDX83899.PL,5,20250722,164500,80.3,80.3,80.3,80.3,200,0
INTLNDX83899.PL,5,20250723,091500,82.1,82.1,82.1,82.1,32,0
INTLNDX83899.PL,5,20250723,111000,82.5,82.5,82.5,82.5,11,0
INTLNDX83899.PL,5,20250723,130500,81.1,81.1,81.1,81.1,32,0
INTLNDX83899.PL,5,20250728,154500,91.5,91.5,91.5,91.5,11,0
INTLNDX83899.PL,5,20250728,161500,91.6,91.6,91.6,91.6,200,0
INTLNDX83899.PL,5,20250728,164500,90.8,90.8,90.8,90.8,125,0
INTLNDX83899.PL,5,20250729,132500,95.3,95.3,95.3,95.3,10,0
INTLNDX83899.PL,5,20250731,100500,104,104,104,104,1000,0
INTLNDX83899.PL,5,20250731,110500,103.6,103.6,103.6,103.6,19,0
INTLNDX83899.PL,5,20250731,135000,102.2,102.2,102.2,102.2,10,0
INTLNDX83899.PL,5,20250801,114500,79.1,79.1,79.1,79.1,20,0
INTLNDX83899.PL,5,20250801,140500,78.9,78.9,78.9,78.9,100,0
INTLNDX83899.PL,5,20250801,143000,76.9,76.9,76.9,76.9,50,0
INTLNDX83899.PL,5,20250801,155500,69.2,69.2,68.8,68.8,100,0
INTLNDX83899.PL,5,20250801,160000,66.8,66.8,66.1,66.1,170,0
INTLNDX83899.PL,5,20250801,160500,67.9,67.9,67.9,67.9,20,0
INTLNDX83899.PL,5,20250804,162500,82,82,82,82,20,0
INTLNDX83899.PL,5,20250804,163500,82.2,82.2,82.2,82.2,19,0
INTLNDX83899.PL,5,20250808,155000,95,95,95,95,37,0
INTLNDX83899.PL,5,20250813,111000,107.2,107.2,107.2,107.2,19,0
INTLNDX83899.PL,5,20250814,133000,105.8,105.8,105.8,105.8,12,0
INTLNDX83899.PL,5,20250820,095500,85.9,85.9,85.9,85.9,12,0
INTLNDX83899.PL,5,20250820,162000,76.2,76.2,76.2,76.2,13,0
INTLNDX83899.PL,5,20250822,161500,91.4,91.4,91.4,91.4,25,0
INTLNDX83899.PL,5,20250826,160500,88.8,88.8,88.8,88.8,10,0
INTLNDX83899.PL,5,20250826,162000,90.4,90.4,90.4,90.4,10,0
INTLNDX83899.PL,5,20250827,110000,93,93,93,93,10,0
INTLNDX83899.PL,5,20250827,133500,93.9,93.9,93.9,93.9,17,0
INTLNDX83899.PL,5,20250827,145000,92.6,92.6,92.6,92.6,8,0
INTLNDX83899.PL,5,20250827,152500,91.2,91.2,91.2,91.2,5,0
INTLNDX83899.PL,5,20250827,154000,91,91,91,91,3,0
INTLNDX83899.PL,5,20250827,160500,91.7,91.7,91.7,91.7,5,0
INTLNDX83899.PL,5,20250827,163500,93.8,93.8,93.8,93.8,3,0
INTLNDX83899.PL,5,20250828,103000,94.5,94.5,94.5,94.5,9,0
INTLNDX83899.PL,5,20250828,150000,94,94,94,94,7,0
INTLNDX83899.PL,5,20250828,152000,94.6,94.6,94.6,94.6,7,0
INTLNDX83899.PL,5,20250828,153000,97.1,97.1,97.1,97.1,14,0
INTLNDX83899.PL,5,20250828,153500,96.2,96.2,96.2,96.2,6,0
INTLNDX83899.PL,5,20250828,154000,97.6,97.6,97.6,97.6,6,0
INTLNDX83899.PL,5,20250828,154500,96.2,96.2,95.6,95.6,17,0
INTLNDX83899.PL,5,20250828,155000,93.9,93.9,93.3,93.3,13,0
INTLNDX83899.PL,5,20250828,155500,91.9,91.9,91.9,91.9,7,0
INTLNDX83899.PL,5,20250828,160000,93.6,93.6,93.6,93.6,7,0
INTLNDX83899.PL,5,20250828,161000,95,95,95,95,10,0
INTLNDX83899.PL,5,20250828,164000,95.7,95.7,95.7,95.7,5,0
INTLNDX83899.PL,5,20250829,090500,97.4,97.4,97.4,97.4,15,0
INTLNDX83899.PL,5,20250829,094500,96.2,96.2,96.2,96.2,10,0
INTLNDX83899.PL,5,20250829,145000,95,95,95,95,8,0
INTLNDX83899.PL,5,20250829,153000,93.9,93.9,93.9,93.9,4,0
INTLNDX83899.PL,5,20250903,134000,86.8,86.8,86.8,86.8,11,0
INTLNDX83899.PL,5,20250903,162000,86.6,86.6,86.6,86.6,4,0
INTLNDX83899.PL,5,20250904,132500,88.6,88.6,88.6,88.6,11,0
INTLNDX83899.PL,5,20250904,150500,87.6,87.6,87.6,87.6,8,0
INTLNDX83899.PL,5,20250905,163000,93.5,93.5,93.5,93.5,15,0
INTLNDX83899.PL,5,20250910,150500,105.6,105.6,105.6,105.6,13,0
