<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLNVD85134.PL,5,20250814,091500,9.56,9.56,9.56,9.56,60,0
INTLNVD85134.PL,5,20250814,104500,9.55,9.59,9.55,9.59,85,0
INTLNVD85134.PL,5,20250814,105500,9.62,9.62,9.62,9.62,35,0
INTLNVD85134.PL,5,20250814,132500,9.75,9.75,9.75,9.75,30,0
INTLNVD85134.PL,5,20250814,150000,9.12,9.12,9.12,9.12,100,0
INTLNVD85134.PL,5,20250818,094500,9.08,9.08,9.08,9.08,1000,0
INTLNVD85134.PL,5,20250818,100500,8.97,8.97,8.97,8.97,10,0
INTLNVD85134.PL,5,20250818,103000,8.87,8.87,8.87,8.87,574,0
INTLNVD85134.PL,5,20250818,163000,9.86,9.86,9.86,9.86,574,0
INTLNVD85134.PL,5,20250819,104500,9.91,9.91,9.91,9.91,111,0
INTLNVD85134.PL,5,20250819,121500,9.9,9.9,9.9,9.9,555,0
INTLNVD85134.PL,5,20250820,104000,7.53,7.53,7.53,7.53,300,0
INTLNVD85134.PL,5,20250820,142500,7.55,7.55,7.55,7.55,300,0
INTLNVD85134.PL,5,20250820,153000,7.09,7.09,7.09,7.09,36,0
INTLNVD85134.PL,5,20250820,160500,5.17,5.17,5.17,5.17,600,0
INTLNVD85134.PL,5,20250821,091000,7.52,7.52,7.52,7.52,493,0
INTLNVD85134.PL,5,20250822,142500,6.4,6.4,6.4,6.4,1000,0
INTLNVD85134.PL,5,20250826,093500,9.12,9.12,9.12,9.12,968,0
INTLNVD85134.PL,5,20250826,141000,9.18,9.18,9.18,9.18,342,0
INTLNVD85134.PL,5,20250826,142000,9.26,9.26,9.26,9.26,223,0
INTLNVD85134.PL,5,20250826,151500,9.2,9.2,9.2,9.2,18,0
INTLNVD85134.PL,5,20250827,092500,9.84,9.84,9.84,9.84,493,0
INTLNVD85134.PL,5,20250827,093500,9.78,9.78,9.78,9.78,555,0
INTLNVD85134.PL,5,20250827,141500,10.14,10.14,10.14,10.14,424,0
INTLNVD85134.PL,5,20250827,142000,10.12,10.12,10.12,10.12,196,0
INTLNVD85134.PL,5,20250827,153000,9.42,9.42,9.42,9.42,585,0
INTLNVD85134.PL,5,20250828,140000,8.75,8.75,8.75,8.75,114,0
INTLNVD85134.PL,5,20250828,155000,8.29,8.29,8.29,8.29,63,0
INTLNVD85134.PL,5,20250829,104000,8.68,8.68,8.68,8.68,380,0
INTLNVD85134.PL,5,20250829,105500,8.2,8.2,8.2,8.2,380,0
INTLNVD85134.PL,5,20250829,130500,8.24,8.24,8.24,8.24,245,0
INTLNVD85134.PL,5,20250829,162500,6.98,6.98,6.98,6.98,424,0
INTLNVD85134.PL,5,20250901,111000,6.62,6.62,6.62,6.62,64,0
INTLNVD85134.PL,5,20250902,130000,5.73,5.73,5.73,5.73,100,0
INTLNVD85134.PL,5,20250902,141000,5.12,5.12,5.12,5.12,63,0
