<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPAL86561.PL,5,20251009,093500,13.5,13.5,13.44,13.44,3370,0
INTLPAL86561.PL,5,20251009,094500,13.26,13.26,13.26,13.26,100,0
INTLPAL86561.PL,5,20251009,095500,13.26,13.28,13.26,13.28,559,0
INTLPAL86561.PL,5,20251009,100000,13.3,13.3,13.3,13.3,500,0
INTLPAL86561.PL,5,20251009,100500,12.98,12.98,12.98,12.98,59,0
INTLPAL86561.PL,5,20251009,101500,13.34,13.34,13.34,13.34,500,0
INTLPAL86561.PL,5,20251009,103500,13.46,13.46,13.46,13.46,500,0
INTLPAL86561.PL,5,20251009,110000,13.98,13.98,13.98,13.98,500,0
INTLPAL86561.PL,5,20251009,111500,14.36,14.36,14.36,14.36,500,0
INTLPAL86561.PL,5,20251009,113000,14.22,14.22,14.22,14.22,1585,0
INTLPAL86561.PL,5,20251009,130500,13.94,13.94,13.94,13.94,3000,0
INTLPAL86561.PL,5,20251009,143000,14.44,14.54,14.44,14.54,2,0
INTLPAL86561.PL,5,20251009,143500,14.7,14.7,14.7,14.7,500,0
INTLPAL86561.PL,5,20251009,144500,14.86,14.86,14.78,14.78,1015,0
INTLPAL86561.PL,5,20251009,145000,14.74,14.74,14.74,14.74,500,0
INTLPAL86561.PL,5,20251009,152000,14.58,14.66,14.58,14.66,998,0
INTLPAL86561.PL,5,20251009,153000,14.68,14.68,14.68,14.68,522,0
INTLPAL86561.PL,5,20251009,160000,13.7,14,13.7,14,4585,0
INTLPAL86561.PL,5,20251010,102500,12.12,12.12,12.12,12.12,100,0
INTLPAL86561.PL,5,20251010,104500,12.36,12.36,12.36,12.36,7,0
INTLPAL86561.PL,5,20251010,105000,12.2,12.2,12.08,12.08,274,0
INTLPAL86561.PL,5,20251010,122500,12.98,12.98,12.98,12.98,150,0
INTLPAL86561.PL,5,20251013,090500,12.62,12.62,12.62,12.62,40,0
INTLPAL86561.PL,5,20251013,095500,13.08,13.08,13.08,13.08,304,0
INTLPAL86561.PL,5,20251013,101000,13.02,13.02,13.02,13.02,190,0
INTLPAL86561.PL,5,20251013,103000,12.5,12.5,12.5,12.5,100,0
INTLPAL86561.PL,5,20251013,143000,12.88,12.88,12.88,12.88,1000,0
INTLPAL86561.PL,5,20251013,152500,13.08,13.08,13.08,13.08,15,0
INTLPAL86561.PL,5,20251013,163000,13.98,13.98,13.98,13.98,40,0
INTLPAL86561.PL,5,20251013,164500,14.42,14.42,14.42,14.42,1000,0
INTLPAL86561.PL,5,20251014,100000,13.92,13.92,13.92,13.92,200,0
INTLPAL86561.PL,5,20251014,105500,14.42,14.42,14.42,14.42,103,0
INTLPAL86561.PL,5,20251014,120000,14.54,14.54,14.54,14.54,468,0
INTLPAL86561.PL,5,20251014,142000,14,14,14,14,150,0
INTLPAL86561.PL,5,20251015,091500,15.98,15.98,15.98,15.98,103,0
INTLPAL86561.PL,5,20251015,092000,15.72,15.72,15.72,15.72,522,0
INTLPAL86561.PL,5,20251015,100500,15.82,15.82,15.82,15.82,20,0
INTLPAL86561.PL,5,20251015,102500,16.3,16.3,16.3,16.3,1360,0
INTLPAL86561.PL,5,20251016,154500,18.16,18.16,18.16,18.16,20,0
INTLPAL86561.PL,5,20251017,091000,17.72,17.72,17.72,17.72,390,0
INTLPAL86561.PL,5,20251017,093000,17.12,17.12,17.12,17.12,200,0
INTLPAL86561.PL,5,20251021,094500,12.24,12.24,12.24,12.24,150,0
INTLPAL86561.PL,5,20251021,164000,10.86,10.86,10.86,10.86,3320,0
INTLPAL86561.PL,5,20251022,091000,11.7,11.7,11.7,11.7,100,0
INTLPAL86561.PL,5,20251022,103500,10.94,10.94,10.94,10.94,364,0
INTLPAL86561.PL,5,20251022,121500,11.24,11.24,11.24,11.24,364,0
INTLPAL86561.PL,5,20251022,130000,10.48,10.48,10.48,10.48,285,0
INTLPAL86561.PL,5,20251022,142500,11.22,11.22,11.22,11.22,285,0
INTLPAL86561.PL,5,20251023,091000,12.76,12.76,12.76,12.76,1000,0
INTLPAL86561.PL,5,20251024,094000,11.52,11.52,11.52,11.52,346,0
INTLPAL86561.PL,5,20251024,101000,10.62,10.62,10.62,10.62,187,0
INTLPAL86561.PL,5,20251024,121500,11.22,11.22,11.22,11.22,178,0
INTLPAL86561.PL,5,20251024,142000,11.44,11.44,11.44,11.44,355,0
INTLPAL86561.PL,5,20251028,144000,9.98,9.98,9.98,9.98,400,0
INTLPAL86561.PL,5,20251028,144500,10.28,10.28,10.28,10.28,1750,0
INTLPAL86561.PL,5,20251028,151500,10.7,10.7,10.7,10.7,1750,0
INTLPAL86561.PL,5,20251029,092500,11.54,11.54,11.54,11.54,1500,0
INTLPAL86561.PL,5,20251029,093000,11.56,11.56,11.56,11.56,540,0
INTLPAL86561.PL,5,20251029,101500,11.6,11.6,11.6,11.6,200,0
