<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPGE81612.PL,5,20250926,091500,3.49,3.49,3.49,3.49,400,0
INTLPGE81612.PL,5,20250929,115000,3.65,3.65,3.65,3.65,400,0
INTLPGE81612.PL,5,20251002,095000,3.68,3.68,3.68,3.68,400,0
INTLPGE81612.PL,5,20251003,100000,3.67,3.67,3.67,3.67,814,0
INTLPGE81612.PL,5,20251010,090500,3.41,3.41,3.41,3.41,814,0
INTLPGE81612.PL,5,20251013,092000,3.48,3.48,3.48,3.48,400,0
INTLPGE81612.PL,5,20251014,123000,2.93,2.93,2.93,2.93,1000,0
INTLPGE81612.PL,5,20251014,124500,2.86,2.86,2.86,2.86,1000,0
INTLPGE81612.PL,5,20251014,155000,2.98,2.98,2.98,2.98,1000,0
INTLPGE81612.PL,5,20251014,155500,3.02,3.02,3.02,3.02,1000,0
INTLPGE81612.PL,5,20251016,091000,3.49,3.49,3.49,3.49,1000,0
INTLPGE81612.PL,5,20251016,101000,3.42,3.42,3.42,3.42,1000,0
INTLPGE81612.PL,5,20251017,090500,3.37,3.37,3.37,3.37,2962,0
INTLPGE81612.PL,5,20251017,091500,3.37,3.37,3.37,3.37,2962,0
INTLPGE81612.PL,5,20251017,092500,3.34,3.34,3.34,3.34,2989,0
INTLPGE81612.PL,5,20251017,093500,3.31,3.31,3.31,3.31,3016,0
INTLPGE81612.PL,5,20251017,095500,3.22,3.22,3.22,3.22,3100,0
INTLPGE81612.PL,5,20251017,102500,3.22,3.22,3.22,3.22,2367,0
INTLPGE81612.PL,5,20251017,154000,3.27,3.27,3.27,3.27,3053,0
INTLPGE81612.PL,5,20251020,110500,3.62,3.62,3.61,3.61,20449,0
INTLPGE81612.PL,5,20251021,091000,3.92,3.92,3.92,3.92,2000,0
INTLPGE81612.PL,5,20251022,090500,3.87,3.87,3.87,3.87,2000,0
INTLPGE81612.PL,5,20251022,101000,3.89,3.89,3.89,3.89,2000,0
INTLPGE81612.PL,5,20251022,125000,3.88,3.88,3.88,3.88,2000,0
INTLPGE81612.PL,5,20251022,134500,3.84,3.84,3.84,3.84,2000,0
INTLPGE81612.PL,5,20251119,163500,3.03,3.03,3.03,3.03,2000,0
INTLPGE81612.PL,5,20251120,094000,3.22,3.22,3.22,3.22,1000,0
INTLPGE81612.PL,5,20251120,100000,3.26,3.26,3.26,3.26,1000,0
INTLPGE81612.PL,5,20251127,135500,2.72,2.72,2.72,2.72,250,0
INTLPGE81612.PL,5,20251128,091500,2.66,2.66,2.66,2.66,1000,0
INTLPGE81612.PL,5,20251201,110500,2.39,2.39,2.39,2.39,5000,0
INTLPGE81612.PL,5,20251202,091000,2.17,2.17,2.08,2.08,2229,0
INTLPGE81612.PL,5,20251202,091500,2.05,2.05,2.05,2.05,748,0
INTLPGE81612.PL,5,20251202,105500,1.9,1.9,1.9,1.9,1300,0
INTLPGE81612.PL,5,20251202,141000,1.88,1.88,1.88,1.88,1000,0
INTLPGE81612.PL,5,20251202,143000,1.85,1.85,1.85,1.85,673,0
INTLPGE81612.PL,5,20251202,151000,1.84,1.84,1.84,1.84,543,0
INTLPGE81612.PL,5,20251202,162500,1.78,1.78,1.78,1.78,767,0
INTLPGE81612.PL,5,20251202,163000,1.76,1.76,1.76,1.76,836,0
INTLPGE81612.PL,5,20251202,163500,1.75,1.75,1.75,1.75,739,0
