<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPKN72470.PL,5,20250707,094500,4.15,4.15,4.15,4.15,250,0
INTLPKN72470.PL,5,20250707,162000,4.19,4.19,4.19,4.19,1,0
INTLPKN72470.PL,5,20250708,155000,4.32,4.32,4.32,4.32,1,0
INTLPKN72470.PL,5,20250709,105000,4.42,4.42,4.42,4.42,1,0
INTLPKN72470.PL,5,20250709,110000,4.42,4.42,4.42,4.42,5700,0
INTLPKN72470.PL,5,20250714,160500,4.53,4.53,4.53,4.53,1,0
INTLPKN72470.PL,5,20250715,090500,4.62,4.62,4.62,4.62,2500,0
INTLPKN72470.PL,5,20250722,093500,4.34,4.34,4.34,4.34,1500,0
INTLPKN72470.PL,5,20250725,095000,4.04,4.04,4.04,4.04,900,0
INTLPKN72470.PL,5,20250806,143500,4.05,4.05,4.05,4.05,250,0
INTLPKN72470.PL,5,20251014,111000,4.77,4.77,4.77,4.77,133,0
INTLPKN72470.PL,5,20251027,102000,6.07,6.07,6.07,6.07,165,0
INTLPKN72470.PL,5,20251029,142500,6.03,6.03,6.03,6.03,166,0
